Organisation,Branch,Name,Type,Address,Postcode,Country,L1,L2,L3,Lat,Lon
American Red Cross,National Headquarters,National Headquarters,National HQ,2025 E Street NW,20006,US,District of Columbia,District of Columbia,Washington,38.8960000015,-77.045499999
Bluegrass Region,Big Sandy Area,Big Sandy Area,Chapter HQ,113 S Central Ave,41653,US,Kentucky,Floyd,Prestonsburg,37.6679353323,-82.7719170672
Bluegrass Region,Bluegrass Area,Bluegrass Area,Chapter HQ,1450 Newtown Pike,40511,US,Kentucky,Fayette,Lexington,38.0857872155,-84.4901876992
Bluegrass Region,Central Kentucky,Central Kentucky,Chapter HQ,447 S 3rd Street,40422,US,Kentucky,Boyle,Danville,37.6403658603,-84.7730493371
Bluegrass Region,Daniel Boone,Daniel Boone,Chapter HQ,321 N Second Street,40475,US,Kentucky,Madison,Richmond,37.7502648587,-84.2932934379
Bluegrass Region,Lake Cumberland Area,Lake Cumberland Area,Chapter HQ,209 E Mount Vernon Street,42501,US,Kentucky,Pulaski,Somerset,37.0923185143,-84.6034201251
Bluegrass Region,Mid-East Kentucky,Mid-East Kentucky,Chapter HQ,450 Prestonsburg St,41472,US,Kentucky,Morgan,West Liberty,37.9203241708,-83.2488071582
Bluegrass Region,Northeast Kentucky,Northeast Kentucky,Chapter HQ,4201 Blackburn Avenue,41101,US,Kentucky,Boyd,Ashland,38.4512030425,-82.6316402056
Bluegrass Region,Southeastern Kentucky,Southeastern Kentucky,Chapter HQ,107 W 5th St,40741,US,Kentucky,Laurel,London,37.128861417,-84.0838327574
Central and Northern Michigan Region,American Red Cross of Northern Lower Michigan,American Red Cross of Northern Lower Michigan,Chapter HQ,2350 Mitchell Park Drive,49770,US,Michigan,Emmet,Petoskey,45.3748741736,-84.9216782886
Central and Northern Michigan Region,Central Michigan,Central Michigan,Chapter HQ,215 E Broadway,48858,US,Michigan,Isabella,Mount Pleasant,43.6045472402,-84.7747629292
Central and Northern Michigan Region,Genesee-Lapeer,Genesee-Lapeer,Chapter HQ,1401 S Grand Traverse Street,48503,US,Michigan,Genesee,Flint,43.0061427101,-83.6871195575
Central and Northern Michigan Region,Great Lakes Bay,Great Lakes Bay,Chapter HQ,228 Washington Ave,48708,US,Michigan,Bay,Bay City,43.5914356683,-83.8887026077
Central and Northern Michigan Region,Livingston County,Livingston County,Chapter HQ,1372 W Grand River,48855,US,Michigan,Livingston,Howell,42.6123795103,-83.9493102439
Central and Northern Michigan Region,Mecosta-Osceola,Mecosta-Osceola,Chapter HQ,218 South Warren Ave,49307,US,Michigan,Mecosta,Big Rapids,43.6967589216,-85.4805063605
Central and Northern Michigan Region,Mid-Michigan,Mid-Michigan,Chapter HQ,1800 E Grand River Avenue,48912,US,Michigan,Ingham,Lansing,42.7431403736,-84.5251617803
Central and Northern Michigan Region,South Central Michigan,South Central Michigan,Chapter HQ,3425 Francis St,49203,US,Michigan,Jackson,Jackson,42.2115770152,-84.3980937161
Central and Northern Michigan Region,Superior Upper Peninsula,Superior Upper Peninsula,Chapter HQ,104 Coles Dr,49855,US,Michigan,Marquette,Marquette,46.5467662163,-87.419693701
Columbus Region,American Red Cross of Coshocton County,American Red Cross of Coshocton County,Chapter HQ,245 N 4th Street,43725,US,Ohio,Guernsey,Coshocton,40.026920317,-81.5968373415
Columbus Region,American Red Cross of Fairfield and Hocking Counties,American Red Cross of Fairfield and Hocking Counties,Chapter HQ,121 W Mulberry Street,43130,US,Ohio,Fairfield,Lancaster,39.7162814566,-82.6026314886
Columbus Region,American Red Cross of Greater Columbus,American Red Cross of Greater Columbus,Chapter HQ,995 E Broad Street,43205,US,Ohio,Franklin,Columbus,39.9652782456,-82.9740503157
Columbus Region,American Red Cross of Knox County,American Red Cross of Knox County,Chapter HQ,300 N Mulberry Street,43050,US,Ohio,Knox,Mount Vernon,40.3968039825,-82.48629309
Columbus Region,American Red Cross of Southeastern Ohio,American Red Cross of Southeastern Ohio,Chapter HQ,100 S May Avenue,45701,US,Ohio,Athens,Athens,39.3346407098,-82.0881454225
Columbus Region,Crawford County,Crawford County,Chapter HQ,110 East Mary Street,44082,US,Ohio,Crawford,Bucyrus,40.8108995261,-82.975179551
Columbus Region,Crestline Area,Crestline Area,Chapter HQ,102 N Thoman St,44827,US,Ohio,Crawford,Crestline,40.7841833972,-82.7381768805
Columbus Region,Delaware County,Delaware County,Chapter HQ,380 Hills-Miller Road,43015,US,Ohio,Delaware,Delaware,40.3324277018,-83.080355563
Columbus Region,First Capital District,First Capital District,Chapter HQ,181 North Bridge Street,45601,US,Ohio,Ross,Chillicothe,39.3384511587,-82.9751893274
Columbus Region,Galion,Galion,Chapter HQ,124 N Union St,44833,US,Ohio,Crawford,Galion,40.7342705177,-82.7912749414
Columbus Region,Licking County,Licking County,Chapter HQ,196 S 5th Street,43058-4337,US,Ohio,Licking,Newark,40.050737211,-82.4029784446
Columbus Region,Marion County,Marion County,Chapter HQ,1849 Summerset Drive,43302,US,Ohio,Marion,Marion,40.5779420837,-83.0796887705
Columbus Region,Morrow County,Morrow County,Chapter HQ,37 West Center Street,43338,US,Ohio,Morrow,Mt Gilead,40.5487440966,-82.8292556784
Columbus Region,Muskingum Valley,Muskingum Valley,Chapter HQ,22 S 7th Street,43701-0397,US,Ohio,Muskingum,Zanesville,39.9396371394,-82.003881902
Columbus Region,Union County Ohio,Union County Ohio,Chapter HQ,112 E 5th Street,43040,US,Ohio,Union,Marysville,40.2364549867,-83.3667392805
Columbus Region,Washington County,Washington County,Chapter HQ,401 4th Street,45750,US,Ohio,Washington,Marietta,39.4190059928,-81.4541316295
Evansville-Wabash Valley Region,Southwestern Indiana,Southwestern Indiana,Chapter HQ,29 S Stockwell Road,47714,US,Indiana,Vanderburgh,Evansville,37.9762709142,-87.5017209133
Evansville-Wabash Valley Region,Wabash Valley,Wabash Valley,Chapter HQ,700 S 3rd Street,47807,US,Indiana,Vigo,Terre Haute,39.4596626386,-87.4137479722
Greater Cincinnati-Dayton Region,American Red Cross of Logan County,American Red Cross of Logan County,Chapter HQ,105 N Detroit Street,43311,US,Ohio,Logan,West Liberty,40.36143906,-83.7616342211
Greater Cincinnati-Dayton Region,American Red Cross of the Northern Miami Valley,American Red Cross of the Northern Miami Valley,Chapter HQ,1314 Barnhart Road,45373,US,Ohio,Miami,Troy,40.0187394273,-84.2394512001
Greater Cincinnati-Dayton Region,Cincinnati Area,Cincinnati Area,Chapter HQ,2111 Dana Ave,45207,US,Ohio,Hamilton,Cincinnati,39.1456468443,-84.4606103486
Greater Cincinnati-Dayton Region,Clark-Champaign,Clark-Champaign,Chapter HQ,1830 N Limestone St,45503,US,Ohio,Clark,Springfield,39.9481338516,-83.804403478
Greater Cincinnati-Dayton Region,Darke County,Darke County,Chapter HQ,130 Martz Street,45331,US,Ohio,Darke,Greenville,40.0895183105,-84.6369268612
Greater Cincinnati-Dayton Region,Dayton Area,Dayton Area,Chapter HQ,370 W 1st Street,45402,US,Ohio,Montgomery,Dayton,39.761155614,-84.1995835618
Greater Cincinnati-Dayton Region,Mason County,Mason County,Chapter HQ,103 E 2nd St,41056,US,Kentucky,Mason,Maysville,38.6459639212,-83.7591355283
Greater Cincinnati-Dayton Region,Ohio River Valley,Ohio River Valley,Chapter HQ,1801 Robinson Avenue,45662,US,Ohio,Scioto,Portsmouth,38.7399118484,-82.9782735447
Greater Cincinnati-Dayton Region,Southeastern Indiana,Southeastern Indiana,Chapter HQ,539 Main Street,47025,US,Indiana,Dearborn,Lawrenceburg,39.0979561661,-84.8593145916
Greater Cincinnati-Dayton Region,Wayne-Union County,Wayne-Union County,Chapter HQ,1 Woodside Drive,47374-3334,US,Indiana,Wayne,Richmond,39.8980902673,-84.8994246699
Indianapolis Region,American Red Cross of Greater Indianapolis,American Red Cross of Greater Indianapolis,Chapter HQ,441 E 10th Street,46202,US,Indiana,Marion,Indianapolis,39.7810113474,-86.1499867037
Indianapolis Region,American Red Cross of North Central Indiana,American Red Cross of North Central Indiana,Chapter HQ,88 West Hill Street,46992,US,Indiana,Wabash,Wabash,40.7987428757,-85.8223550361
Indianapolis Region,American Red Cross of Northeast Indiana,American Red Cross of Northeast Indiana,Chapter HQ,1212 E California Road,46825,US,Indiana,Allen,Fort Wayne,41.1185310681,-85.1237275609
Indianapolis Region,Adams County,Adams County,Chapter HQ,172 North Second Street,46733,US,Indiana,Adams,Decatur,40.8310070461,-84.9241663291
Indianapolis Region,Bartholomew-Brown County,Bartholomew-Brown County,Chapter HQ,931 Repp Drive,47201-7477,US,Indiana,Bartholomew,Columbus,39.1867206009,-85.8841536075
Indianapolis Region,Elkhart County,Elkhart County,Chapter HQ,721 Riverview Ave,46516,US,Indiana,Elkhart,Elkhart,41.6824315323,-85.9391642742
Indianapolis Region,Hoosier Hills,Hoosier Hills,Chapter HQ,2119 29th Street,47421,US,Indiana,Lawrence,Bedford,38.8467455674,-86.5000056736
Indianapolis Region,Huntington County,Huntington County,Chapter HQ,354 N Jefferson Street,46750,US,Indiana,Huntington,Huntington,40.8815094209,-85.4947020569
Indianapolis Region,Jackson County,Jackson County,Chapter HQ,410 Indianapolis Ave,47274,US,Indiana,Jackson,Seymour,38.9614131485,-85.8899937357
Indianapolis Region,Kosciusko County,Kosciusko County,Chapter HQ,320 N Buffalo Street,46580,US,Indiana,Kosciusko,Warsaw,41.2408386393,-85.8565591389
Indianapolis Region,LaPorte County,LaPorte County,Chapter HQ,113 Warren Road,46360-2371,US,Indiana,LaPorte,Michigan City,41.727326802,-86.8894163023
Indianapolis Region,Marshall County,Marshall County,Chapter HQ,215 West Garro Street,46563,US,Indiana,Marshall,Plymouth,41.3406935368,-86.3106371744
Indianapolis Region,Monroe County,Monroe County,Chapter HQ,411 E 7th Street,47408-3723,US,Indiana,Monroe,Bloomington,39.1685861114,-86.5295910955
Indianapolis Region,Porter County,Porter County,Chapter HQ,755 W Lincolnway,46385,US,Indiana,Porter,Valparaiso,41.4689387692,-87.0704977424
