Name,Organisation,Facility,Facility Type,Type,Catalog,Category,Item Name,Brand,Purchase Date,Building,Address,Postcode,Country,L1,L2,L3,Lat,Lon
1088,Metro New York North,Metro New York North,,ERV,Default,Vehicles,ERV,,1999,,99 Indian Field Road,6830,US,Connecticut,Fairfield,Greenwich,41.0275784531,-73.6056238554
1089,American Red Cross of the Susquehanna Valley,Lancaster County Office,,ERV,Default,Vehicles,ERV,,1999,,430 West Orange Street,17603,US,Pennsylvania,Erie,Lancaster,40.038399,-76.314035
1090,American Red Cross of Northwest Ohio,American Red Cross of Northwest Ohio,,ERV,Default,Vehicles,ERV,,1999,,3100 West Central Ave,43606,US,Ohio,Hamilton,Toledo,39.1400999985,-84.4706000018
1091,Northwest North Carolina,Northwest North Carolina,,ERV,Default,Vehicles,ERV,,1999,,690 Coliseum Dr.,27106,US,North Carolina,Forsyth,Winston-Salem,36.1416999998,-80.3227000014
1092,Flint River,Flint River,,ERV,Default,Vehicles,ERV,,1999,,1509 Crawford St,31709,US,Georgia,Sumter,Americus,32.0661000017,-84.1378000003
1093,Southwest Florida,Southwest Florida,,ERV,Default,Vehicles,ERV,,1999,,2001 Cantu Court,34232,US,Florida,Sarasota,Sarasota,27.3183000014,-82.4494999986
1094,American Red Cross of Lee County,American Red Cross of Lee County,,ERV,Default,Vehicles,ERV,,1999,,7051 Cypress Terrace,33907,US,Florida,Lee,Ft. Myers,26.5419000013,-81.8720000016
1095,Wiregrass Area,Wiregrass Area,,ERV,Default,Vehicles,ERV,,1999,,1004 Montezuma Ave,36303,US,Alabama,Houston,Dothan,31.2380000015,-85.4131999989
1096,American Red Cross of the Delmarva Peninsula,American Red Cross of the Delmarva Peninsula,,ERV,Default,Vehicles,ERV,,1999,Suite 501,100 West 10th Street,19703,US,Delaware,New Castle,Wilmington,39.7457000017,-75.5487999987
1097,American Red Cross of Central SC,American Red Cross of Central SC,,ERV,Default,Vehicles,ERV,,1999,,2751 Bull St,29202,US,South Carolina,Spartanburg,Columbia,34.992800001,-81.9677999987
1098,Greater Richmond,Greater Richmond,,ERV,Default,Vehicles,ERV,,1999,,420 East Cary St,23218,US,Virginia,Richmond,Richmond,37.5392000002,-77.4380999991
1099,Vermont and New Hampshire Upper Valley Region,Vermont and New Hampshire Upper Valley Region,,ERV,Default,Vehicles,ERV,,1999,,29 Mansfield Ave,5401,US,Vermont,Chittenden,Burlington,44.4783999995,-73.2510999996
1100,Greater Carolinas,Greater Carolinas,,ERV,Default,Vehicles,ERV,,1999,,2425 Park Road,28203,US,North Carolina,Mecklenburg,Charlotte,35.1979530017,-80.8517367072
1101,East Central Mississippi,Laurel Office,,ERV,Default,Vehicles,ERV,,2000,,401 W Oak St,39440,US,Mississippi,Jones,Laurel,31.6930000002,-89.129799999
