uid,role,description,controller,function,table,uacl,oacl,hidden,entity,Notes
AUTHENTICATED,Authenticated,,fin,bank,,READ,,,,
AUTHENTICATED,Authenticated,,med,hospital,,READ,,,,
AUTHENTICATED,Authenticated,,med,pharmacy,,READ,,,,
AUTHENTICATED,Authenticated,,org,organisation,,READ,,,,
AUTHENTICATED,Authenticated,,,,org_organisation,READ,,,,
AUTHENTICATED,Authenticated,,transport,airport,,READ,,,,
AUTHENTICATED,Authenticated,,transport,airplane,,READ,,,,
ORG_ADMIN,Organisation Admin,Permission assigned at Organization Level,admin,user,,CREATE|READ|UPDATE|DELETE,,,,
ORG_ADMIN,Organisation Admin,Permission assigned at Organization Level,br,,,CREATE|READ|UPDATE|DELETE,,,,
ORG_ADMIN,Organisation Admin,Permission assigned at Organization Level,,,br_activity,CREATE|READ|UPDATE|DELETE,,,,
ORG_ADMIN,Organisation Admin,Permission assigned at Organization Level,,,br_case,CREATE|READ|UPDATE|DELETE,,,,
ORG_ADMIN,Organisation Admin,Permission assigned at Organization Level,,,gis_route,CREATE|READ|UPDATE|DELETE,,,,
ORG_ADMIN,Organisation Admin,Permission assigned at Organization Level,fin,bank,,CREATE|READ|UPDATE,,,,
ORG_ADMIN,Organisation Admin,Permission assigned at Organization Level,fin,broker,,CREATE|READ|UPDATE|DELETE,,,,
ORG_ADMIN,Organisation Admin,Permission assigned at Organization Level,hrm,person,,CREATE|READ|UPDATE|DELETE,,,,
ORG_ADMIN,Organisation Admin,Permission assigned at Organization Level,hrm,staff,,CREATE|READ|UPDATE|DELETE,,,,
ORG_ADMIN,Organisation Admin,Permission assigned at Organization Level,,,hrm_human_resource,CREATE|READ|UPDATE|DELETE,,,,
ORG_ADMIN,Organisation Admin,Permission assigned at Organization Level,med,hospital,,CREATE|READ|UPDATE|DELETE,,,,
ORG_ADMIN,Organisation Admin,Permission assigned at Organization Level,med,pharmacy,,CREATE|READ|UPDATE|DELETE,,,,
ORG_ADMIN,Organisation Admin,Permission assigned at Organization Level,org,organisation,,CREATE|READ|UPDATE,,,,
ORG_ADMIN,Organisation Admin,Permission assigned at Organization Level,,,org_organisation,READ|UPDATE,,,,
ORG_ADMIN,Organisation Admin,Permission assigned at Organization Level,,,pr_address,CREATE|READ|UPDATE|DELETE,,,,
ORG_ADMIN,Organisation Admin,Permission assigned at Organization Level,,,pr_contact,CREATE|READ|UPDATE|DELETE,,,,
ORG_ADMIN,Organisation Admin,Permission assigned at Organization Level,,,pr_contact_emergency,CREATE|READ|UPDATE|DELETE,,,,
ORG_ADMIN,Organisation Admin,Permission assigned at Organization Level,,,pr_person,CREATE|READ|UPDATE|DELETE,,,,
ORG_ADMIN,Organisation Admin,Permission assigned at Organization Level,,,pr_person_details,CREATE|READ|UPDATE|DELETE,,,,
ORG_ADMIN,Organisation Admin,Permission assigned at Organization Level,transport,airport,,CREATE|READ|UPDATE,,,,
ORG_ADMIN,Organisation Admin,Permission assigned at Organization Level,transport,airport,,CREATE|READ|UPDATE,,,,
ORG_ADMIN,Organisation Admin,Permission assigned at Organization Level,transport,flight,,CREATE|READ|UPDATE|DELETE,,,,
ORG_ADMIN_RW,Organisation Admin (RW),Permission assigned at Organization Forum Level,cr,,,CREATE|READ|UPDATE|DELETE,,true,,
ORG_ADMIN_RW,Organisation Admin (RW),Permission assigned at Organization Forum Level,event,incident_report,,CREATE|READ|UPDATE|DELETE,,true,,
ORG_ADMIN_RW,Organisation Admin (RW),Permission assigned at Organization Forum Level,,,gis_route,CREATE|READ|UPDATE|DELETE,,true,,
ORG_ADMIN_RW,Organisation Admin (RW),Permission assigned at Organization Forum Level,,,inv_inv_item,CREATE|READ|UPDATE|DELETE,,true,,
ORG_ADMIN_RW,Organisation Admin (RW),Permission assigned at Organization Forum Level,,,inv_warehouse,CREATE|READ|UPDATE|DELETE,,true,,
ORG_ADMIN_RW,Organisation Admin (RW),Permission assigned at Organization Forum Level,,,med_contact,CREATE|READ|UPDATE,,true,,
ORG_ADMIN_RW,Organisation Admin (RW),Permission assigned at Organization Forum Level,security,,,CREATE|READ|UPDATE|DELETE,,true,,
ORG_ADMIN_RO,Organisation Admin (RO),Permission assigned at Organization Forum Level,cr,,,READ,,true,,
ORG_ADMIN_RO,Organisation Admin (RO),Permission assigned at Organization Forum Level,event,incident_report,,READ,,true,,
ORG_ADMIN_RO,Organisation Admin (RO),Permission assigned at Organization Forum Level,,,inv_inv_item,READ,,true,,
