Organisation,Acronym
Aces & Eights,A&E
AFG Free,
Afghan Assistance Group,AAG
Afghan Departure Group,ADG
Afghan Evac Coalition,AEC
Allied Airlift 21,AA21
Ark Salus,AS
Asymmetric Warfare Services,AWS
Black Widows,PL
Commercial Task Force,COMTF
Compassion Medical,CM
Digital Dunkirk,DD
Executive Interface LLC,EIL
Freedom Support Alliance,FSA
Human First,HF
Human Rights First,HRF
Newton Stars,NS
No One Left Behind,NOLB
Operation North Star,ONS
Operation Recovery,OpReco
Operation Sacred Promise,OSP
Project Dynamo,DYN
Project Exodus Relief,PE
Range 214,R214
RPR Services,RPR
Sanctuary,SCY
Save Our Allies,SOA
Save-Settle-Support Initiative,S3i
Tarjoman,TJM
Team America,TA
Team Rubicon,TRN
TF Argo,TFA
TF Pineapple,TFP
TF Shepherd,TFS
Truman National Security Project,TNSP
US State Department,DOS
Wolfhound,WFHD
