Type,SubType,Comments
Grunddaten,,
Grunddaten,Stammdaten prüfen,
Grunddaten,Stammdaten prüfen,
Grunddaten,Unterlagen ordnen,
Grunddaten,Informationsgespräch,
Ämter und Behörden,,
Ämter und Behörden,Vorgespräche,
Ämter und Behörden,Vermittlung,
Ämter und Behörden,Antragsstellung,
Ämter und Behörden,Begleitung,
Bildung und Arbeit,,
Bildung und Arbeit,Vermittlung ,
Bildung und Arbeit,Praktikum ,
Bildung und Arbeit,Sprachkurse,
Bildung und Arbeit,EQ´s (Einstiegsqualifizerung),
Asylverfahren,,
Asylverfahren,Vermittlung ,
Asylverfahren,Anhörungsvorbereitung,
Asylverfahren,Beratung zum Bescheid,
Asylverfahren,Familienzusammenführung,
Asylverfahren,Transferberatung,
Asylverfahren,Reise- und Verlassens Erlaubnis,
Asylverfahren,Rückkehrberatung,
Asylverfahren,Info EU Dublin,
Gesundheit,,
Gesundheit,Vorgespräch,
Gesundheit,Behandlungsschein,
Gesundheit,Kostenübernahme,
Gesundheit,Terminvergabe,
Gesundheit,Medizinisches Gutachten,
Gesundheit,Nachuntersuchung ,
Rechtsberatung,,
Schutzbedarf,,
Schutzbedarf,Vorgespräch,
Schutzbedarf,Kontaktaufnahme zu den Behörden,
Schutzbedarf,Schutztransfer angefragt,
Sonstiges,,
Sonstiges,Erläuterung von Schriftstücken,
Sonstiges,Empfindungen,
Sonstiges,Vermittlung zum Suchdienst ,
