Name,Height,Width,Image
activity,34,22,"CRMT/Activity.png"
arts,34,22,"CRMT/Arts.png"
church,34,22,"CRMT/Church.png"
communications,34,22,"CRMT/Communications.png"
debris,34,22,"CRMT/Debris.png"
education,34,22,"CRMT/Education.png"
emergency,34,22,"CRMT/Emergency.png"
empty,34,22,"CRMT/Empty.png"
environment,34,22,"CRMT/Environment.png"
evac_route,34,22,"CRMT/Evac_Route.png"
facility,34,22,"CRMT/Facility.png"
government,34,22,"CRMT/Government.png"
health,34,22,"CRMT/Health.png"
incident,34,22,"CRMT/Incident.png"
industry,34,22,"CRMT/Industry.png"
manhole,34,22,"CRMT/Manhole.png"
mountain,34,22,"CRMT/Mountain.png"
municipal_services,34,22,"CRMT/Municipal_Services.png"
organization,34,22,"CRMT/Organization.png"
people,34,22,"CRMT/People.png"
post,34,22,"CRMT/Post.png"
risk,34,22,"CRMT/Risk.png"
trained,34,22,"CRMT/Trained.png"
transport,34,22,"CRMT/Transport.png"
water,34,22,"CRMT/Water.png"
water_tank,34,22,"CRMT/Water_Tank.png"
