uid,role,description,controller,function,table,uacl,oacl,entity,Notes
ANONYMOUS,Anonymous,,,,org_organisation,READ,,,Required for 'existing' self-registration
AUTHENTICATED,Authenticated,,gis,,,READ,,,
AUTHENTICATED,Authenticated,,cr,,,CREATE|READ|UPDATE,,,
AUTHENTICATED,Authenticated,,,,cr_shelter,CREATE|READ|UPDATE,,,
AUTHENTICATED,Authenticated,,hrm,person,,CREATE|READ|UPDATE,READ|UPDATE|DELETE,,
AUTHENTICATED,Authenticated,,hrm,human_resource,,CREATE|READ|UPDATE,READ|UPDATE|DELETE,,
AUTHENTICATED,Authenticated,,hrm,staff,,CREATE|READ|UPDATE,READ|UPDATE|DELETE,,
AUTHENTICATED,Authenticated,,,,hrm_human_resource,CREATE|READ|UPDATE,READ|UPDATE|DELETE,,
AUTHENTICATED,Authenticated,,org,organisation,,CREATE|READ,,,
AUTHENTICATED,Authenticated,,,,org_organisation,CREATE|READ,,,
AUTHENTICATED,Authenticated,,,,org_organisation_organisation_type,CREATE|READ,,,
AUTHENTICATED,Authenticated,,pr,contact,,CREATE|READ|UPDATE,READ|UPDATE|DELETE,,
AUTHENTICATED,Authenticated,,pr,contact_emergency,,CREATE|READ|UPDATE,READ|UPDATE|DELETE,,
AUTHENTICATED,Authenticated,,pr,person,,CREATE|READ|UPDATE,READ|UPDATE|DELETE,,
AUTHENTICATED,Authenticated,,,,pr_address,CREATE|READ|UPDATE,READ|UPDATE|DELETE,,
AUTHENTICATED,Authenticated,,,,pr_contact,CREATE|READ|UPDATE,READ|UPDATE|DELETE,,
AUTHENTICATED,Authenticated,,,,pr_contact_emergency,CREATE|READ|UPDATE,READ|UPDATE|DELETE,,
AUTHENTICATED,Authenticated,,,,pr_person,CREATE|READ|UPDATE,READ|UPDATE|DELETE,,
