Series,Name,Country,L1,L2
CEP,Above Derwent (Braithwaite),GB,England,Cumbria
CEP,Blencogo Bromfield Parish,GB,England,Cumbria
CEP,"Branthwaite, Dean & Ullock",GB,England,Cumbria
CEP,Brigham & Broughton Cross,GB,England,Cumbria
CEP,Cockermouth,GB,England,Cumbria
CEP,Flimby,GB,England,Cumbria
CEP,Keswick,GB,England,Cumbria
CEP,Melbreak,GB,England,Cumbria
CEP,Workington,GB,England,Cumbria
CEP,Brampton,GB,England,Cumbria
CEP,Stanwix Rural (Low Crosby),GB,England,Cumbria
CEP,Stockdalewath,GB,England,Cumbria
CEP,Egremont,GB,England,Cumbria
CEP,Muncaster & Ravenglass,GB,England,Cumbria
CEP,Alston Moor,GB,England,Cumbria
CEP,Appleby,GB,England,Cumbria
CEP,Brough,GB,England,Cumbria
CEP,Crosby Ravensworth,GB,England,Cumbria
CEP,Culgaith,GB,England,Cumbria
CEP,Eamont Bridge,GB,England,Cumbria
CEP,Langwathby,GB,England,Cumbria
CEP,Barbon,GB,England,Cumbria
CEP,Burneside,GB,England,Cumbria
CEP,Coniston,GB,England,Cumbria
CEP,Dentdale,GB,England,Cumbria
CEP,Finsthwaite and Lakeside,GB,England,Cumbria
CEP,Kirkby & Ireleth,GB,England,Cumbria
CEP,Lower Holker,GB,England,Cumbria
CEP,Preston Richard Endmoor,GB,England,Cumbria
CEP,Sedbergh,GB,England,Cumbria
CEP,Sedgwick,GB,England,Cumbria
CEP,Staveley with Ings,GB,England,Cumbria
CEP,Ulverston,GB,England,Cumbria
