uid,role,description,controller,function,table,uacl,oacl,hidden,system,protected,Notes
ADMIN_HEAD,Head of Administration,,cr,,,ALL,,,,,
ADMIN_HEAD,Head of Administration,,dvr,case_event,,ALL,,,,,"Head of administration can create, read and update case events"
ADMIN_HEAD,Head of Administration,,dvr,site_activity,,ALL,,,,,"Head of administration can create, read and update site activity reports"
ADMIN_HEAD,Head of Administration,,dvr,,,ALL,,,,,
ADMIN_HEAD,Head of Administration,,hrm,index,,ALL,,,,,Head of administration has unrestricted access to staff module index controller
ADMIN_HEAD,Head of Administration,,hrm,staff,,ALL,,,,,Head of administration has unrestricted access to staff data
ADMIN_HEAD,Head of Administration,,hrm,,,ALL,,,,,Head of administration has unrestricted access to staff module
ADMIN_HEAD,Head of Administration,,inv,,,ALL,,,,,
ADMIN_HEAD,Head of Administration,,org,,,CREATE|READ|UPDATE|DELETE,,,,,Head of administration can manage organisation data
ADMIN_HEAD,Head of Administration,,project,,,ALL,,,,,Head of administration has unrestricted access to task management
ADMIN_HEAD,Head of Administration,,vol,index,,ALL,,,,,Head of administration has unrestricted access to volunteer module index controller
ADMIN_HEAD,Head of Administration,,vol,volunteer,,ALL,,,,,Head of administration has unrestricted access to volunteer data
ADMIN_HEAD,Head of Administration,,vol,,,ALL,,,,,Head of administration has unrestricted access to volunteer module
ADMIN_HEAD,Head of Administration,,,,cr_shelter,READ|UPDATE,,,,,Head of administration can modify shelter info
ADMIN_HEAD,Head of Administration,,,,cr_shelter_registration,ALL,,,,,Head of administration can manage shelter registration info
ADMIN_HEAD,Head of Administration,,,,cr_shelter_registration_history,READ,,,,,Head of administration can read check-in history
ADMIN_HEAD,Head of Administration,,,,dvr_allowance,ALL,,,,,Head of administration have unrestricted access to allowance information
ADMIN_HEAD,Head of Administration,,,,dvr_case_activity,ALL,,,,,Head of administration can manage activities
ADMIN_HEAD,Head of Administration,,,,dvr_case_appointment,ALL,,,,,Head of administration have unrestricted access to case appointments
ADMIN_HEAD,Head of Administration,,,,dvr_case_event,ALL,,,,,"Head of administration can create, read and update case events"
ADMIN_HEAD,Head of Administration,,,,dvr_note,CREATE|READ,READ,,,,
ADMIN_HEAD,Head of Administration,,,,dvr_site_activity,ALL,,,,,"Head of administration can create, read, update and delete site activity reports"
ADMIN_HEAD,Head of Administration,,,,org_facility,CREATE|READ|UPDATE|DELETE,,,,,Head of administration can manage facilities
ADMIN_HEAD,Head of Administration,,,,org_facility_type,CREATE|READ|UPDATE|DELETE,,,,,Head of administration can manage facility types
ADMIN_HEAD,Head of Administration,,,,org_organisation,CREATE|READ|UPDATE|DELETE,,,,,Head of administration can manage organisation data
ADMIN_HEAD,Head of Administration,,,,org_site_facility_type,CREATE|READ|UPDATE|DELETE,,,,,Head of administration can manage facility type links
ADMIN_HEAD,Head of Administration,,,,pr_image,CREATE|READ|UPDATE|DELETE,,,,,Head of administration can manage profile pictures
ADMIN_HEAD,Head of Administration,,,,pr_person,ALL,,,,,
ADMINISTRATION,Administration,,cr,,,ALL,,,,,
ADMINISTRATION,Administration,,dvr,case_event,,CREATE|READ|UPDATE,,,,,"Administration can create, read and update case events"
ADMINISTRATION,Administration,,dvr,site_activity,,CREATE|READ|UPDATE,,,,,Administration can create and download site activity reports
ADMINISTRATION,Administration,,dvr,,,ALL,,,,,
ADMINISTRATION,Administration,,inv,,,ALL,,,,,
ADMINISTRATION,Administration,,org,,,CREATE|READ|UPDATE|DELETE,,,,,Administration can manage organisation data
ADMINISTRATION,Administration,,project,,,ALL,,,,,Administration has unrestricted access to task management
ADMINISTRATION,Administration,,vol,index,,READ,,,,,Administration can access the volunteer index controller
ADMINISTRATION,Administration,,vol,volunteer,,READ|UPDATE,,,,,Administration can read and update volunteer records
ADMINISTRATION,Administration,,vol,,,READ|UPDATE,,,,,Administration can access the volunteer module
ADMINISTRATION,Administration,,,,cr_shelter,READ|UPDATE,,,,,Administration can modify shelter info
ADMINISTRATION,Administration,,,,cr_shelter_registration,ALL,,,,,Administration can manage shelter registration info
ADMINISTRATION,Administration,,,,dvr_allowance,ALL,,,,,Administration have unrestricted access to allowance information
ADMINISTRATION,Administration,,,,dvr_case_activity,ALL,,,,,Administration can manage activities
ADMINISTRATION,Administration,,,,dvr_case_appointment,ALL,,,,,Administration have unrestricted access to case appointments
ADMINISTRATION,Administration,,,,dvr_case_event,CREATE|READ|UPDATE,,,,,"Administration can create, read and update case events"
ADMINISTRATION,Administration,,,,dvr_note,CREATE|READ,,,,,
ADMINISTRATION,Administration,,,,dvr_site_activity,CREATE|READ|UPDATE,,,,,Administration can create and download site activity reports
ADMINISTRATION,Administration,,,,org_facility,CREATE|READ|UPDATE|DELETE,,,,,Administration can manage facilities
ADMINISTRATION,Administration,,,,org_facility_type,CREATE|READ|UPDATE|DELETE,,,,,Administration can manage facility types
ADMINISTRATION,Administration,,,,org_organisation,CREATE|READ|UPDATE|DELETE,,,,,Administration can manage organisation data
ADMINISTRATION,Administration,,,,org_site_facility_type,CREATE|READ|UPDATE|DELETE,,,,,Administration can manage facility type links
ADMINISTRATION,Administration,,,,pr_image,CREATE|READ|UPDATE|DELETE,,,,,Administration can manage profile pictures
ADMINISTRATION,Administration,,,,pr_person,ALL,,,,,
AUTHENTICATED,Authenticated,,gis,location,,READ|CREATE,READ|CREATE|UPDATE|DELETE,,,,"Note the owning role for locations is set to Authenticated by default, so this controls the access that logged in users have. (In general, tables do not have a default owning role.)"
AUTHENTICATED,Authenticated,,gis,,,READ,READ|CREATE|UPDATE|DELETE,,,,Authenticated users can see the Map
AUTHENTICATED,Authenticated,,hrm,index,,NONE,,,,,Hides the Staff menu item
AUTHENTICATED,Authenticated,,hrm,person,,,READ|UPDATE,,,,Normal users can see their own staff record
AUTHENTICATED,Authenticated,,hrm,staff,,NONE,,,,,Normal users have no access to staff data
AUTHENTICATED,Authenticated,,hrm,,,READ|UPDATE,,,,,
AUTHENTICATED,Authenticated,,msg,search,,READ,,,,,Custom Controller to allow access to PR via JSON for AutoComplete
AUTHENTICATED,Authenticated,,org,,,NONE,,,,,Normal users don't see org menu entries
AUTHENTICATED,Authenticated,,pr,pentity,,READ,,,,,Custom Controller to allow access to PR via JSON for AutoComplete
AUTHENTICATED,Authenticated,,pr,person,,,READ|UPDATE,,,,But need to be able to add/edit addresses
