Name,Code,Type,Status,Beds Total,Organisation,Country,L1,L2,L3,L4,L5,Building,#loc,Lat,Lon,Comments
Tubmanburg Government Hospital - Holding Centre,LibTub,Triage,Functional,12,MoH Liberia,LR,Bomi,Senjeh,Tubmanburg,,,,,,,"Bomi County Health Team (CHT) opened three, two-room quarantine units with a 12-bed capacity for Ebola patients. There is a holding centre in Tubmanburg."
no name,LibTub2,ETC,Pending,,International Organization for Migration,LR,Bomi,Senjeh,Tubmanburg,,,,,,,Under construction
Bong County ETC,LibBon,ETC,Functional,70,International Medical Corps,LR,Bong,,,,,,,,,Expected to open 08 September
Phebe Hospital,LibPhe,ETC,Functional,50,,LR,Bong,Suakoko,,,,,,7.02794,-9.55329,"A 7-bed Isolation Centre has been added to the Phebe Hospital in Suakoko.. The new 50 bed facility has been handed over to the County Authority and is awaiting admissions, as at 10 September. Hospital to ETC. As at 22 August, a new ETU is being constructed however it is not determined how the clinic services will be run"
no name,LibBuc,ETC,Pending,,International Organization for Migration,LR,Grand Bassa,District No. 3,Buchanan City,,,,,,,Under construction
no name,LibSin,ETC,Pending,,International Organization for Migration,LR,Grand Cape Mount,Commonwealth,Sinje,,,,,,,Under construction
no name,,ETC,Pending,50,,LR,Grand Gedeh,,,,,,,,,
no name,,ETC,Pending,,Partners in Health,LR,Grand Gedeh,Tchien,Zwedru,,,,,,,Planned
no name,,ETC,Pending,,,LR,Grand Kru,Barclayville,,,,,,,,Planned
Foya Case Management Centre (CMC Foya MSF),LibFoy,ETC,Functional,30,Medecins Sans Frontieres,LR,Lofa,Foya,,,,,,8.378911,-10.205757,Samaritan’s Purse assumed responsibility for the CMC in Foya from MSF on July 8. The facility has been expanded and can now serve a maximum of 30 patients.
Borma Hospital,LibBor,ETC,Functional,100,Medecins Sans Frontieres,LR,Lofa,Foya,,,,,,,,Borma Hospital Ebola Treatment Unit (ETU) being run by Medecins Sans Frontieres (MSF) has a capacity of 100 beds. Expansion to 80 beds underway
Telewowan Hospital,LibTel,Triage,Functional,40,Medecins Sans Frontieres,LR,Lofa,Voinjama,,,,,,,,"Mid-Level Isolation Unit. Expansion to 40 beds, but no dates for completion set. The team will set up a referral unit so suspected Ebola patients can be isolated and transferred to the treatment center."
no name,LibZor,ETC,Pending,,,LR,Lofa,Zorzor,,,,,,,,Planned
Firestone Medical Center,LibFir,ETC,Functional,,,LR,Margibi,Firestone,,,,,,,,Liberia Ebola SitRep no. 123
no name,,ETC,Pending,50,Save the Children,LR,Margibi,,,,,,,,,Save the Children is the constructing the ETU in Margibi County. Currently exploring possibility of Kakata as site
no name,,ETC,Pending,,Heart to Heart,LR,Margibi,Kakata,,,,,,,,Under Construction
no name,,ETC,Pending,25,US Department of Defence,LR,Margibi,,,,,,,,,The United States military has begun construction of a 25-bed hospital for infected healthcare workers.
Airport JTFPO,LibAir,ETC,Pending,,US Department of Defence,LR,Margibi,,,,,Roberts International Airport,,6.237896,-10.3563,The proposed locations of the 10 Ebola Treatment Centres within Greater Monrovia that the US Department of Defense are looking to develop. Some sites will be multi-purpose (e.g. logistics & ETC)
EBK Barracks,LibEBK,ETC,Pending,,US Department of Defence,LR,Margibi,,,,,,,6.209466,-10.565051,The proposed locations of the 10 Ebola Treatment Centres within Greater Monrovia that the US Department of Defense are looking to develop. Some sites will be multi-purpose (e.g. logistics & ETC)
eMed at Airport,LibeMe,ETC,Pending,,US Department of Defence,LR,Margibi,,,,,Roberts International Airport,,6.228494,-10.361782,The proposed locations of the 10 Ebola Treatment Centres within Greater Monrovia that the US Department of Defense are looking to develop. Some sites will be multi-purpose (e.g. logistics & ETC)
Pleebo Health Center,LibPle,Triage,Functional,,,LR,Maryland,Pleebo/Sodeken,Pleebo City,,,,,,,A holding center has been established at Pleebo Health Center in Pleebo City
no name,,ETC,Pending,,,LR,Maryland,Harper,,,,,,,,Planned
