Template,Section,Section Position,SubSection,SubSection Position,SubSubSection,SubSubSection Position,Question,Question Position,Type,Options,Required,Code,Totals,Grid,Show Hidden,Tooltip
Rapid Assessment,1. Assessment team information,1,,,,,a) Organizations participating,1,text,,,,,,,
Rapid Assessment,2. Geographic information,2,,,,,e) Name/Position of Person interviewed,5,text,,,,,,,
Rapid Assessment,2. Geographic information,2,,,,,f) Contact Details,6,text,,,,,,,
Rapid Assessment,3. Demographic data,3,"b) Post event demographic data of Camp / Village (if available, even if estimates)",2,,,Grid,1,Grid,,,G332,,"[['Adults','Children (5-18)','Children <5'],['Male','Female','Total','Grand Total']]",,
Rapid Assessment,3. Demographic data,3,"b) Post event demographic data of Camp / Village (if available, even if estimates)",2,,,Male,2,number,,,RAMaleAdults,,"['G332',1,1]",,
Rapid Assessment,3. Demographic data,3,"b) Post event demographic data of Camp / Village (if available, even if estimates)",2,,,Female,3,number,,,RAFemaleAdults,,"['G332',1,2]",,
Rapid Assessment,3. Demographic data,3,"b) Post event demographic data of Camp / Village (if available, even if estimates)",2,,,Total,4,number,,,RAAdults,"['RAMaleAdults','RAFemaleAdults']","['G332',1,3]",,
Rapid Assessment,3. Demographic data,3,"b) Post event demographic data of Camp / Village (if available, even if estimates)",2,,,Male,5,number,,,RAMaleChildrenOlder,,"['G332',2,1]",,
Rapid Assessment,3. Demographic data,3,"b) Post event demographic data of Camp / Village (if available, even if estimates)",2,,,Female,6,number,,,RAFemaleChildrenOlder,,"['G332',2,2]",,
Rapid Assessment,3. Demographic data,3,"b) Post event demographic data of Camp / Village (if available, even if estimates)",2,,,Male,7,number,,,RAMaleChildrenYounger,,"['G332',3,1]",,
Rapid Assessment,3. Demographic data,3,"b) Post event demographic data of Camp / Village (if available, even if estimates)",2,,,Female,8,number,,,RAFemaleChildrenYounger,,"['G332',3,2]",,
Rapid Assessment,3. Demographic data,3,"b) Post event demographic data of Camp / Village (if available, even if estimates)",2,,,Total,9,number,,,RAChildren,"['RAMaleChildrenOlder','RAFemaleChildrenOlder','RAMaleChildrenYounger','RAFemaleChildrenYounger']","['G332',2,3]",,
Rapid Assessment,3. Demographic data,3,"b) Post event demographic data of Camp / Village (if available, even if estimates)",2,,,Grand Total,10,number,,,,"['RAAdults','RAChildren']","['G332',1,4]",,
Rapid Assessment,3. Demographic data,3,"b) Post event demographic data of Camp / Village (if available, even if estimates)",2,,,x. Total Households,11,number,,,,,,,
Rapid Assessment,3. Demographic data,3,c),3,i.,1,Have people been forced or obliged to leave their homes or residences as consequence of this event (Internally Displaced People - IDPs)?,1,boolean,,,,,,"['3321','3331','3332','3333','3334','3341','3342','3343','3344','3345','3346','3347','3348','3349','33410','33411','33412','33413','33414','33415','33416','3351']",
Rapid Assessment,3. Demographic data,3,c),3,ii.,2,Name of Evacuation centre,1,text,,,3321,,,,
Rapid Assessment,3. Demographic data,3,c),3,"iii. If yes, number of IDPs staying in Designated Evacuation Centres.",3,Families total,1,number,,,3331,,,,
Rapid Assessment,3. Demographic data,3,c),3,"iii. If yes, number of IDPs staying in Designated Evacuation Centres.",3,Total population,2,number,,,3332,,,,
Rapid Assessment,3. Demographic data,3,c),3,"iii. If yes, number of IDPs staying in Designated Evacuation Centres.",3,Adults total,3,number,,,3333,,,,
Rapid Assessment,3. Demographic data,3,c),3,"iii. If yes, number of IDPs staying in Designated Evacuation Centres.",3,Children total,4,number,,,3334,,,,
Rapid Assessment,3. Demographic data,3,"d) Are there IDPs with the following special needs, and if so, how many?",4,,,persons with severe disability,1,options,"['Yes','No']",,3341,,,,
Rapid Assessment,3. Demographic data,3,"d) Are there IDPs with the following special needs, and if so, how many?",4,,,how many,2,number,,,3342,,,,
Rapid Assessment,3. Demographic data,3,"d) Are there IDPs with the following special needs, and if so, how many?",4,,,female headed households,3,options,"['Yes','No']",,3343,,,,
Rapid Assessment,3. Demographic data,3,"d) Are there IDPs with the following special needs, and if so, how many?",4,,,how many,4,number,,,3344,,,,
Rapid Assessment,3. Demographic data,3,"d) Are there IDPs with the following special needs, and if so, how many?",4,,,elderly persons,5,options,"['Yes','No']",,3345,,,,
Rapid Assessment,3. Demographic data,3,"d) Are there IDPs with the following special needs, and if so, how many?",4,,,how many,6,number,,,3346,,,,
Rapid Assessment,3. Demographic data,3,"d) Are there IDPs with the following special needs, and if so, how many?",4,,,adolescent/children headed households,7,options,"['Yes','No']",,3347,,,,
Rapid Assessment,3. Demographic data,3,"d) Are there IDPs with the following special needs, and if so, how many?",4,,,how many,8,number,,,3348,,,,
Rapid Assessment,3. Demographic data,3,"d) Are there IDPs with the following special needs, and if so, how many?",4,,,pregnant women,9,options,"['Yes','No']",,3349,,,,
