uid,role,description,controller,function,table,uacl,oacl,entity,Notes
ANONYMOUS,Anonymous,,org,organisation,,,READ,,,,,
ANONYMOUS,Anonymous,,,,org_organisation,,READ,,,,,Required for self-registration
ANONYMOUS,Anonymous,,,,org_organisation_organisation_type,,READ,,,,,Required for self-registration
AUTHENTICATED,Authenticated,,gis,,,READ,,,
AUTHENTICATED,Authenticated,,gis,layer_arcrest,,READ,,,
AUTHENTICATED,Authenticated,,gis,layer_bing,,READ,,,
AUTHENTICATED,Authenticated,,gis,layer_coordinate,,READ,,,
AUTHENTICATED,Authenticated,,gis,layer_empty,,READ,,,
AUTHENTICATED,Authenticated,,gis,layer_feature,,READ,,,
AUTHENTICATED,Authenticated,,gis,layer_geojson,,READ,,,
AUTHENTICATED,Authenticated,,gis,layer_georss,,READ,,,
AUTHENTICATED,Authenticated,,gis,layer_google,,READ,,,
AUTHENTICATED,Authenticated,,gis,layer_gpx,,READ,,,
AUTHENTICATED,Authenticated,,gis,layer_kml,,READ,,,
AUTHENTICATED,Authenticated,,gis,layer_openstretmap,,READ,,,
AUTHENTICATED,Authenticated,,gis,layer_theme,,READ,,,
AUTHENTICATED,Authenticated,,gis,layer_tms,,READ,,,
AUTHENTICATED,Authenticated,,gis,layer_wfs,,READ,,,
AUTHENTICATED,Authenticated,,gis,layer_wms,,READ,,,
AUTHENTICATED,Authenticated,,gis,layer_xyz,,READ,,,
AUTHENTICATED,Authenticated,,,,gis_location,CREATE|READ,CREATE|READ|UPDATE,,
ORG_ADMIN,"Organisation Administrator",,admin,user,,ALL,,
ORG_ADMIN,"Organisation Administrator",,,,doc_document,,ALL,,
ORG_ADMIN,"Organisation Administrator",,hrm,person,,CREATE|READ|UPDATE|DELETE,,,
ORG_ADMIN,"Organisation Administrator",,hrm",staff,,ALL,,,
ORG_ADMIN,"Organisation Administrator",,,,hrm_competency,CREATE|READ|UPDATE|DELETE,,,
ORG_ADMIN,"Organisation Administrator",,,,hrm_human_resource,ALL,,,
ORG_ADMIN,"Organisation Administrator",,org,facility,,ALL,,,
ORG_ADMIN,"Organisation Administrator",,org,organisation,,ALL,,,
ORG_ADMIN,"Organisation Administrator",,,,org_facility,ALL,,,
ORG_ADMIN,"Organisation Administrator",,,,org_organisation,READ|UPDATE,,,
ORG_ADMIN,"Organisation Administrator",,,,org_organisation_organisation_type,ALL,,,
ORG_ADMIN,"Organisation Administrator",,,,org_site_facility_type,ALL,,,
ORG_ADMIN,"Organisation Administrator",,pr,contact,,,CREATE|READ|UPDATE|DELETE,,
ORG_ADMIN,"Organisation Administrator",,pr,person,,,READ,,
ORG_ADMIN,"Organisation Administrator",,,,pr_address,CREATE|READ|UPDATE|DELETE,,,
ORG_ADMIN,"Organisation Administrator",,,,pr_contact,CREATE|READ|UPDATE|DELETE,,,
ORG_ADMIN,"Organisation Administrator",,,,pr_contact_emergency,CREATE|READ|UPDATE|DELETE,,,
ORG_ADMIN,"Organisation Administrator",,,,pr_person,CREATE|READ|UPDATE|DELETE,,,
MANAGER,"Manager",,,,"org_organisation",CREATE|READ|UPDATE,,,
