Organisation,Branch,SubBranch,Name L10n:ps,Name L10n:prs,Type,Region,Country
Afghan Red Crescent Society,North Eastern Region (Kunduz),Badakhshan,بدخشان,بدخشان,Red Cross / Red Crescent,South Asia,AF
Afghan Red Crescent Society,Western Region (Herat),Badghis,بادغیس,بادغیس,Red Cross / Red Crescent,South Asia,AF
Afghan Red Crescent Society,North Eastern Region (Kunduz),Baghlan,بغلان,بغلان,Red Cross / Red Crescent,South Asia,AF
Afghan Red Crescent Society,North West (Central),Bamyan,بامیان,بامیان,Red Cross / Red Crescent,South Asia,AF
Afghan Red Crescent Society,North West (Central),Daikundi,دایکندی,دایکندی,Red Cross / Red Crescent,South Asia,AF
Afghan Red Crescent Society,Western Region (Herat),Farah,فراه,فراه,Red Cross / Red Crescent,South Asia,AF
Afghan Red Crescent Society,Northern Region (Balkh),Faryab,فاریاب,فاریاب,Red Cross / Red Crescent,South Asia,AF
Afghan Red Crescent Society,South West (Central),Ghazni,غزنی,غزنی,Red Cross / Red Crescent,South Asia,AF
Afghan Red Crescent Society,Western Region (Herat),Ghor,غور,غور,Red Cross / Red Crescent,South Asia,AF
Afghan Red Crescent Society,South Western Region (Kandahar),Helmand,هلمند,هلمند,Red Cross / Red Crescent,South Asia,AF
Afghan Red Crescent Society,Western Region (Herat),Herat,هرات,هرات,Red Cross / Red Crescent,South Asia,AF
Afghan Red Crescent Society,Eastern Region (Nangarhar),Jalalabad,جلال آباد,جلال آباد,Red Cross / Red Crescent,South Asia,AF
Afghan Red Crescent Society,Northern Region (Balkh),Jawzjan,جوزجان,جوزجان,Red Cross / Red Crescent,South Asia,AF
Afghan Red Crescent Society,South West (Central),Kabul,کابل,کابل,Red Cross / Red Crescent,South Asia,AF
Afghan Red Crescent Society,South Western Region (Kandahar),Kandahar,قندهار,کندهار,Red Cross / Red Crescent,South Asia,AF
Afghan Red Crescent Society,North West (Central),Kapisa,کاپیسا,کا پیسا,Red Cross / Red Crescent,South Asia,AF
Afghan Red Crescent Society,South West (Central),Khost,خوست,خوست,Red Cross / Red Crescent,South Asia,AF
Afghan Red Crescent Society,Eastern Region (Nangarhar),Kunar,کنر,کنر,Red Cross / Red Crescent,South Asia,AF
Afghan Red Crescent Society,North Eastern Region (Kunduz),Kunduz,کندز,کندز,Red Cross / Red Crescent,South Asia,AF
Afghan Red Crescent Society,Eastern Region (Nangarhar),Laghman,لغمان,لغمان,Red Cross / Red Crescent,South Asia,AF
Afghan Red Crescent Society,South West (Central),Logar,لوګر,لوگر,Red Cross / Red Crescent,South Asia,AF
Afghan Red Crescent Society,South West (Central),Maidan Wardak,میدان وردګ,میدان وردگ,Red Cross / Red Crescent,South Asia,AF
Afghan Red Crescent Society,Northern Region (Balkh),Mazar Sharif,مزار شریف,مزارشریف,Red Cross / Red Crescent,South Asia,AF
Afghan Red Crescent Society,Western Region (Herat),Nimroz,نیمروز,نیمروز,Red Cross / Red Crescent,South Asia,AF
Afghan Red Crescent Society,Eastern Region (Nangarhar),Nuristan,نورستان,نورستان,Red Cross / Red Crescent,South Asia,AF
Afghan Red Crescent Society,South West (Central),Paktia,پکتیا,پکتیا,Red Cross / Red Crescent,South Asia,AF
Afghan Red Crescent Society,South West (Central),Paktika,پکتیکا,پکتیکا,Red Cross / Red Crescent,South Asia,AF
Afghan Red Crescent Society,North West (Central),Panjsheer,پنجشیر,پنجشیر,Red Cross / Red Crescent,South Asia,AF
Afghan Red Crescent Society,North West (Central),Parwan,پروان,پروان,Red Cross / Red Crescent,South Asia,AF
Afghan Red Crescent Society,Northern Region (Balkh),Samangan,سمنګان,سمنگان,Red Cross / Red Crescent,South Asia,AF
Afghan Red Crescent Society,Northern Region (Balkh),Sar Pul,سرپل,سرپل,Red Cross / Red Crescent,South Asia,AF
Afghan Red Crescent Society,North Eastern Region (Kunduz),Takhar,تخار,تخار,Red Cross / Red Crescent,South Asia,AF
Afghan Red Crescent Society,South Western Region (Kandahar),Uruzgan,ارزګان,ارزگان,Red Cross / Red Crescent,South Asia,AF
Afghan Red Crescent Society,South Western Region (Kandahar),Zabul,زابل,زابل,Red Cross / Red Crescent,South Asia,AF
