Organisation,Team,Facility,Catalog,Asset No,Category,Item Name,Brand,Model,SN,Condition
Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),WASH,Timor-Leste Red Cross Society (CVTL) National Headquarters,Default,WS-100-01,Equipment,Water Purification Unit,CleanTec,WPX-800,WPU-2989-8164,
Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),WASH,Ainaro Branch Office,Default,WS-100-02,Equipment,Water Purification Unit,CleanTec,WPX-800,WPU-6884-8147,Minor
Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),WASH,Lospalos Branch Office,Default,WS-100-03,Equipment,Water Purification Unit,CleanTec,WPX-800,WPU-7845-1970,
Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),WASH,Manatuto Branch Office,Default,WS-100-04,Equipment,Water Purification Unit,CleanTec,WPX-800,WPU-1096-2141,
Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),WASH,Same Branch Office,Default,WS-100-05,Equipment,Water Purification Unit,CleanTec,WPX-800,WPU-8141-8160,
Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),WASH,Viqueque Branch Office,Default,WS-100-06,Equipment,Water Purification Unit,CleanTec,WPX-800,WPU-4415-3818,
Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),WASH,Ainaro Branch Office,Default,WS-100-07,Equipment,Water Purification Unit,CleanTec,WPX-800,WPU-5271-7505,
Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),WASH,Lospalos Branch Office,Default,WS-100-08,Equipment,Water Purification Unit,CleanTec,WPX-800,WPU-6073-3753,
Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),WASH,Manatuto Branch Office,Default,WS-100-09,Equipment,Water Purification Unit,CleanTec,WPX-800,WPU-9040-8209,
Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),WASH,Same Branch Office,Default,WS-100-10,Equipment,Water Purification Unit,CleanTec,WPX-800,WPU-3952-7878,
Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),WASH,Viqueque Branch Office,Default,WS-100-11,Equipment,Water Purification Unit,CleanTec,WPX-800,WPU-8544-2476,
Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),WASH,Ainaro Branch Office,Default,WS-100-12,Equipment,Water Purification Unit,CleanTec,WPX-800,WPU-8285-2011,
Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),WASH,Lospalos Branch Office,Default,WS-100-13,Equipment,Water Purification Unit,CleanTec,WPX-800,WPU-1420-9640,
Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),WASH,Manatuto Branch Office,Default,WS-100-14,Equipment,Water Purification Unit,CleanTec,WPX-800,WPU-5614-2095,
Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),WASH,Same Branch Office,Default,WS-100-15,Equipment,Water Purification Unit,CleanTec,WPX-800,WPU-5897-4714,
Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),WASH,Viqueque Branch Office,Default,WS-100-16,Equipment,Water Purification Unit,CleanTec,WPX-800,WPU-7036-3505,
Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,Ainaro Branch Office,Default,MC-970-01,Vehicle,Motorcyle,Yamaha,DT50MX,DT-864-592,Minor
Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,Lospalos Branch Office,Default,MC-970-02,Vehicle,Motorcyle,Yamaha,DT50MX,DT-793-082,
Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,Manatuto Branch Office,Default,MC-970-03,Vehicle,Motorcyle,Yamaha,DT50MX,DT-974-233,
Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,Same Branch Office,Default,MC-970-04,Vehicle,Motorcyle,Yamaha,DT50MX,DT-743-893,
Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,Viqueque Branch Office,Default,MC-970-05,Vehicle,Motorcyle,Yamaha,DT50MX,DT-974-263,
Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,Ainaro Branch Office,Default,HR-583-01,Communications,Hand Radio,Motorola,HU-306,DT-343-796,Major
Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,Lospalos Branch Office,Default,HR-583-02,Communications,Hand Radio,Motorola,HU-306,IF-6534-3240,
Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,Manatuto Branch Office,Default,HR-583-03,Communications,Hand Radio,Motorola,HU-306,IF-7585-2214,
Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,Same Branch Office,Default,HR-583-04,Communications,Hand Radio,Motorola,HU-306,IF-5535-8762,
Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,Viqueque Branch Office,Default,HR-583-05,Communications,Hand Radio,Motorola,HU-306,IF-1002-7135,
Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,Ainaro Branch Office,Default,BS-689-01,Communications,Radio Base Station,Motorola,BU-205-X,IF-8708-1575,Minor
Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,Lospalos Branch Office,Default,BS-689-02,Communications,Radio Base Station,Motorola,BU-205-X,IF-9532-2410,
Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,Manatuto Branch Office,Default,BS-689-03,Communications,Radio Base Station,Motorola,BU-205-X,IF-7972-6086,
Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,Same Branch Office,Default,BS-689-04,Communications,Radio Base Station,Motorola,BU-205-X,IF-3368-9365,
Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,Viqueque Branch Office,Default,BS-689-05,Communications,Radio Base Station,Motorola,BU-205-X,IF-1907-8332,
