Code,Name,Job Titles,Sectors,Organisation,Type
FA-003,"Emergency First Aid",,,,
FA-001,"Basics of First Aid",,,,
FA-002,"Advanced First Aid",,,,
FA-004,"First Aid Team Leader",,,,
FA-005,"Introduction to Community Based Health and First Aid (CBHFA)",,,,
VCA-001,"Introduction to Vulnerability and Capacity Assessment (VCA) Methodology",DRR,"Disaster Risk Reduction",,
VCA-001,"Conducting VCA",DRR,"Disaster Risk Reduction",,
PSS-001,"Basics of Psychosocial Support",,,,
PSS-002,"Advanced Psychosocial Support",,,,
RFL-001,"Restoring Family Links",,,,
ITT-001,"IT & Telecom","IT Telecom","Emergency Telecommunications",,
CTP-001,"Cash Transfer Programming","Livelihood / CTP",Livelihoods,,
WASH-001,"Public Health in Emergency","Watsan","Water and Sanitation",,
,First Aid,,,Afghan Red Crescent Society,
CBDP,Community Based Disaster Preparedness,,,Afghan Red Crescent Society,
CBDP-R,Community Based Disaster Preparedness Refresher,,,Afghan Red Crescent Society,
CBDRR,Community Based Disaster Risk Reduction,,,Afghan Red Crescent Society,
CBDRR-R,Community Based Disaster Risk Reduction Refresher,,,Afghan Red Crescent Society,
DR,Disaster Response,,,Afghan Red Crescent Society,
DR-R,Disaster Response Refresher,,,Afghan Red Crescent Society,
DP,Disaster Preparedness,,,Afghan Red Crescent Society,
DP-R,Disaster Preparedness Refresher,,,Afghan Red Crescent Society,
DBT,Dead Body Transfer,,,Afghan Red Crescent Society,
DBT-R,Dead Body Transfer Refresher,,,Afghan Red Crescent Society,
EHL/HPV,Exploring Humanitarian Law / Humanitarian Principle Values,,,Afghan Red Crescent Society,
EHL/HPV-R,Exploring Humanitarian Law / Humanitarian Principle Values Refresher,,,Afghan Red Crescent Society,
YABC,Youth as Agents of Behavioural Change,,,Afghan Red Crescent Society,
YABC-R,Youth as Agents of Behavioural Change Refresher,,,Afghan Red Crescent Society,
HV,Humanitarian Values,,,Afghan Red Crescent Society,
HV-R,Humanitarian Values Refresher,,,Afghan Red Crescent Society,
PSS,Psycho Social Support,,,Afghan Red Crescent Society,
PSS-R,Psycho Social Support Refresher,,,Afghan Red Crescent Society,
ECV,Epidemic Control for Volunteers,,,Afghan Red Crescent Society,
ECV-R,Epidemic Control for Volunteers Refresher,,,Afghan Red Crescent Society,
HIV,Human Immunodeficiency Virus,,,Afghan Red Crescent Society,
HIV-R,Human Immunodeficiency Virus Refresher,,,Afghan Red Crescent Society,
CBHFA,Community Based Health First Aid,,,Afghan Red Crescent Society,
CBHFA-R,Community Based Health First Aid Refresher,,,Afghan Red Crescent Society,
WATSAN,Water and Sanitation,,,Afghan Red Crescent Society,
WATSAN-R,Water and Sanitation Refresher,,,Afghan Red Crescent Society,
