UUID,Name,OU,OU Type,Region Country,Default Country,Default L1,Default L2,Zoom,Lat,Lon,Projection,LatMin,LatMax,LonMin,LonMax,Marker,WMS Browser
SITE_DEFAULT,Default,,,,,,,3,4.9,125,900913,-90,90,-180,180,marker_red,http://preview.grid.unep.ch:8080/geoserver/ows?service=WMS&request=GetCapabilities
,WGS84,,,,,,,3,4.9,125,4326,-90,90,-180,180,,
,AF,Afghan Red Crescent Society,organisation,AF,AF,,,6,33.8407969,67.816162109,900913,29,39,60,75,,
,AU,Australian Red Cross,organisation,AU,AU,,,6,-24.764639,136.180729,900913,-45,-4,105,165,,
,FI,Finnish Red Cross,organisation,FI,FI,,,5,65.4758,26.359,900913,59,71,18,32,,
,FJ,Fiji Red Cross Society,organisation,FJ,FJ,,,7,-18.3967,179.925,900913,-22,-15,-180,180,,
,HN,Honduran Red Cross,organisation,HN,HN,,,7,13.8706513685,-87.255859375,900913,11,17,-92,-83,,
,ID,Indonesian Red Cross Society (Palang Merah Indonesia),organisation,ID,ID,,,4,1.478086,117.8369,900913,-12,8,94,142,,
,IN,Indian Red Cross Society,organisation,IN,IN,,,5,20.32,79.96,900913,4,36,65,100,,
,IQ,Iraqi Red Crescent Society,organisation,IQ,IQ,,,6,33.10768,43.60229,900913,28,38,37,49,,
,KH,Cambodian Red Cross Society,organisation,KH,KH,,,7,12.4,104.917,900913,9,15,102,108,,
,MG,Malagasy Red Cross Society,organisation,MG,MG,,,5,-19.431277,44.8591286,900913,-28,-9,40,55,,
,MM,Myanmar Red Cross Society,organisation,MM,MM,,,5,19.4122,97.2266,900913,9,29,92,102,,
,MN,Mongolian Red Cross Society,organisation,MN,MN,,,5,45.96946,104.209,900913,41,53,87,120,,
,MV,Maldivian Red Crescent,organisation,MV,MV,,,10,4.1552,73.5747,900913,-1,8,72,74,,
,MY,Malaysian Red Crescent Society,organisation,MY,MY,,,5,2.454333,108.940637,900913,0,8,99,120,,
,NP,Nepal Red Cross Society,organisation,NP,NP,,,6,28.048,84.158,900913,26,31,79,89,,
,NZ,New Zealand Red Cross,organisation,NZ,NZ,,,6,-41.99,172.34,900913,-53,-28,165,180,,
,PG,Papua New Guinea Red Cross Society,organisation,PG,PG,,,6,-6.9640127,146.8847656,900913,-12,-1,140,155,,
,PH,Philippine Red Cross,organisation,PH,PH,,,6,12.567606,122.419227,900913,4,21,114,130,,
,PK,Pakistan Red Crescent,organisation,PK,PK,,,5,29.5647,70.0207,900913,65,75,60,80,,
,TL,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),organisation,TL,TL,,,8,-8.88,125.92,900913,-9.5,-8.4,124.04,127.3,,
,US,American Red Cross,organisation,US,US,,,4,39.1348,-98.41,900913,0,90,-180,-50,,
,VN,Viet Nam Red Cross,organisation,VN,VN,,,5,14.15099,106.29688,900913,8,24,102,110,,
