Organisation,Branch,Type,Region,Country
Malagasy Red Cross Society,Alaotra Mangoro,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Atsimo Andrefana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Atsimo Atsinanana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Atsinanana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Betsiboka,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Boeny,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Bongolava,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Diana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Haute Matsiatra,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Ihorombe,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Itasy,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Melaky,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Menabe,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Sava,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Sofia,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Vakinankaratra,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Vatovavy Fitovinany,Red Cross / Red Crescent,Indian Ocean,MG
