Organisation,Branch,SubBranch,Type,Region,Country
Malagasy Red Cross Society,Alaotra Mangoro,Ambatondrazaka,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Amparafaravola,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Andilamena,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Anosibe-An'ala,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Moramanga,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Ambatofinandrahana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Ambositra,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Fandriana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Manandriana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Ambohidratrimo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Andramasina,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Anjozorobe,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Ankazobe,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Antananarivo Atsimondrano,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Antananarivo Avaradrano,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Antananarivo Renivohitra,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Manjakandriana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Fenerive Est,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Mananara Avaratra,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Maroantsetra,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Sainte Marie,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Soanierana Ivongo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Vavatenina,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Ambovombe-Androy,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Bekily,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Beloha,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Tsihombe,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Amboasary Atsimo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Betroka,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Taolagnaro,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Atsimo Andrefana,Ampanihy Ouest,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Atsimo Andrefana,Ankazoabo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Atsimo Andrefana,Benenitra,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Atsimo Andrefana,Beroroha,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Atsimo Andrefana,Betioky Atsimo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Atsimo Andrefana,Morombe,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Atsimo Andrefana,Sakaraha,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Atsimo Andrefana,Toliara II,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Atsimo Andrefana,Toliara I,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Atsimo Atsinanana,Befotaka,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Atsimo Atsinanana,Farafangana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Atsimo Atsinanana,Midongy Atsimo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Atsimo Atsinanana,Vangaindrano,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Atsimo Atsinanana,Vondrozo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Atsinanana,Antanambao Manampontsy,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Atsinanana,Brickaville,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Atsinanana,Mahanoro,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Atsinanana,Marolambo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Atsinanana,Toamasina I,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Atsinanana,Toamasina II,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Atsinanana,Vatomandry,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Betsiboka,Kandreho,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Betsiboka,Maevatanana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Betsiboka,Tsaratanana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Boeny,Ambato Boeny,Red Cross / Red Crescent,Indian Ocean,MG
