Organisation,Acronym,Type,Region,Country,Website,Twitter,Domain
International Federation of Red Cross and Red Crescent Societies,IFRC,Red Cross / Red Crescent,,,www.ifrc.org,Federation,ifrc.org
International Committee of the Red Cross,ICRC,Red Cross / Red Crescent,,,www.icrc.org,,icrc.org
Afghan Red Crescent Society,ARCS,Red Cross / Red Crescent,South Asia,AF,www.arcs.org.af,,arcs.org.af
Algerian Red Crescent,,Red Cross / Red Crescent,North Africa,DZ,www.cra-dz.org,,
American Red Cross,ARC,Red Cross / Red Crescent,North America,US,www.redcross.org,redcross,redcross.org
Angola Red Cross Society,,Red Cross / Red Crescent,Southern Africa,AO,,,
Armenian Red Cross Society,ARCS,Red Cross / Red Crescent,Turkey and southern Caucasus ,AM,www.redcross.am ,,redcross.am
Australian Red Cross,,Red Cross / Red Crescent,Pacific,AU,www.redcross.org.au,,redcross.org.au
Austrian Red Cross,,Red Cross / Red Crescent,Western Europe,AT,www.roteskreuz.at,,
Bahrain Red Crescent Society,,Red Cross / Red Crescent,Gulf,BH,,,
Bangladesh Red Crescent Society,BDRCS,Red Cross / Red Crescent,South Asia,BD,www.bdrcs.org.bd,,bdrcs.org.bd
Belgian Red Cross,,Red Cross / Red Crescent,Western Europe,BE,www.croix-rouge.be,,
Botswana Red Cross Society,,Red Cross / Red Crescent,Southern Africa,BW,,,
British Red Cross,,Red Cross / Red Crescent,Western Europe,GB,www.redcross.org.uk,,redcross.org.uk
Brunei Darussalam Red Crescent Society,,Red Cross / Red Crescent,South East Asia,BN,,,
Burkinabe Red Cross Society,,Red Cross / Red Crescent,Sahel,BF,,,
Burundi Red Cross,,Red Cross / Red Crescent,East Africa,BI,,,
Cambodian Red Cross Society,CRC,Red Cross / Red Crescent,South East Asia,KH,www.redcross.org.kh,,redcross.org.kh
Cameroon Red Cross Society,,Red Cross / Red Crescent,Central Africa,CM,,,
Canadian Red Cross,,Red Cross / Red Crescent,North America,CA,www.redcross.ca,,redcross.ca
Central African Red Cross Society,,Red Cross / Red Crescent,Central Africa,CF,,,
Comoros Red Crescent,,Red Cross / Red Crescent,Indian Ocean,KM,,,
Congolese Red Cross,,Red Cross / Red Crescent,Central Africa,CG,,,
Cook Islands Red Cross,,Red Cross / Red Crescent,Pacific,CK,www.redcross.org.ck,,redcross.org.ck
Danish Red Cross (Dansk Rode Kors),,Red Cross / Red Crescent,Western Europe,DK,,,
Egyptian Red Crescent,,Red Cross / Red Crescent,North Africa,EG,www.egyptianrc.org,,
