uid,role,description,controller,function,table,entity,uacl,oacl,hidden,system,protected,Notes
ANONYMOUS,Anonymous,,org,,,,READ,,,,,
ANONYMOUS,,,org,organisation,,,READ|CREATE,,,,,Allow new users to create orgs during registration
ANONYMOUS,,,,,org_organisation,,READ|CREATE,,,,,Allow new users to create orgs during registration
ANONYMOUS,,,inv,,,,READ,,,,,
ANONYMOUS,,,req,,,,READ,,,,,
ANONYMOUS,,,gis,index,,,READ,,,,,
ANONYMOUS,,,gis,location,,,READ,,,,,
ANONYMOUS,,,gis,proxy,,,READ,,,,,
ANONYMOUS,,,,,gis_location,,READ,,,,,
ANONYMOUS,,,,,gis_layer_bing,,READ,,,,,
ANONYMOUS,,,,,gis_layer_coordinate,,READ,,,,,
ANONYMOUS,,,,,gis_layer_empty,,READ,,,,,
ANONYMOUS,,,,,gis_layer_feature,,READ,,,,,
ANONYMOUS,,,,,gis_layer_geojson,,READ,,,,,
ANONYMOUS,,,,,gis_layer_georss,,READ,,,,,
ANONYMOUS,,,,,gis_layer_google,,READ,,,,,
ANONYMOUS,,,,,gis_layer_gpx,,READ,,,,,
ANONYMOUS,,,,,gis_layer_kml,,READ,,,,,
ANONYMOUS,,,,,gis_layer_openstretmap,,READ,,,,,
ANONYMOUS,,,,,gis_layer_theme,,READ,,,,,
ANONYMOUS,,,,,gis_layer_tms,,READ,,,,,
ANONYMOUS,,,,,gis_layer_wfs,,READ,,,,,
ANONYMOUS,,,,,gis_layer_wms,,READ,,,,,
ANONYMOUS,,,,,gis_layer_xyz,,READ,,,,,
AUTHENTICATED,Authenticated,"Can Create records and Edit their own",org,,,,READ|CREATE,READ|CREATE|UPDATE,,,,
AUTHENTICATED,,,org,organisation,,,READ|CREATE,READ|CREATE|UPDATE,,,,
AUTHENTICATED,,,,,org_organisation,,READ|CREATE,READ|CREATE|UPDATE,,,,
AUTHENTICATED,,,hrm,,,,READ|CREATE,READ|CREATE|UPDATE,,,,
AUTHENTICATED,,,inv,,,,READ|CREATE,READ|CREATE|UPDATE,,,,
AUTHENTICATED,,,req,,,,READ|CREATE,READ|CREATE|UPDATE,,,,
AUTHENTICATED,,,gis,geocode,,,READ,,,,,
AUTHENTICATED,,,gis,ldata,,,READ,,,,,
EDITOR,Editor,"Can Edit all records for their Organisation",org,,,,READ|CREATE|UPDATE|DELETE,ALL,,,,
EDITOR,,,org,organisation,,,READ|CREATE|UPDATE,ALL,,,,
EDITOR,,,,,org_organisation,,READ|CREATE|UPDATE,ALL,,,,
EDITOR,,,hrm,,,,READ|CREATE|UPDATE|DELETE,ALL,,,,
EDITOR,,,inv,,,,READ|CREATE|UPDATE|DELETE,ALL,,,,
EDITOR,,,req,,,,READ|CREATE|UPDATE|DELETE,ALL,,,,
VALIDATOR,Validator,"Can Approve or Reject records created by Authenticated users",org,,,any,REVIEW|APPROVE,,,,,
VALIDATOR,,,org,organisation,,any,REVIEW|APPROVE,,,,,
VALIDATOR,,,,,org_organisation,any,REVIEW|APPROVE,,,,
VALIDATOR,,,hrm,,,any,REVIEW|APPROVE,,,,
VALIDATOR,,,inv,,,any,REVIEW|APPROVE,,,,
VALIDATOR,,,req,,,any,REVIEW|APPROVE,,,,
ORG_ADMIN,Organization Admin,"Can Edit all records for their Organisation and Administer it's Users",org,,,,ALL,,,,,
ORG_ADMIN,,,org,,,,ALL,,,,,
ORG_ADMIN,,,,,org_organisation,,ALL,,,,,
ORG_ADMIN,,,hrm,,,,ALL,,,,,
ORG_ADMIN,,,inv,,,,ALL,,,,,
ORG_ADMIN,,,req,,,,ALL,,,,,
MAP_ADMIN,Map Admin,"Can Add new Layers to the Map",,,gis_layer_arcrest,,ALL,,,,,
MAP_ADMIN,,,,,gis_layer_bing,,ALL,,,,,
MAP_ADMIN,,,,,gis_layer_coordinate,,ALL,,,,,
MAP_ADMIN,,,,,gis_layer_empty,,ALL,,,,,
MAP_ADMIN,,,,,gis_layer_feature,,ALL,,,,,
MAP_ADMIN,,,,,gis_layer_geojson,,ALL,,,,,
MAP_ADMIN,,,,,gis_layer_georss,,ALL,,,,,
MAP_ADMIN,,,,,gis_layer_google,,ALL,,,,,
MAP_ADMIN,,,,,gis_layer_gpx,,ALL,,,,,
MAP_ADMIN,,,,,gis_layer_kml,,ALL,,,,,
MAP_ADMIN,,,,,gis_layer_mgrs,,ALL,,,,,
MAP_ADMIN,,,,,gis_layer_openstretmap,,ALL,,,,,
MAP_ADMIN,,,,,gis_layer_theme,,ALL,,,,,
MAP_ADMIN,,,,,gis_layer_tms,,ALL,,,,,
MAP_ADMIN,,,,,gis_layer_wfs,,ALL,,,,,
MAP_ADMIN,,,,,gis_layer_wms,,ALL,,,,,
MAP_ADMIN,,,,,gis_layer_xyz,,ALL,,,,,
