Abrv,Name
Animals,Animals
CCCM,Camp Coordination / Management
Child,Child Protection
Coordination,Coordination
Culture,"Arts, Culture & Heritage"
Gender,Gender Based Violence
Education,Education
Environment,Environment
Food,"Food Security, Nutrition & Agriculture"
Health,Health
Housing,Permanent Housing
Livelihoods,Early Recovery and Livelihood
Logistics,Logistics
Nutrition,Nutrition
Protection,Protection
Psychosocial,Psychosocial
Religion,Religion
Research,Research
Rights,"Human & Civil Rights"
Senior,Senior
Shelter,Emergency Shelter
Telecoms,Emergency Telecommunications
WASH,Water Sanitation Hygiene
Youth,Youth
