Organisation,Acronym,Type,Country,Website,Phone,Logo
Seattle Fire Department,,Government,US,www.seattle.gov/fire,+1 206-386-1400,http://psmcop.sahanafoundation.org/eden/static/themes/MCOP/img/SeattleFire.jpg
Tacoma Fire Department,,Government,US,www.tacomafiredepartment.org,+1 253-594-7979,http://psmcop.sahanafoundation.org/eden/static/themes/MCOP/img/TacomaFire.jpeg
Seattle Police Department,,Government,US,www.seattle.gov/spd,+1 206-684-8917,http://psmcop.sahanafoundation.org/eden/static/themes/MCOP/img/SeattlePolice.jpeg
Tacoma Police Department,,Government,US,www.cityoftacoma.org/government/city_departments/police,+1 253-591-5950,http://psmcop.sahanafoundation.org/eden/static/themes/MCOP/img/TacomaPolice.jpeg
Port of Seattle,,Port Authority,US,www.portseattle.org,+1 206-728-3034,http://psmcop.sahanafoundation.org/eden/static/themes/MCOP/img/PortSeattle.png
Port of Tacoma,,Port Authority,US,Www.portoftacoma.com,+1 253-383-5841,http://portoftacoma.com/sites/all/themes/port_tacoma/logo.png
Port of Everett,,Port Authority,US,www.portofeverett.com,+1 800-729-7678,
Foss Maritime,,Private Sector,US,www.foss.com,+1 206-281-3800,
Crowley Maritime Corporation,,Private Sector,US,www.crowley.com,,http://psmcop.sahanafoundation.org/eden/static/themes/MCOP/img/Crowley.jpeg
Maersk Line,,Private Sector,US,www.maerskline.com,+1 253-593-8750,http://psmcop.sahanafoundation.org/eden/static/themes/MCOP/img/Maersk.jpeg
