Name,Type,Organisation,Building,Address,Postcode,Country,L1,L2,L3,L4,Lat,Lon,Phone,Phone1,Email,Website,Opening Times,Comments
IZ Altenkirchen 1,Vaccination Center,IZ Kreisverwaltung Altenkirchen 1,,Rathausstraße 56,57537,DE,Rheinland-Pfalz,Altenkirchen,Wissen,,50.781412293586,7.7345354253271,,,,,,Westerwald Bank Wissen
IZ Ahrweiler 1,Vaccination Center,IZ Kreisverwaltung Ahrweiler 1,,Altenahrer Straße 13,53501,DE,Rheinland-Pfalz,Ahrweiler,Grafschaft,,50.581870656066,7.0324719213761,,,,,,Mehrzweckhalle / Feuergebäude Gelsdorf
IZ Alzey-Worms 1,Vaccination Center,IZ Kreisverwaltung Alzey-Worms 1,,Albiger Straße 33,55232,DE,Rheinland-Pfalz,Alzey-Worms,Alzey,,49.755392913684,8.1163185605013,,,,,,SEG Halle
IZ Bad Dürkheim 1,Vaccination Center,IZ Kreisverwaltung Bad Dürkheim 1,,Kurbrunnenstraße 30,67098,DE,Rheinland-Pfalz,Bad Dürkheim,Bad Dürkheim,,49.465496040782,8.172726422469,,,,,,Salierhalle
IZ Bad Kreuznach 1,Vaccination Center,IZ Kreisverwaltung Bad Kreuznach 1,,Westtangente 3,55566,DE,Rheinland-Pfalz,Bad Kreuznach,Bad Sobernheim,,49.786741506261,7.6389621043265,,,,,,Ehemaliger Real-Markt
IZ Bernkastel-Wittlich 1,Vaccination Center,IZ Kreisverwaltung Bernkastel-Wittlich 1,,Schloßstraße 31,54516,DE,Rheinland-Pfalz,Bernkastel-Wittlich,Wittlich,,49.980409244209,6.8968188901853,,,,,,ehemaliger Hela-Baumarkt
IZ Birkenfeld 1,Vaccination Center,IZ Kreisverwaltung Birkenfeld 1,,John-F.-Kennedy-Straße 3,55743,DE,Rheinland-Pfalz,Birkenfeld,Idar-Oberstein,,49.711106718705,7.3579322045485,,,,,,Messe Idar-Oberstein
IZ Bitburg-Prüm 1,Vaccination Center,IZ Kreisverwaltung Eifelkreis Bitburg-Prüm 1,,Am Wasserturm,54634,DE,Rheinland-Pfalz,Eifelkreis Bitburg-Prüm,Bitburg,,49.95837,6.54169,,,,,,Sporthalle der ehem. High-School
IZ Cochem-Zell 1,Vaccination Center,IZ Kreisverwaltung Cochem-Zell 1,,Schulstraße 2,56814,DE,Rheinland-Pfalz,Cochem-Zell,Bruttig-Fankel,,50.129063014379,7.230616887755,,,,,,Eifelgoldhalle
IZ Donnersbergkreis 1,Vaccination Center,IZ Kreisverwaltung Donnersbergkreis 1,,Dr.-Edeltraud-Sießl-Allee 4,67292,DE,Rheinland-Pfalz,Donnersbergkreis,Kirchheimbolanden,,49.66699723245,8.0140661662873,,,,,,Stadthalle Kirchheimbolanden
