uid,role,description,hidden,controller,function,table,uacl,oacl
ANONYMOUS,Anonymous,Unauthenticated users,,gis,hdata,,READ,
ANONYMOUS,Anonymous,Unauthenticated users,,gis,ldata,,READ,
ANONYMOUS,Anonymous,Unauthenticated users,,org,sites_for_org,,READ,
ANONYMOUS,Anonymous,Unauthenticated users,,,,gis_location,READ,
ANONYMOUS,Anonymous,Unauthenticated users,,,,org_organisation,READ,
ANONYMOUS,Anonymous,Unauthenticated users,,,,pr_occupation_type,READ,
AUTHENTICATED,Authenticated,,,gis,ldata,,CREATE|READ|UPDATE|DELETE,
AUTHENTICATED,Authenticated,,,gis,location,,CREATE|READ,UPDATE|DELETE
AUTHENTICATED,Authenticated,,,pr,contact,,CREATE,READ|UPDATE|DELETE
AUTHENTICATED,Authenticated,,,pr,contact_emergency,,CREATE,READ|UPDATE|DELETE
AUTHENTICATED,Authenticated,,,,,gis_location,CREATE|READ,UPDATE|DELETE
AUTHENTICATED,Authenticated,,,,,hrm_competency,CREATE,READ|UPDATE|DELETE
AUTHENTICATED,Authenticated,,,,,hrm_human_resource,NONE,READ|UPDATE
AUTHENTICATED,Authenticated,,,,,org_facility_type,READ,
AUTHENTICATED,Authenticated,,,,,pr_address,CREATE,READ|UPDATE|DELETE
AUTHENTICATED,Authenticated,,,,,pr_contact,CREATE,READ|UPDATE|DELETE
AUTHENTICATED,Authenticated,,,,,pr_contact_emergency,CREATE,READ|UPDATE|DELETE
AUTHENTICATED,Authenticated,,,,,pr_filter,CREATE,READ|UPDATE|DELETE
AUTHENTICATED,Authenticated,,,,,pr_group,READ,
AUTHENTICATED,Authenticated,,,,,pr_group_membership,READ,
AUTHENTICATED,Authenticated,,,,,pr_occupation_type,READ,
AUTHENTICATED,Authenticated,,,,,pr_occupation_type_person,CREATE|READ,UPDATE|DELETE
AUTHENTICATED,Authenticated,,,,,pr_person,NONE,READ|UPDATE|DELETE
AUTHENTICATED,Authenticated,,,,,pr_person_availability,CREATE,READ|UPDATE
AUTHENTICATED,Authenticated,,,,,pr_person_details,CREATE,READ|UPDATE
COORDINATOR,Pool Coordinator,,,hrm,delegation,,READ|UPDATE,
COORDINATOR,Pool Coordinator,,,org,office,,READ,
COORDINATOR,Pool Coordinator,,,org,organisation,,READ,
COORDINATOR,Pool Coordinator,,,vol,delegation,,CREATE|READ|UPDATE|DELETE,
COORDINATOR,Pool Coordinator,,,vol,person,,CREATE|READ|UPDATE|DELETE,
COORDINATOR,Pool Coordinator,,,vol,,,READ,
COORDINATOR,Pool Coordinator,,,,,gis_location,CREATE|READ|UPDATE|DELETE,
COORDINATOR,Pool Coordinator,,,,,hrm_competency,CREATE|READ|UPDATE|DELETE,
COORDINATOR,Pool Coordinator,,,,,hrm_delegation,CREATE|READ|UPDATE,
COORDINATOR,Pool Coordinator,,,,,hrm_delegation_message,READ|DELETE,
COORDINATOR,Pool Coordinator,,,,,hrm_human_resource,CREATE|READ|UPDATE|DELETE,
COORDINATOR,Pool Coordinator,,,,,org_office,READ,
COORDINATOR,Pool Coordinator,,,,,org_organisation,READ,
COORDINATOR,Pool Coordinator,,,,,pr_address,CREATE|READ|UPDATE|DELETE,
COORDINATOR,Pool Coordinator,,,,,pr_contact,CREATE|READ|UPDATE|DELETE,
COORDINATOR,Pool Coordinator,,,,,pr_group_membership,CREATE|READ|UPDATE|DELETE,
