Name,Module,Resource,Comments,Body
Subject Organisation,hrm,delegation,Notification MWG=>Deploying Organisation,{system}: Volunteer Deployment of {volunteer_id} has been Approved
Message Organisation,hrm,delegation,Notification MWG=>Deploying Organisation,Volunteer {volunteer_id} {volunteer_name} has been Approved for a Deployment to {organisation} from {start} to {end}.
Subject Volunteer,hrm,delegation,Notification MWG=>Volunteer,{system}: Your Deployment to {organisation} has been Approved
Message Volunteer,hrm,delegation,Notification MWG=>Volunteer,Your Deployment to {organisation} from {start} to {end} has been Approved.
Subject Office,hrm,delegation,Notification MWG=>Volunteer Office,{system}: Volunteer Deployment of {volunteer_id} has been Approved
Message Office,hrm,delegation,Notification MWG=>Volunteer Office,Volunteer {volunteer_id} {volunteer_name} has been Approved for a Deployment to {organisation} from {start} to {end}.
Subject OrgToVolunteer,hrm,delegation,Notification Deploying Organisation=>Volunteer,{system}: Your Deployment to {organisation} has been Approved
Message OrgToVolunteer,hrm,delegation,Notification Deploying Organisation=>Volunteer,Your Deployment to {organisation} from {start} to {end} has been Approved.
WelcomeMessageDisabled,auth,user,Rename into ”WelcomeMessage” to activate welcome message,"Welcome to the {system_name} Portal!

You can edit your user profile at {profile}"
HoursMatrixIntro,pr,person_availability,,"Bitte markieren Sie alle Zeiten zu denen Sie während der Woche grundsätzlich verfügbar sind. Die Spalten der untenstehenden Tabelle bilden Uhrzeiten ab. Klicken Sie auf die Kästchen um einzelne Stunden aus/abzuwählen, oder halten Sie die linke Maustaste gedrückt und fahren Sie über die Kästchen um mehrere nacheinander aus/abzuwählen."
SelfRegistrationIntro,auth,user,,"Bitte tragen Sie hier alle relevanten Informationen für einen Einsatz ein. Für die Suche nach geeigneten UnterstützerInnen ist vor allem die Angabe Ihres Wohnorts (PLZ und Wohnort), Ihrer Kontaktdaten (Telefon und E-Mail) und die Angabe Ihrer wöchentlichen Verfügbarkeit (Stunden/Woche) wichtig."
AvailabilitySitesIntro,pr,person_availability_site,,Bitte wählen Sie über die untenstehende Liste alle für Sie möglichen Einsatzorte (d.h. Gesundheitsämter oder/und Impfzentren (IZ)) aus (Mehrfachauswahl ist möglich).
DelegationOrganizerIntro,hrm,delegation,,Markieren Sie einen oder mehrere aufeinanderfolgende Tage um einen Einsatz anzulegen.
NotificationIntroOrg,hrm,delegation,,Wählen Sie welche Benachrichtigungen Sie senden wollen. Sie können die Mitteilung vor dem Versenden bearbeiten. Eine Kopie der Mitteilung wird an Sie selbst gesendet.
