Name,Organisation,Country,Address,Postcode,L1,L2,L3,L4,Lat,Lon,Phone1,Email,Fax,Comments
Abt. Gesundheitswesen,Gesundheitsamt Ahrweiler,DE,Wilhelmstraße 59 ,53474,Rheinland-Pfalz,Ahrweiler,Bad Neuenahr-Ahrweiler,,50.5451153412748,7.10755002111476,02641 975-0 ,gesundheitsamt@kreis-ahrweiler.de,02641 975-699,
Gesundheitsamt,Gesundheitsamt Altenkirchen ,DE,Parkstraße 1,57610,Rheinland-Pfalz,Altenkirchen,Altenkirchen,,50.6884651840987,7.65020068946329,02681 81-0,gesundheitsamt@kreis-ak.de,02681 81-2700,
Abt. 8 – Referat Gesundheitsamt,Gesundheitsamt Alzey-Worms,DE,An der Hexenbleiche 34 ,55232,Rheinland-Pfalz,Alzey-Worms,Alzey,,49.7432196976498,8.10931089854519,06731 408-0,gesundheitsamt@alzey-worms.de,06731 408-84444 ,
Gesundheitsamt,Gesundheitsamt Bad Dürkheim,DE,Neumayerstraße 10,67433,Rheinland-Pfalz,Bad Dürkheim,Neustadt,,49.3515972596118,8.14489177350112,06322 961- 7001,gesundheitsamt@kreis-bad-duerkheim.de,06322 961-7320,
Amt 7 Gesundheitsamt,Gesundheitsamt Bad Kreuznach,DE,Ringstraße 4,55543,Rheinland-Pfalz,Bad Kreuznach,Bad Kreuznach,,49.8327687962002,7.85427934815349,0671 803-0,post@kreis-badkreuznach.de,0671 803-1750,
Fachbereich Gesundheit,Gesundheitsamt Bernkastel-Wittlich,DE,Kurfürstenstraße 16,54516,Rheinland-Pfalz,Bernkastel-Wittlich,Wittlich,,49.9821130765768,6.89818495368677,06571 14-0,gesundheitsamt@Bernkastel-Wittlich.de,06571 14-2503,
Gesundheitsamt,Gesundheitsamt Birkenfeld,DE,Mainzer Straße 157/159,55743,Rheinland-Pfalz,Birkenfeld,Idar-Oberstein,,49.706456822645,7.31427660624608,06781 2008-0,info@landkreis-birkenfeld.de,06781 25102,
Abt. Gesundheitsamt,Gesundheitsamt Cochem-Zell,DE,Endertplatz 2,56812,Rheinland-Pfalz,Cochem-Zell,Cochem,,50.1482213750255,7.16658647358476,02671 61-0,gesundheitsamt@cochem-zell.de,02671 61-380,
Referat Gesundheitswesen,Gesundheitsamt Donnersbergkreis,DE,Uhlandstraße 2,67292,Rheinland-Pfalz,Donnersbergkreis,Kirchheimbolanden,,49.6655319436907,8.014847985015,06352 710-500,gesundheitsamt@donnersberg.de,06352 710-520,
Amt 14 Gesundheitswesen ,Gesundheitsamt Eifelkreis Bitburg-Prüm,DE,Trierer Straße 1,54634,Rheinland-Pfalz,Eifelkreis Bitburg-Prüm,Bitburg ,,49.9681434656598,6.52279244684202,06561 15-0,gesundheitsamt@bitburg-pruem.de,06561 15-1010,
Gesundheitsamt,Gesundheitsamt Germersheim,DE,Hauptstraße 25,76726,Rheinland-Pfalz,Germersheim,Germersheim,,49.2198342746148,8.37359130770037,07274 53-0,kreisverwaltung@kreis-germersheim.de,07274 53-350,
Gesundheitsamt,Gesundheitsamt Kaiserslautern,DE,Pfaffstraße 40,67655,Rheinland-Pfalz,Kaiserslautern,Kaiserslautern,,49.4396887547655,7.75400804258419,0631 7105-520,infoga@kaiserslautern-kreis.de,0631 7105-526,
Gesundheitsamt,Gesundheitsamt Kusel,DE,Trierer Straße 49-51,66869,Rheinland-Pfalz,Kusel,Kusel,,49.540145254762,7.3979676272085,06381 424-0,gesundheitsamt@kv-kus.de,06381 424-301,
Abteilung Gesundheitswesen,Gesundheitsamt Mainz-Bingen,DE,Große Langgasse 29,55116,Rheinland-Pfalz,Mainz-Bingen,Mainz,,50.0005110667081,8.26549525626282,06131 69333-0,kreisverwaltung@mainz-bingen.de,06131 69333-4098,
Abt. Gesundheitswesen,Gesundheitsamt Mayen-Koblenz,DE,Neversstraße 4-6,56068,Rheinland-Pfalz,Mayen-Koblenz,Koblenz,,50.3483345917211,7.58982727557483,0261 914807-0,info@kvmyk.de,0261 914807-50,
Abt. 11 – Gesundheitsamt,Gesundheitsamt Neuwied,DE,Ringstraße 70,56564,Rheinland-Pfalz,Neuwied,Neuwied,,50.435389248529,7.47246106022953,02631 803-0,poststelle@kreis-neuwied.de,02631 803-737,
Gesundheitsamt,Gesundheitsamt Rhein-Hunsrück-Kreis,DE,Hüllstraße 13,55469,Rheinland-Pfalz,Rhein-Hunsrück-Kreis,Simmern,,49.9850336326363,7.52442440589567,06761 82-701,gesundheitsamt@rheinhunsrueck.de,06761 82-777,
Abt. Gesundheitswesen,Gesundheitsamt Rhein-Lahn-Kreis,DE,Insel Silberau,56130,Rheinland-Pfalz,Rhein-Lahn-Kreis,Bad Ems,,50.3331622969637,7.70669290255037,02603 972-0,info@rhein-lahn.rlp.de,02603 972-199,
Gesundheitsamt,Gesundheitsamt Rhein-Pfalz-Kreis,DE,Dörrhorststraße 36,67059,Rheinland-Pfalz,Rhein-Pfalz-Kreis,Ludwigshafen,,49.4785586613121,8.43961151989918,0621 5909-0,gesundheitsamt@kv-rpk.de,0621 5909-772,
Gesundheitsamt,Gesundheitsamt Südliche Weinstraße,DE,Arzheimer Straße 1,76829,Rheinland-Pfalz,Südliche Weinstraße,Landau,,49.1961239376725,8.09098232261513,06341 940-0,info@suedliche-weinstrasse.de,06341 940-512,
