Organisation,Acronym,Country,Website,Email,Phone,Phone2,Comments
Gesundheitsamt Ahrweiler,GA AW,DE,https://www.kreis-ahrweiler.de/,gesundheitsamt@kreis-ahrweiler.de,02641 975-0 ,02641 975-699,
Gesundheitsamt Altenkirchen,GA AK,DE,https://www.kreis-altenkirchen.de/,gesundheitsamt@kreis-ak.de,02681 81-0,02681 81-2700,
Gesundheitsamt Alzey-Worms,GA AZ,DE,http://www.kreis-alzey-worms.de,gesundheitsamt@alzey-worms.de,06731 408-0,06731 408-84444 ,
Gesundheitsamt Bad Dürkheim,GA DUEW,DE,http://www.kreis-bad-duerkheim.de,gesundheitsamt@kreis-bad-duerkheim.de,06322 961- 7001,06322 961-7320,
Gesundheitsamt Bad Kreuznach,GA KH,DE,http://www.kreis-badkreuznach.de,post@kreis-badkreuznach.de,0671 803-0,0671 803-1750,
Gesundheitsamt Bernkastel-Wittlich,GA WIL/BKS,DE,http://www.bernkastel-wittlich.de,gesundheitsamt@Bernkastel-Wittlich.de,06571 14-0,06571 14-2503,
Gesundheitsamt Birkenfeld,GA BIR,DE,http://www.landkreis-birkenfeld.de,info@landkreis-birkenfeld.de,06781 2008-0,06781 25102,
Gesundheitsamt Cochem-Zell,GA COC/ZEL,DE,http://www.cochem-zell.de,gesundheitsamt@cochem-zell.de,02671 61-0,02671 61-380,
Gesundheitsamt Donnersbergkreis,GA KIB/ROK,DE,http://www.donnersberg.de,gesundheitsamt@donnersberg.de,06352 710-500,06352 710-520,
Gesundheitsamt Eifelkreis Bitburg-Prüm,GA BIT/PRUE,DE,http://www.bitburg-pruem.de,gesundheitsamt@bitburg-pruem.de,06561 15-0,06561 15-1010,
Gesundheitsamt Germersheim,GA GER,DE,http://www.kreis-germersheim.de,kreisverwaltung@kreis-germersheim.de,07274 53-0,07274 53-350,
Gesundheitsamt Kaiserslautern,GA KL,DE,http://www.kaiserslautern-kreis.de,infoga@kaiserslautern-kreis.de,0631 7105-520,0631 7105-526,
Gesundheitsamt Kusel,GA KU,DE,http://www.landkreis-kusel.de,gesundheitsamt@kv-kus.de,06381 424-0,06381 424-301,
Gesundheitsamt Mainz-Bingen,GA BIN/MZ,DE,http://www.mainz-bingen.de,kreisverwaltung@mainz-bingen.de,06131 69333-0,06131 69333-4098,
Gesundheitsamt Mayen-Koblenz,GA MYK,DE,http://www.mayen-koblenz.de,info@kvmyk.de,0261 914807-0,0261 914807-50,
Gesundheitsamt Neuwied,GA NR,DE,http://www.kreis-neuwied.de,poststelle@kreis-neuwied.de,02631 803-0,02631 803-737,
Gesundheitsamt Rhein-Hunsrück-Kreis,GA SIM/GOA,DE,http://www.kreis-sim.de/,gesundheitsamt@rheinhunsrueck.de,06761 82-701,06761 82-777,
Gesundheitsamt Rhein-Lahn-Kreis,GA DIZ/EMS/GOH,DE,http://www.rhein-lahn-info.de,info@rhein-lahn.rlp.de,02603 972-0,02603 972-199,
Gesundheitsamt Rhein-Pfalz-Kreis,GA RP,DE,http://www.rhein-pfalz-kreis.de,gesundheitsamt@kv-rpk.de,0621 5909-0,0621 5909-772,
Gesundheitsamt Südliche Weinstraße,GA SUEW,DE,http://www.suedliche-weinstrasse.de,info@suedliche-weinstrasse.de,06341 940-0,06341 940-512,
Gesundheitsamt Südwestpfalz,GA PS,DE,http://www.lksuedwestpfalz.de,kv@lksuedwestpfalz.de,06331 809-0,06331 809-303,
Gesundheitsamt Trier-Saarburg,GA TR/SAB,DE,http://www.trier-saarburg.de/,kv@trier-saarburg.de,0651 715-0,0651 715-510,
Gesundheitsamt Vulkaneifel,GA DAU,DE,http://www.vulkaneifel.de,gesundheitsamt@vulkaneifel.de,06592 933-0,06592 933-400,
Gesundheitsamt Westerwaldkreis,GA WW,DE,http://www.westerwaldkreis.de/startseite.html,kreisverwaltung@westerwaldkreis.de,02602 124-0,02602 124-701,
"Ministerium für Soziales, Arbeit, Gesundheit und Demografie",MSAGD,DE,https://msagd.rlp.de,internetredaktion@msagd.rlp.de,06131 / 16 0,,"Der Geschäftsbereich des Ministeriums für Soziales, Arbeit, Gesundheit und Demografie umfasst die arbeits- und sozialversicherungsrechtlichen sowie die sozialen, gesundheitlichen und generationspolitischen Angelegenheiten"
MDK Rheinland-Pfalz,MDK RLP,DE,https://www.mdk-rlp.de/,post@mdk-rlp.de,06731 486 - 0,,
