uid,role,description,hidden,controller,function,table,uacl,oacl,entity
ANONYMOUS,Anonymous,Unauthenticated users,,gis,display_feature,,READ,,
ANONYMOUS,Anonymous,Unauthenticated users,,gis,geocode_r,,READ,,
ANONYMOUS,Anonymous,Unauthenticated users,,gis,hdata,,READ,,
ANONYMOUS,Anonymous,Unauthenticated users,,gis,ldata,,READ,,
ANONYMOUS,Anonymous,Unauthenticated users,,org,facility,,READ,,
ANONYMOUS,Anonymous,Unauthenticated users,,org,sites_for_org,,READ,,
ANONYMOUS,Anonymous,Unauthenticated users,,,,gis_location,READ,,
ANONYMOUS,Anonymous,Unauthenticated users,,,,org_facility,READ,,
ANONYMOUS,Anonymous,Unauthenticated users,,,,org_organisation,READ,,
ANONYMOUS,Anonymous,Unauthenticated users,,,,org_service,READ,,
ANONYMOUS,Anonymous,Unauthenticated users,,,,org_service_site,READ,,
ANONYMOUS,Anonymous,Unauthenticated users,,,,pr_occupation_type,READ,,
ANONYMOUS,Anonymous,Unauthenticated users,,,,project_project,READ,,
AUTHENTICATED,Authenticated,,,gis,location,,CREATE|READ,UPDATE|DELETE,
AUTHENTICATED,Authenticated,,,pr,contact,,CREATE,READ|UPDATE|DELETE,
AUTHENTICATED,Authenticated,,,pr,contact_emergency,,CREATE,READ|UPDATE|DELETE,
AUTHENTICATED,Authenticated,,,,,disease_disease,READ,,
AUTHENTICATED,Authenticated,,,,,gis_location,CREATE|READ,UPDATE|DELETE,
AUTHENTICATED,Authenticated,,,,,hrm_human_resource,NONE,READ|UPDATE,
AUTHENTICATED,Authenticated,,,,,inv_warehouse,READ,,
AUTHENTICATED,Authenticated,,,,,org_facility_type,READ,,
AUTHENTICATED,Authenticated,,,,,org_group,READ,,
AUTHENTICATED,Authenticated,,,,,pr_address,CREATE,READ|UPDATE|DELETE,
AUTHENTICATED,Authenticated,,,,,pr_contact,CREATE,READ|UPDATE|DELETE,
AUTHENTICATED,Authenticated,,,,,pr_contact_emergency,CREATE,READ|UPDATE|DELETE,
AUTHENTICATED,Authenticated,,,,,pr_filter,CREATE,READ|UPDATE|DELETE,
AUTHENTICATED,Authenticated,,,,,pr_group,READ,,
AUTHENTICATED,Authenticated,,,,,pr_group_membership,READ,,
AUTHENTICATED,Authenticated,,,,,pr_occupation_type,READ,,
AUTHENTICATED,Authenticated,,,,,pr_occupation_type_person,CREATE|READ,UPDATE|DELETE,
AUTHENTICATED,Authenticated,,,,,pr_person,NONE,READ|UPDATE|DELETE,
AUTHENTICATED,Authenticated,,,,,pr_person_details,CREATE,READ|UPDATE,
DISEASE_TEST_READER,Disease Test Reader,,,disease,case_diagnostics,,READ,,any
DISEASE_TEST_READER,Disease Test Reader,,,disease,testing_report,,READ,,any
DISEASE_TEST_READER,Disease Test Reader,,,disease,,,READ,,
DISEASE_TEST_READER,Disease Test Reader,,,,,disease_case_diagnostics,READ,,any
DISEASE_TEST_READER,Disease Test Reader,,,,,disease_testing_report,READ,,any
DISEASE_TEST_READER,Disease Test Reader,,,,,project_project,READ,,any
MAP_ADMIN,,,true,gis,location,,CREATE|READ|UPDATE|DELETE,,
ORG_ADMIN,Organisation Admin,,,admin,user,,CREATE|READ|UPDATE|DELETE,,
ORG_ADMIN,Organisation Admin,,,hrm,person,,CREATE|READ|UPDATE|DELETE,,
ORG_ADMIN,Organisation Admin,,,hrm,staff,,CREATE|READ|UPDATE|DELETE,,
ORG_ADMIN,Organisation Admin,,,inv,recv,,READ|UPDATE,,
ORG_ADMIN,Organisation Admin,,,inv,recv_process,,READ|UPDATE,,
ORG_ADMIN,Organisation Admin,,,inv,send,,NONE,,
ORG_ADMIN,Organisation Admin,,,org,organisation,,CREATE|READ|UPDATE|DELETE,,
ORG_ADMIN,Organisation Admin,,,req,req,,CREATE|READ|UPDATE|DELETE,,
ORG_ADMIN,Organisation Admin,,,req,,,READ,,
ORG_ADMIN,Organisation Admin,,,supply,item,,NONE,,
ORG_ADMIN,Organisation Admin,,,supply,item_pack,,READ,,
ORG_ADMIN,Organisation Admin,,,supply,,,NONE,,
ORG_ADMIN,Organisation Admin,,,,,hrm_human_resource,CREATE|READ|UPDATE|DELETE,,
ORG_ADMIN,Organisation Admin,,,,,inv_recv,READ|UPDATE,,
ORG_ADMIN,Organisation Admin,,,,,inv_send,READ,,
ORG_ADMIN,Organisation Admin,,,,,inv_warehouse,CREATE|READ|UPDATE|DELETE,,
ORG_ADMIN,Organisation Admin,,,,,org_facility,CREATE|READ|UPDATE|DELETE,,
ORG_ADMIN,Organisation Admin,,,,,org_office,CREATE|READ|UPDATE|DELETE,,
ORG_ADMIN,Organisation Admin,,,,,org_organisation,READ|UPDATE,,
ORG_ADMIN,Organisation Admin,,,,,org_service_site,CREATE|READ|UPDATE|DELETE,,
ORG_ADMIN,Organisation Admin,,,,,pr_contact,CREATE|READ|UPDATE|DELETE,,
ORG_ADMIN,Organisation Admin,,,,,pr_contact_emergency,CREATE|READ|UPDATE|DELETE,,
