Type,KV:OrgGroup,KV:Commercial,Comments
Bildungseinrichtung,Schulen,N,
Erziehungseinrichtung,Schulen,N,
Kinderbetreuung,Schulen,N,
Tagesgruppe,Schulen,N,
Ausbildung im Gesundheitsbereich,Schulen,N,
Landesregierung,Regierungsstellen,N,
Amt/Behörde,Regierungsstellen,N,
Zahnarztpraxis,COVID-19 Teststellen,N,
Arztpraxis (Vertragsarztpraxis),COVID-19 Teststellen,N,
Tierarztpraxis,COVID-19 Teststellen,N,
Apotheke,COVID-19 Teststellen,N,
Rotes Kreuz,COVID-19 Teststellen,N,
Hilfsorganisation,COVID-19 Teststellen,N,
Kommunale Teststelle,COVID-19 Teststellen,N,
Kommerzieller Anbieter,COVID-19 Teststellen,Y,
