Name,Code,Organisation,Type,Country
Antigua and Barbuda,,,Venue,Antigua and Barbuda
Argentina,,,Venue,Argentina
Bahamas,,,Venue,Bahamas
Barbados,,,Venue,Barbados
Belize,,,Venue,Belize
Bolivia,,,Venue,Bolivia
Brazil,,,Venue,Brazil
Canada,,,Venue,Canada
Chile,,,Venue,Chile
Colombia,,,Venue,Colombia
Costa Rica,,,Venue,Costa Rica
Cuba,,,Venue,Cuba
Dominica,,,Venue,Dominica
Dominican Republic,,,Venue,Dominican Republic
Ecuador,,,Venue,Ecuador
El Salvador,,,Venue,El Salvador
Grenada,,,Venue,Grenada
Guatemala,,,Venue,Guatemala
Guyana,,,Venue,Guyana
Haiti,,,Venue,Haiti
Honduras,,,Venue,Honduras
Jamaica,,,Venue,Jamaica
Mexico,,,Venue,Mexico
Nicaragua,,,Venue,Nicaragua
Panama,,,Venue,Panama
Paraguay,,,Venue,Paraguay
Peru,,,Venue,Peru
Saint Kitts and Nevis,,,Venue,Saint Kitts and Nevis
Saint Lucia,,,Venue,Saint Lucia
Suriname,,,Venue,Suriname
Trinidad and Tobago,,,Venue,Trinidad and Tobago
United States,,,Venue,United States
Uruguay,,,Venue,Uruguay
Venezuela,,,Venue,Venezuela
