Name,Organisation,Branch,Country,Building,Address,L1,L2,L3,Lat,Lon,Phone1,Phone2,Email,Fax,Comments
Guadeloupe,French Red Cross (Croix Rouge Francaise),Guadeloupe,GP
Guadeloupe,French Red Cross (Croix Rouge Francaise),PIRAC,GP
Martinique,French Red Cross (Croix Rouge Francaise),PIRAC,MQ
Roseau,Dominica Red Cross Society,,DM
Marigot,Dominica Red Cross Society,Marigot,DM
La Pleine,Dominica Red Cross Society,La Pleine,DM
Saint Kitts,Saint Kitts and Nevis Red Cross Society,,KN
Comayagua,Honduran Red Cross,Comayagua,HN,,,Comayagua,Comayagua,,,,,,,,
Tegucigalpa,Honduran Red Cross,Tegucigalpa,HN,,,Francisco Morazán,Distrito Central,,,,,,,,
Managua,Nicaraguan Red Cross,Managua,NI,,,Managua,,,,,,,,,
