uid,role,description,controller,function,table,entity,uacl,oacl,hidden,system,protected,Notes
ANONYMOUS,Anonymous,,,,org_organisation,,READ,,,,,Required for self-registration
ANONYMOUS,Anonymous,,,,org_organisation_organisation_type,,READ,,,,,Required for self-registration
ANONYMOUS,Anonymous,,org,sites_for_org,,,READ,,,,,Required for self-registration
AUTHENTICATED,Authenticated,,default,person,,,READ|CREATE|UPDATE,,,,,
AUTHENTICATED,Authenticated,,deploy,response,,,CREATE,READ|UPDATE,,,,
AUTHENTICATED,Authenticated,,gis,index,,,READ,,,,,
AUTHENTICATED,Authenticated,,gis,config,,,READ|CREATE,READ|UPDATE,,,,
AUTHENTICATED,Authenticated,,gis,display_feature,,,READ,,,,,
AUTHENTICATED,Authenticated,,gis,geocode,,,READ,,,,,
AUTHENTICATED,Authenticated,,gis,geocode_r,,,READ,,,,,
AUTHENTICATED,Authenticated,,gis,hdata,,,READ,,,,,
AUTHENTICATED,Authenticated,,gis,hierarchy,,,READ,,,,,
AUTHENTICATED,Authenticated,,gis,ldata,,,READ,,,,,
AUTHENTICATED,Authenticated,,gis,location,,,READ,,,,,
AUTHENTICATED,Authenticated,,,,gis_config,,READ|CREATE,READ|UPDATE,,,,
AUTHENTICATED,Authenticated,,,,gis_layer_bing,,READ,,,,,
AUTHENTICATED,Authenticated,,,,gis_layer_coordinate,,READ,,,,,
AUTHENTICATED,Authenticated,,,,gis_layer_empty,,READ,,,,,
AUTHENTICATED,Authenticated,,,,gis_layer_feature,,READ,,,,,
AUTHENTICATED,Authenticated,,,,gis_layer_geojson,,READ,,,,,
AUTHENTICATED,Authenticated,,,,gis_layer_georss,,READ,,,,,
AUTHENTICATED,Authenticated,,,,gis_layer_google,,READ,,,,,
AUTHENTICATED,Authenticated,,,,gis_layer_gpx,,READ,,,,,
AUTHENTICATED,Authenticated,,,,gis_layer_kml,,READ,,,,,
AUTHENTICATED,Authenticated,,,,gis_layer_openstretmap,,READ,,,,,
AUTHENTICATED,Authenticated,,,,gis_layer_theme,,READ,,,,,
AUTHENTICATED,Authenticated,,,,gis_layer_tms,,READ,,,,,
