Organisation,Branch,Acronym,Type,Region,Country
Honduran Red Cross,San Pedro Sula,CD04,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,La Ceiba,CD05,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,Choluteca,CD06,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,Nacaome,CD07,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,Comayagua,CD08,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,Santa Barbara,CD15,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,La Esperanza,CD17,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,Roatan,CD18,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,La Paz,CD21,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,Santa Rosa de Copan,CD27,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,Juticalpa,CD32,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,Tocoa,CD49,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,Yuscaran,CD50,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,Jesus de Otoro,CD58,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,El Progreso,CM10,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,El Paraiso,CM11,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,Danli,CM12,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,Puerto Cortes,CM13,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,Amapala,CM14,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,San Lorenzo,CM19,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,Teupasenti,CM20,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,Tela,CM22,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,Omoa,CM23,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,Pespire,CM24,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,Olanchito,CM26,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,Siguatepeque,CM28,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,Quimistan,CM29,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,Copan Ruinas,CM30,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,Taulabe,CM31,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,Pimienta,CM33,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,Marcala,CM34,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,La Lima,CM35,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,Potrerillos,CM36,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,Villanueva,CM37,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,Choloma,CM38,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,San Luis,CM39,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,Camasca,CM40,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,Las Vegas,CM41,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,Catacamas,CM42,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,Chamelecon,CM44,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,Rio Lindo,CM45,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,San Manuel,CM46,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,Trinidad,CM47,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,San Jose de Las Colinas,CM48,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,San Francisco de La Paz,CM52,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,Jutiapa,CM53,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,Sonaguera,CM54,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,La Entrada Copan,CM55,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,La Libertad,CM57,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,Tegucigalpa,CN01,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,Talanga,CM16,Red Cross / Red Crescent,Central America,HN
Honduran Red Cross,Yoro,CD09,Red Cross / Red Crescent,Central America,HN
