Organisation,Branch,Type,Region,Country
Nicaraguan Red Cross,Tipitapa,Red Cross / Red Crescent,Central America,NI
Nicaraguan Red Cross,Río Blanco,Red Cross / Red Crescent,Central America,NI
Nicaraguan Red Cross,Sebaco,Red Cross / Red Crescent,Central America,NI
Nicaraguan Red Cross,Yali,Red Cross / Red Crescent,Central America,NI
Nicaraguan Red Cross,Jalapa,Red Cross / Red Crescent,Central America,NI
Nicaraguan Red Cross,Telpaneca,Red Cross / Red Crescent,Central America,NI
Nicaraguan Red Cross,Corinto,Red Cross / Red Crescent,Central America,NI
Nicaraguan Red Cross,Tisma,Red Cross / Red Crescent,Central America,NI
Nicaraguan Red Cross,San Marcos,Red Cross / Red Crescent,Central America,NI
Nicaraguan Red Cross,Nagarote,Red Cross / Red Crescent,Central America,NI
Nicaraguan Red Cross,Nueva Guinea,Red Cross / Red Crescent,Central America,NI
Nicaraguan Red Cross,Chichigalpa,Red Cross / Red Crescent,Central America,NI
Nicaraguan Red Cross,Rama,Red Cross / Red Crescent,Central America,NI
Nicaraguan Red Cross,Wiwili,Red Cross / Red Crescent,Central America,NI
Nicaraguan Red Cross,Bonanza,Red Cross / Red Crescent,Central America,NI
Nicaraguan Red Cross,Santo Tomas,Red Cross / Red Crescent,Central America,NI
Nicaraguan Red Cross,Granada,Red Cross / Red Crescent,Central America,NI
Nicaraguan Red Cross,León,Red Cross / Red Crescent,Central America,NI
Nicaraguan Red Cross,Ocotal,Red Cross / Red Crescent,Central America,NI
Nicaraguan Red Cross,Somoto,Red Cross / Red Crescent,Central America,NI
Nicaraguan Red Cross,Esteli,Red Cross / Red Crescent,Central America,NI
Nicaraguan Red Cross,Rivas,Red Cross / Red Crescent,Central America,NI
Nicaraguan Red Cross,Chinandega,Red Cross / Red Crescent,Central America,NI
Nicaraguan Red Cross,Matagalpa,Red Cross / Red Crescent,Central America,NI
Nicaraguan Red Cross,"San Carlos, Río San Juan",Red Cross / Red Crescent,Central America,NI
Nicaraguan Red Cross,Juigalpa,Red Cross / Red Crescent,Central America,NI
Nicaraguan Red Cross,Puerto Cabezas,Red Cross / Red Crescent,Central America,NI
Nicaraguan Red Cross,Boaco,Red Cross / Red Crescent,Central America,NI
Nicaraguan Red Cross,Bluefields,Red Cross / Red Crescent,Central America,NI
Nicaraguan Red Cross,Jinotepe,Red Cross / Red Crescent,Central America,NI
Nicaraguan Red Cross,Jinotega,Red Cross / Red Crescent,Central America,NI
Nicaraguan Red Cross,Sede Nacional,Red Cross / Red Crescent,Central America,NI
