Name,Type,Country,L1,L2,L3,L4
Sangnag Choling,Cultural Site,BT,Bumthang,Chhoekhor,Dhur-Lusibee,Dhur
Bja Goed Dzong Lhakhang,Cultural Site,BT,Thimphu,Lingzhi,Gangyuel,Gangyuel
Tsimakha Lobdra,Cultural Site,BT,Chhukha,Bjachho,Tsimalakha_Tsimasham,Tsimakha
Dhendup Choling,Cultural Site,BT,Bumthang,Chhoekhor,Dhur-Lusibee,Dhur
Dungkhor Lhakhang,Cultural Site,BT,Bumthang,Chhoekhor,Dhur-Lusibee,Dhur
Tachog Lhakhang,Cultural Site,BT,Haa,Uesu,Kipri_Tagchhu,Tagchhu
Lingzhi Yugyel Dzong,Cultural Site,BT,Thimphu,Lingzhi,Chakphu,Zamithang
lhakhang,Cultural Site,BT,Sarpang,Chhudzom,Galegthang,Galegthang(Ghungring)
Wangdue Dzong,Cultural Site,BT,Wangduephodrang,Thedtsho,RinchhengangToed,
phongkhar lhakhang,Cultural Site,BT,Samdrupjongkhar,Dewathang,Chhenangri_Rishor,Chhenangri
Dzongsar,Cultural Site,BT,Samtse,Tendu,Kachhen_Kuchhen,Kuchenthang(Kuchin Tar)
Dorangthang,Cultural Site,BT,Punakha,Bapisa,Gamakha-Septokha,Gamkha
shivalaya mandhir,Cultural Site,BT,Sarpang,Gelephu,Dzomlingthang,
Dhurmey Dungkhor Lhakhang,Cultural Site,BT,Bumthang,Chhoekhor,Dhur-Lusibee,Dhur
Dungkhar Gonpa,Cultural Site,BT,Pemagatshel,Khar,Khar_ Yagyur,Khar
Drupchu Lhakhang,Cultural Site,BT,Trashigang,Bartsham,Trashang,
Chador Lhakhang,Cultural Site,BT,Trashigang,Bartsham,Bainangkhar-Nangkhar,
Takchu Goenpa,Cultural Site,BT,Haa,Uesu,Kipri_Tagchhu,Kipri
Samath Lhakhag,Cultural Site,BT,Zhemgang,Bardo,Bardo,Samath
Lhoongtsho Lhakhang,Cultural Site,BT,Thimphu,Chang,Lhoongtsho_Tashigang,Lhoongtsho
Balung Lhakhang,Cultural Site,BT,Dagana,Lajab,Balung,Balung
Nimtola,Cultural Site,BT,Dagana,Dorona,Nimtola,Nimtola
Namdrukcholing,Cultural Site,BT,Dagana,Drugyelgang,Pangna-patala,Patala
Pelrigoenpa,Cultural Site,BT,Dagana,Drugyelgang,Budipang-pangna,Pangna
Shingoen Nyipa,Cultural Site,BT,Dagana,Drugyelgang,Pangserpo,Krongtod
Sertogchen,Cultural Site,BT,Dagana,Drugyelgang,Thangna,Umadangsa
Hindu,Cultural Site,BT,Dagana,Drugyelgang,Budipang-pangna,Tarungpakrong
Gesarling,Cultural Site,BT,Dagana,Gesarling,Gesarling,Gesarling
Samtengang,Cultural Site,BT,Dagana,Gesarling,Samtengang,Samtengang
Tashithang,Cultural Site,BT,Dagana,Gesarling,Tashithang,Tashithang
Hindu,Cultural Site,BT,Dagana,Gesarling,Phuensumgang,Phuensumgang
Tashicholing Lhakhang,Cultural Site,BT,Dagana,Gozhi,Gozhi Bar,Gozhi Baar
Balaygang,Cultural Site,BT,Dagana,Gozhi,Baleygang,Middle Balaygang
Dogak,Cultural Site,BT,Dagana,Gozhi,Dogak,Dogak
Hindu,Cultural Site,BT,Dagana,Gozhi,Gozhi Bar,Gozhi Baar
Dekiling,Cultural Site,BT,Dagana,Kana,Lhaling,Nindukha
Phuntshocholing,Cultural Site,BT,Dagana,Kana,Lhaling,Lhaling
Kanakha,Cultural Site,BT,Dagana,Kana,Lhaling,Kanakha
Khaochen,Cultural Site,BT,Dagana,Kana,Dalithang-Gangyab,Khagochen
Chochu lhakhnang,Cultural Site,BT,Dagana,Kana,Lhaling,Nindukha
Samdrupcholing,Cultural Site,BT,Dagana,Kana,Bartsha-Namgyelgang,Bartsa
Tabgang,Cultural Site,BT,Dagana,Kana,Bartsha-Namgyelgang,Tabgang
Hindu,Cultural Site,BT,Dagana,Kana,Dalithang-Gangyab,Khagochen
Suntruel Chogley Namgyel,Cultural Site,BT,Dagana,Kana,Lhaling,Nindukha
Tanabji,Cultural Site,BT,Dagana,Kana,Lhaling,Tanabji
Tarphel Lhakhang,Cultural Site,BT,Yangtse,Bumdeling,Pangkhar_Tarphel,Taphel
Ngalimang Lhakhang,Cultural Site,BT,Yangtse,Bumdeling,Ngalimang_Phanteng,Ngalimang
Lungtengang,Cultural Site,BT,Dagana,Kana,Bjurugang,Lungtengang
Bjurugang,Cultural Site,BT,Dagana,Kana,Bjurugang,Bjurugang
Kashithang,Cultural Site,BT,Dagana,Kana,Bjurugang,Kashithang
Daga Trashi Yangtse Dzong,Cultural Site,BT,Dagana,Tseza,Karlingdzingkha,Karlingzingkha
Gangkha,Cultural Site,BT,Dagana,Khipisa,Pakser,Gangkha
Tsuga,Cultural Site,BT,Dagana,Khipisa,Pogtog,Tsuga
Thomgang,Cultural Site,BT,Dagana,Khipisa,Thomgang,Thomgang
Gipsa,Cultural Site,BT,Dagana,Khipisa,Gipsa,Gipsa
Barna,Cultural Site,BT,Dagana,Lajab,Barna,Barna
Phunsungang,Cultural Site,BT,Dagana,Lajab,Barna,Aechephu
Tashiding,Cultural Site,BT,Dagana,Trashiding,Tashiding,Middle Tashiding
Hindu,Cultural Site,BT,Dagana,Trashiding,Tashiding,Middle Tashiding
Rishim,Cultural Site,BT,Dagana,Trashiding,Namchela,Middle Namchella
Gangzur,Cultural Site,BT,Dagana,Tsendagang,Gangzurtoed,Gurung gaon
Shivalaya,Cultural Site,BT,Dagana,Tsendagang,Norbuzingkha,Norbuzingkha
Hindu,Cultural Site,BT,Dagana,Tsendagang,Tsendagang,Upper Tsendagang
jagoen,Cultural Site,BT,Paro,Naja,Bueltikha_Jagoen,Jagoen
doley gonp,Cultural Site,BT,Paro,Naja,Bueltikha_Jagoen,Bueltikha
Shathong Goenpa,Cultural Site,BT,Dagana,Tseza,Tsangleykha,Tsangleykha
Zamtog,Cultural Site,BT,Dagana,Tseza,Tsangleykha,Zamtog
Choejupangkha,Cultural Site,BT,Dagana,Tseza,Tashigang,Rapteygoenpa
Samey,Cultural Site,BT,Dagana,Tseza,Samey,Sameyzingkha
Nagu lhaang,Cultural Site,BT,Paro,Naja,Bemphu_Lingzhi_Nagu,Nagu
Karligzingkha,Cultural Site,BT,Dagana,Tseza,Karlingdzingkha,Karlingzingkha
Tsangleykha,Cultural Site,BT,Dagana,Tseza,Tsangleykha,Tsangleykha
Gadeygoenpa,Cultural Site,BT,Dagana,Tseza,Tashigang,Jansagang?
lingzhi lhakang,Cultural Site,BT,Paro,Naja,Bemphu_Lingzhi_Nagu,Lingzhi
Tshoteygoenpa,Cultural Site,BT,Dagana,Tseza,Tashigang,Jansagang?
Tongsho,Cultural Site,BT,Dagana,Tseza,Peling,Tongsho
Peling,Cultural Site,BT,Dagana,Tseza,Peling,Peling
Tsangkha,Cultural Site,BT,Dagana,Tsangkha,Tshangkha,Tshangkha
Babethang,Cultural Site,BT,Dagana,Tsangkha,Pateykha,Upper Babethang
Tshegoen Lhakhang,Cultural Site,BT,Paro,Naja,Rangzhin-Gang_Tshebji,Tshegoen
Hindu,Cultural Site,BT,Dagana,Tsangkha,Zinchila,Zinchela
Karmaling Lhakhang,Cultural Site,BT,Dagana,Karmaling,,
Peldencholing,Cultural Site,BT,Dagana,Lhamoizingkha,,
Hindu,Cultural Site,BT,Dagana,Lhamoizingkha,,
Hindu,Cultural Site,BT,Dagana,Nichula,,
"Guru Statue, Town Lhakhang",Cultural Site,BT,Tsirang,Kikorthang,,
phudue goupa Lhakhang,Cultural Site,BT,Paro,Doga,Dawakha_Tshongkha,Togtokha
Tsoen Goen Lhakhang,Cultural Site,BT,Paro,Naja,Jazhina_Tsoen-Goen,Tsoen-GoenTsoendue Goenpa
yanngcheg gonupa,Cultural Site,BT,Paro,Naja,Jazhina_Tsoen-Goen,Tsoen-GoenTsoendue Goenpa
yangchen gonupa,Cultural Site,BT,Paro,Naja,Jazhina_Tsoen-Goen,Tsoen-GoenTsoendue Goenpa
Tsoen Goen,Cultural Site,BT,Paro,Naja,Jazhina_Tsoen-Goen,Tsoen-GoenTsoendue Goenpa
yengche Lhakhang,Cultural Site,BT,Paro,Naja,Rangzhin-Gang_Tshebji,
Namgyel Choling Dratsang,Cultural Site,BT,Tsirang,Kikorthang,,
