Template,Question,Code,Type,Options,Required,Settings,Tooltip
Initial Disaster Assessment (IDA),Type of Hazard,I1,SELECT,"['Disease Outbreak','Forest Fire','Earthquake','Windstorm','Drought','Landslide','Hailstorm','Heavy Rainfall','Human wildlife conflict','Structural Fire','Pest','GLOF','Thunder & Lightning','Tropical Storm','Flood']",Y,,
Initial Disaster Assessment (IDA),Date of Incident,I2,DATE,,Y,,
Initial Disaster Assessment (IDA),Population,I3,Grid,,,"{'grid':[['Male (Below 15)','Female (Below 15)','Male (15-64)','Female (15-64)','Male (Above 65)','Female (Above 65)','Male with disability','Female with disability','Below 15 with disability','Total'],['Missing','Injured','Dead','Total']]}",
Initial Disaster Assessment (IDA),Male (Below 15),IMB15M,number,,,"{'grid':['I3',1,1]}",
Initial Disaster Assessment (IDA),Female (Below 15),IFB15M,number,,,"{'grid':['I3',2,1]}",
Initial Disaster Assessment (IDA),Male (15-64),IM1564M,number,,,"{'grid':['I3',3,1]}",
Initial Disaster Assessment (IDA),Female (15-64),IF1564M,number,,,"{'grid':['I3',4,1]}",
Initial Disaster Assessment (IDA),Male (Above 65),IMA65M,number,,,"{'grid':['I3',5,1]}",
Initial Disaster Assessment (IDA),Female (Above 65),IFA65M,number,,,"{'grid':['I3',6,1]}",
Initial Disaster Assessment (IDA),Male with disability,IMDM,number,,,"{'grid':['I3',7,1]}",
Initial Disaster Assessment (IDA),Female with disability,IFDM,number,,,"{'grid':['I3',8,1]}",
Initial Disaster Assessment (IDA),Below 15 with disability,IB15DM,number,,,"{'grid':['I3',9,1]}",
Initial Disaster Assessment (IDA),Total,ITM,number,,,"{'grid':['I3',10,1],'total':['IMB15M','IFB15M','IM1564M','IF1564M','IMA65M','IFA65M']}",
Initial Disaster Assessment (IDA),Male (Below 15),IMB15I,number,,,"{'grid':['I3',1,2]}",
Initial Disaster Assessment (IDA),Female (Below 15),IFB15I,number,,,"{'grid':['I3',2,2]}",
Initial Disaster Assessment (IDA),Male (15-64),IM1564I,number,,,"{'grid':['I3',3,2]}",
Initial Disaster Assessment (IDA),Female (15-64),IF1564I,number,,,"{'grid':['I3',4,2]}",
Initial Disaster Assessment (IDA),Male (Above 65),IMA65I,number,,,"{'grid':['I3',5,2]}",
Initial Disaster Assessment (IDA),Female (Above 65),IFA65I,number,,,"{'grid':['I3',6,2]}",
Initial Disaster Assessment (IDA),Male with disability,IMDI,number,,,"{'grid':['I3',7,2]}",
Initial Disaster Assessment (IDA),Female with disability,IFDI,number,,,"{'grid':['I3',8,2]}",
Initial Disaster Assessment (IDA),Below 15 with disability,IB15DI,number,,,"{'grid':['I3',9,2]}",
Initial Disaster Assessment (IDA),Total,ITI,number,,,"{'grid':['I3',10,2],'total':['IMB15I','IFB15I','IM1564I','IF1564I','IMA65I','IFA65I']}",
Initial Disaster Assessment (IDA),Male (Below 15),IMB15D,number,,,"{'grid':['I3',1,3]}",
Initial Disaster Assessment (IDA),Female (Below 15),IFB15D,number,,,"{'grid':['I3',2,3]}",
Initial Disaster Assessment (IDA),Male (15-64),IM1564D,number,,,"{'grid':['I3',3,3]}",
Initial Disaster Assessment (IDA),Female (15-64),IF1564D,number,,,"{'grid':['I3',4,3]}",
Initial Disaster Assessment (IDA),Male (Above 65),IMA65D,number,,,"{'grid':['I3',5,3]}",
Initial Disaster Assessment (IDA),Female (Above 65),IFA65D,number,,,"{'grid':['I3',6,3]}",
Initial Disaster Assessment (IDA),Male with disability,IMDD,number,,,"{'grid':['I3',7,3]}",
Initial Disaster Assessment (IDA),Female with disability,IFDD,number,,,"{'grid':['I3',8,3]}",
Initial Disaster Assessment (IDA),Below 15 with disability,IB15DD,number,,,"{'grid':['I3',9,3]}",
Initial Disaster Assessment (IDA),Total,ITMD,number,,,"{'grid':['I3',10,3],'total':['IMB15D','IFB15D','IM1564D','IF1564M','IMA65D','IFA65D']}",
Initial Disaster Assessment (IDA),Male (Below 15),IMB15T,number,,,"{'grid':['I3',1,4],'total':['IMB15M','IMB15I','IMB15D']}",
Initial Disaster Assessment (IDA),Female (Below 15),IFB15T,number,,,"{'grid':['I3',2,4],'total':['IMF15M','IFB15I','IFB15D']}",
Initial Disaster Assessment (IDA),Male (15-64),IM1564T,number,,,"{'grid':['I3',3,4],'total':['IM1564M','IM1564I','IM1564D']}",
Initial Disaster Assessment (IDA),Female (15-64),IF1564T,number,,,"{'grid':['I3',4,4],'total':['IF1564M','IF1564I','IF1564D']}",
Initial Disaster Assessment (IDA),Male (Above 65),IMA65T,number,,,"{'grid':['I3',5,4],'total':['IMA65M','IMA65I','IMA65D']}",
Initial Disaster Assessment (IDA),Female (Above 65),IFA65T,number,,,"{'grid':['I3',6,4],'total':['IFA65M','IFA65I','IFA65D']}",
Initial Disaster Assessment (IDA),Male with disability,IMDT,number,,,"{'grid':['I3',7,4],'total':['IMDM','IMDI','IMDD']}",
Initial Disaster Assessment (IDA),Female with disability,IFDT,number,,,"{'grid':['I3',8,4],'total':['IFDM','IFDI','IFDD']}",
Initial Disaster Assessment (IDA),Below 15 with disability,IB15DT,number,,,"{'grid':['I3',9,4],'total':['IB15DM','IB15DI','IB15DD']}",
Initial Disaster Assessment (IDA),Total,ITMT,number,,,"{'grid':['I3',10,4],'total':['IMB15T','IFB15T','IM1564T','IF1564T','IMA65T','IFA65T']}",
Preliminary Damage and Needs Assessment (PDNA),Type of Hazard,P1,SELECT,"['Disease Outbreak','Forest Fire','Earthquake','Windstorm','Drought','Landslide','Hailstorm','Heavy Rainfall','Human wildlife conflict','Structural Fire','Pest','GLOF','Thunder & Lightning','Tropical Storm','Flood']",Y,,
Preliminary Damage and Needs Assessment (PDNA),Date of Incident,P2,DATE,,Y,,
Detailed Damage Assessment,Type of Infrastructure,D1,SELECT,"['Water','Sanitation','Education','Health','Culture','Air Transport','Communication Infrastructure','Food Storages (FCB)','Power','Road']",Y,,
