Name,Country,L1,L2,L3,L4
Bebzur,BT,Bumthang,Tang,Bezur Kuenzangdrag,Bezur
Jakar,BT,Bumthang,Chhoekhor,Dawathang-Dorjibi-Kashingtsawa,Changwa
Sonam Kuenphen,BT,Bumthang,Chhume,Domkhar,Domkhar
Wangdicholing,BT,Bumthang,Dzongkhag Thromde (Chamkhar),Dekiling,Wangduecholing
Chhumey Central School,BT,Bumthang,Chhume,Phurjoen,Ungsang
Tang Central School,BT,Bumthang,Tang,Dazur,Yezrang
Ura Central School,BT,Bumthang,Ura,Ura-Dozhi,Ura-Trabi
Chhoekhor Toe pry. School,BT,Bumthang,Chhoekhor,Nangsipe-Zangling-Zhabjethang,Zhabjethang
Chungphel pry. School,BT,Bumthang,Chhume,Choongphel,Choongphel
Dhur pry. school,BT,Bumthang,Chhoekhor,Dhur-Lusibee,Dhur
Gangrithang pry. school,BT,Bumthang,Dzongkhag Thromde (Chamkhar),Jalikhar,Jalikhar
Gyaltsa pry. school,BT,Bumthang,Chhume,Gyaltsa,Gyaltsa
Jigmeling pry. school,BT,Bumthang,Tang,Bezur Kuenzangdrag,Bezur
Khangrab pry. school,BT,Bumthang,Tang,Khangrab,Khangrab
Kharsa pry school,BT,Bumthang,Chhoekhor,Kharsa -Thangbi,Kharsa
Shingnyer pry. school,BT,Bumthang,Ura,Shing-Nyer,
Tangsibi pry. school,BT,Bumthang,Ura,Tangsibi,Tansibi
Zangtherpo pry. school,BT,Bumthang,Chhoekhor,Dawathang-Dorjibi-Kashingtsawa,
Zungnye pry. school,BT,Bumthang,Chhume,Zungngae,Zungngae
dhhs,BT,Thimphu,Lingzhi,Chakphu,Ghewphu
Sisina,BT,Thimphu,Mewang,Sisinang,
Bajo HSS,BT,Wangduephodrang,Thedtsho,Thanggu,
manjiwoong CS,BT,Samdrupjongkhar,Serthig,Khandophu_Minjiwoong,Minjiwoong
Tshochagsa,BT,Punakha,Lingmukha,Dompala,Tongcheykha
Chhoekhorling Primary School,BT,Pemagatshel,Chokhorling,Chhoekhorling _Gazawong,Chhoekhorling
