Name,Country,L1,L2,L3,L4,Lat,Lon
"Wangdicholing Hospital",BT,"Bumthang","Dzongkhag Thromde (Chamkhar)","Dekiling","Chamkhar","27.5592","90.7447"
"BHU",BT,"Bumthang","Chhoekhor","Nangsipe-Zangling-Zhabjethang","Zhabjethang","27.6696","90.7442"
"BHU",BT,"Bumthang","Chumey","Phurjoen","Ungsang","27.6696","90.7099"
"BHU",BT,"Bumthang","Tang","Dazur","Yezrang","27.5721","90.7099"
"BHU",BT,"Bumthang","Chhoekhor","Dhur-Lusibee","Dhur","27.6128","90.6657"
"BHU",BT,"Bumthang","Ura","Beteng-Pangkhar-Somthrang","Pangkhar","27.4876","90.9158"
"Wangdue Hospital (Jatshokha)",BT,"Wangduephodrang","Thedtsho","RinchhengangMaed","Chagzamphakha","27.5","90.1333"
"Punakha Hospital",BT,"Punakha","Guma","Guma -Wolakha","Gumakha","28.0","89.9333"
"phuntshogthang BHU",BT,"Samdrupjongkhar","Phuntshogthang","","","26.9167","91.6167"
"Tashi Gatsel MI room",BT,"Chhukha","Bjabchhog","Tashi Gatshel","Tashi Gatsel","27.0","89.55"
"Pema Gatshel Hospital",BT,"Pema Gatshel","Shumar","Bartsheri","Bartsheri","27.0","91.3667"
"Samtse General Hospital",BT,"Samtse","Samtse Dzongkhag Thromde","","Yugo(Daragoan)","26.8977","89.0871"
"Bartsham BHU",BT,"Trashigang","Bartsham","Trashang","Trashang","27.3333","91.7333"
"Thinleygang BHU",BT,"Punakha","Toepisa","Lemjeykha-Thinleygang","Tangho","28.0","89.9333"
"Tarphel BHU II",BT,"Yangtse","Boomdeyling","Pangkhar_Tarphel","Taphel","27.751","91.3887"
"Dzongkhag Hospital",BT,"Tsirang","Kilkhorthang","Maenchhana","Maenchhana(Mithun)","26.9333","90.1"
"BHU",BT,"Lhuentse","Jarey","Ladrong","Ladrong","27.75","91.1833"
"Bali Hospital",BT,"Haa","Haa Town","","","27.3333","89.1833"
"Kuzhuchen BHU",BT,"Thimphu","Kawang","Kuzhugchen","","27.6","89.6667"
"Wangdicholing hospital",BT,"Bumthang","Dzongkhag Thromde (Chamkhar)","Dekiling","Wangduecholing","27.7","90.7833"
"Daga BHU",BT,"Dagana","Tseza","Karlingdzingkha","Karlingzingkha","27.0753","89.8756"
"Gelephu Referel hospital",BT,"Sarpang","Gelephu","Pemathang","","26.9031","90.2352"
