Course,Venue,Facility Type,Start Date,End Date,Comments
Disaster Risk Reduction (DRR),Chhukha Dzongkhag Conference Hall,Facility,15-Oct-2019,20-Oct-2019,Initiated
DIMS Training,Samtse,Facility,31-Dec-2018,30-Dec-2019,Initiated
DMIS Training,Thimphu Techpark,Facility,21-Oct-2019,23-Oct-2019,Initiated
Search and Rescue,DT hall,Facility,19-Oct-2019,23-Oct-2019,Initiated
fire safety,"Children park, Bumthang",Facility,29-Oct-2019,30-Oct-2019,Initiated
SAR,"Hall, DDM",Facility,14-Oct-2019,19-Oct-2019,Initiated
Test training,"DT hall, T/Yangtse",Facility,30-Oct-2019,07-Nov-2019,Initiated
SAR,Pema Gatshel,Facility,30-Sep-2019,16-Oct-2019,Initiated
SAR,Changlimithang,Facility,23-Oct-2019,29-Dec-2019,Initiated
ICS Training,Thimphu Techpark,Facility,13-Oct-2019,16-Oct-2019,Initiated
land management training,Dzongkhag conference hall,Facility,24-Oct-2019,30-Oct-2019,Initiated
CBDRM training,Dzongkhag conference hall,Facility,30-Sep-2019,28-Oct-2019,Initiated
DMIS-User Test Training,Samdrup Jongkhar,Facility,02-Mar-2020,05-Mar-2020,Initiated
