Name,Country,L1,L2
Bumthang-Dzongkhag-Store,BT,Bumthang,
Chukha-Dzongkhag-Store,BT,Chhukha,
Phuntsholing-Thromde-Store,BT,Chhukha,Phuentsholing
Dagana-Dzongkhag-Store,BT,Dagana,
Gasa-Dzongkhag-Store,BT,Gasa,
Haa-Dzongkhag-Store,BT,Haa,
Lhuntse-Dzongkhag-Store,BT,Lhuentse,
Mongar-Dzongkhag-Store,BT,Monggar,
Paro-Dzongkhag-Store,BT,Paro,
PemaGatshel-Dzongkhag-Store,BT,Pemagatshel,
Dzongkhag-Emergency-Operational-Store,BT,,
SamdrupJongkhar-Dzongkhag-Store,BT,Samdrupjongkhar,
Samtse-Dzongkhag-Store,BT,Samtse,
Sarpang-Dzongkhag-Store,BT,Sarpang,
Thimphu-Dzongkhag-Store,BT,Thimphu,
Trashigang-Dzongkhag-Store,BT,Trashigang,
Trongsa-Dzongkhag-Store,BT,Trongsa,
Tsirang-Dzongkhag-Store,BT,Tsirang,
Wangdiphordang-Dzongkhag-Store,BT,Wangduephodrang,
Zhemgang-Dzongkhag-Store,BT,Zhemgang,
Thimphu-Thromde-Store,BT,Thimphu,
Gelephu-Thromde-Store,BT,Sarpang,Gelephu
SamdrupJongkar-Thromde-Store,BT,Samdrupjongkhar,
Trashiyangtse-Dzongkhag-Store,BT,Yangtse,
DDM-Thimphu-Store,BT,Thimphu,
RBP Thimphu,BT,Thimphu,
