Organisation,Acronym,Type,Phone,Contact,Comments
Department of Disaster Management,DDM,Government,,,
Helvetas,,NGO,,,
Government of India,,Government,,,
European Union,,Intergovernmental,,,
World Food Programme,WFP,UN agency,,,
United Nations Development Program,UNDP,UN agency,,,
Swiss Red Cross,,Red Cross / Red Crescent,,,
Royal Government of Bhutan,RGoB,,,,
Japan International Cooperation Agency,JICA,Bilateral,,,
World Bank,,Intergovernmental,,,
World Health Organization,WHO,UN agency,,,
Choden Lham General Shop,,Supplier,111,a@b.com,
K Norkhel Supplies,,Supplier,222,b@c.com,
Rinchen Enterprise,,Supplier,333,c@d.com,
Singay Dongchen Tshongkhang,,Supplier,444,d@e.com,
Ugen Trading House,,Supplier,555,e@f.com,UAB00691
Ugyen Trading House,,Supplier,666,f@g.com,
Royal Bhutan Police,RBP,Government,110,,
Forest and Park Services,DoFPS,Government,,,
Public Health,DoPH,Government,,,
Ministry of Health,MoH,Government,,,
Bumthang Dzongkhag,,Government,,,
Chukha Dzongkhag,,Government,,,
Phuntsholing Thromde,,Government,,,
Dagana Dzongkhag,,Government,,,
Gasa Dzongkhag,,Government,,,
Haa Dzongkhag,,Government,,,
Lhuntse Dzongkhag,,Government,,,
Mongar Dzongkhag,,Government,,,
Paro Dzongkhag,,Government,,,
PemaGatshel Dzongkhag,,Government,,,
SamdrupJongkhar Dzongkhag,,Government,,,
Samtse Dzongkhag,,Government,,,
Sarpang Dzongkhag,,Government,,,
Thimphu Dzongkhag,,Government,,,
Trashigang Dzongkhag,,Government,,,
Trongsa Dzongkhag,,Government,,,
Tsirang Dzongkhag,,Government,,,
Wangdiphordang Dzongkhag,,Government,,,
Zhemgang Dzongkhag,,Government,,,
Thimphu Thromde,,Government,,,
Gelephu Thromde,,Government,,,
SamdrupJongkar Thromde,,Government,,,
Trashiyangtse Dzongkhag,,Government,,,
