Scenario,Item,Comments
Aircraft Crash 1,Radio,10 pieces
Animal disease control,Protective clothing,> 2= pieces
Animal disease control,Gloves,>= 10 pieces
Animal disease control,Face shields,>= 2 pieces
Animal disease control,Goggles,>= 2 pieces
Animal disease control,Facemasks,>= 3 pieces
Animal disease control,Sampling device,3 pieces
Animal disease control,Sample container,3 pieces
Animal disease control,Laboratory test kits,1 piece
Animal disease control,Sanitizer,>= 1 piece
Animal disease control,Cooler box,1 piece
Avalanche Search and Rescue,Safety line,5
Avalanche Search and Rescue,Sledge,3 pieces
Avalanche Search and Rescue,Helicopter,>= 1 aircraft
Avalanche Search and Rescue,Radio,10 pieces
Avalanche Search and Rescue,Drinking water,>= 100 pieces
Building inferno,Tower ladder,3 pieces
Building inferno,Command Unit,1 unit
Building inferno,Tanker Truck,2 pieces
Chemical contamination of Water,Protective clothing,>= 5 pieces
Chemical contamination of Water,Gloves,>= 10 pieces
Chemical contamination of Water,Goggles,>= 5 pieces
Chemical contamination of Water,Facemasks,>= 5 pieces
Chemical contamination of Water,Sampling device,3 pieces
Chemical contamination of Water,Sample container,3 pieces
Flood Search and Rescue,Life jacket,50 pieces
Flood Search and Rescue,Safety line,20 rope (multiple)
Flood Search and Rescue,Motor boat,3 vessels
Flood Search and Rescue,Pump,5 pieces
Flood Search and Rescue,Radio,20 pieces
Flood Search and Rescue,Drinking water,500 pieces
Infectious disease control,Protective clothing,>= 2 pieces
Infectious disease control,Gloves,>= 10 pieces
Infectious disease control,Face shields,>= 2 pieces
Infectious disease control,Goggles,>= 2 pieces
Infectious disease control,Facemasks,>= 3 pieces
Infectious disease control,Sampling device,3 pieces
Infectious disease control,Sample container,3 pieces
Infectious disease control,Laboratory test kits,1 piece
Infectious disease control,Sanitizer,>= 1 pieces
Infectious disease control,Cooler box,1 piece
Landslide Search and Rescue,Robot,1 piece
Landslide Search and Rescue,Digging equipment,20 pieces
Landslide Search and Rescue,Scanning device,1 piece
Landslide Search and Rescue,Drinking water,500 pieces
Water Evacuation Large Group,Motor boat,1 vessel
Water Evacuation Large Group,Safety line,> 5 rope (multiple)
Water Evacuation Large Group,Life jacket,> 12 pieces
Water Evacuation Large Group,Bus,>= 1 vehicle
Water Evacuation Large Group,Drinking water,500 pieces
Water evacuation transport only,Motor boat,1 vessel
Water evacuation transport only,Life jacket,> 6 pieces
Water evacuation transport only,Drinking water,500 pieces
Wildfire safety,Digging equipment,50 pieces
Wildfire safety,Pump,5 pieces
Wildfire safety,Bus,>= 1 vehicle
Wildfire safety,Goggles,>= 50 pieces
Wildfire safety,Radio,>= 20 pieces
Wildfire safety,Helmet,>= 50 pieces
Wildfire safety,Helicopter,>= 1 aircraft
Wildfire safety,Axe,>= 50 pieces
Wildfire safety,Thermal Blanket,>= 50 pieces
Wildfire safety,Safety line,>= 20 rope (multiple)
Wildfire safety,Command Unit,1 piece
Wildfire safety,Drinking water,>= 500 pieces
Wildfire safety,Tanker Truck,5 vehicles
