Demographic,Value,Country,L1,Year,Source,Source URL
Population,18110,BT,Bumthang,2020,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,69519,BT,Chhukha,2020,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,25435,BT,Dagana,2020,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,4154,BT,Gasa,2020,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,13757,BT,Haa,2020,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,13973,BT,Lhuentse,2020,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,36726,BT,Monggar,2020,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,49061,BT,Paro,2020,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,23748,BT,Pemagatshel,2020,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,29968,BT,Punakha,2020,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,35004,BT,Samdrupjongkhar,2020,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,62899,BT,Samtse,2020,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,48079,BT,Sarpang,2020,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,150404,BT,Thimphu,2020,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,43982,BT,Trashigang,2020,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,21688,BT,Trongsa,2020,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,23214,BT,Tsirang,2020,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,44969,BT,Wangduephodrang,2020,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,16958,BT,Yangtse,2020,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,17283,BT,Zhemgang,2020,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,18203,BT,Bumthang,2021,National Statistics Bureau,https://data.humdata.org/dataset/bhutan-administrative-level-0-1-population-statistics
Population,69678,BT,Chhukha,2021,National Statistics Bureau,https://data.humdata.org/dataset/bhutan-administrative-level-0-1-population-statistics
Population,25586,BT,Dagana,2021,National Statistics Bureau,https://data.humdata.org/dataset/bhutan-administrative-level-0-1-population-statistics
Population,4222,BT,Gasa,2021,National Statistics Bureau,https://data.humdata.org/dataset/bhutan-administrative-level-0-1-population-statistics
Population,13786,BT,Haa,2021,National Statistics Bureau,https://data.humdata.org/dataset/bhutan-administrative-level-0-1-population-statistics
Population,13806,BT,Lhuentse,2021,National Statistics Bureau,https://data.humdata.org/dataset/bhutan-administrative-level-0-1-population-statistics
Population,36561,BT,Monggar,2021,National Statistics Bureau,https://data.humdata.org/dataset/bhutan-administrative-level-0-1-population-statistics
Population,49990,BT,Paro,2021,National Statistics Bureau,https://data.humdata.org/dataset/bhutan-administrative-level-0-1-population-statistics
Population,23777,BT,Pemagatshel,2021,National Statistics Bureau,https://data.humdata.org/dataset/bhutan-administrative-level-0-1-population-statistics
Population,30380,BT,Punakha,2021,National Statistics Bureau,https://data.humdata.org/dataset/bhutan-administrative-level-0-1-population-statistics
Population,34961,BT,Samdrupjongkhar,2021,National Statistics Bureau,https://data.humdata.org/dataset/bhutan-administrative-level-0-1-population-statistics
Population,62977,BT,Samtse,2021,National Statistics Bureau,https://data.humdata.org/dataset/bhutan-administrative-level-0-1-population-statistics
Population,48776,BT,Sarpang,2021,National Statistics Bureau,https://data.humdata.org/dataset/bhutan-administrative-level-0-1-population-statistics
Population,154379,BT,Thimphu,2021,National Statistics Bureau,https://data.humdata.org/dataset/bhutan-administrative-level-0-1-population-statistics
Population,43429,BT,Trashigang,2021,National Statistics Bureau,https://data.humdata.org/dataset/bhutan-administrative-level-0-1-population-statistics
Population,22276,BT,Trongsa,2021,National Statistics Bureau,https://data.humdata.org/dataset/bhutan-administrative-level-0-1-population-statistics
Population,23493,BT,Tsirang,2021,National Statistics Bureau,https://data.humdata.org/dataset/bhutan-administrative-level-0-1-population-statistics
Population,45911,BT,Wangduephodrang,2021,National Statistics Bureau,https://data.humdata.org/dataset/bhutan-administrative-level-0-1-population-statistics
Population,16831,BT,Yangtse,2021,National Statistics Bureau,https://data.humdata.org/dataset/bhutan-administrative-level-0-1-population-statistics
Population,17109,BT,Zhemgang,2021,National Statistics Bureau,https://data.humdata.org/dataset/bhutan-administrative-level-0-1-population-statistics
Population,18291,BT,Bumthang,2022,National Statistics Bureau,https://data.humdata.org/dataset/bhutan-administrative-level-0-1-population-statistics
Population,69820,BT,Chhukha,2022,National Statistics Bureau,https://data.humdata.org/dataset/bhutan-administrative-level-0-1-population-statistics
Population,25732,BT,Dagana,2022,National Statistics Bureau,https://data.humdata.org/dataset/bhutan-administrative-level-0-1-population-statistics
Population,4290,BT,Gasa,2022,National Statistics Bureau,https://data.humdata.org/dataset/bhutan-administrative-level-0-1-population-statistics
Population,13812,BT,Haa,2022,National Statistics Bureau,https://data.humdata.org/dataset/bhutan-administrative-level-0-1-population-statistics
Population,13631,BT,Lhuentse,2022,National Statistics Bureau,https://data.humdata.org/dataset/bhutan-administrative-level-0-1-population-statistics
Population,36383,BT,Monggar,2022,National Statistics Bureau,https://data.humdata.org/dataset/bhutan-administrative-level-0-1-population-statistics
Population,50922,BT,Paro,2022,National Statistics Bureau,https://data.humdata.org/dataset/bhutan-administrative-level-0-1-population-statistics
Population,23799,BT,Pemagatshel,2022,National Statistics Bureau,https://data.humdata.org/dataset/bhutan-administrative-level-0-1-population-statistics
Population,30790,BT,Punakha,2022,National Statistics Bureau,https://data.humdata.org/dataset/bhutan-administrative-level-0-1-population-statistics
Population,34908,BT,Samdrupjongkhar,2022,National Statistics Bureau,https://data.humdata.org/dataset/bhutan-administrative-level-0-1-population-statistics
Population,63038,BT,Samtse,2022,National Statistics Bureau,https://data.humdata.org/dataset/bhutan-administrative-level-0-1-population-statistics
Population,49472,BT,Sarpang,2022,National Statistics Bureau,https://data.humdata.org/dataset/bhutan-administrative-level-0-1-population-statistics
Population,158386,BT,Thimphu,2022,National Statistics Bureau,https://data.humdata.org/dataset/bhutan-administrative-level-0-1-population-statistics
Population,42852,BT,Trashigang,2022,National Statistics Bureau,https://data.humdata.org/dataset/bhutan-administrative-level-0-1-population-statistics
Population,22868,BT,Trongsa,2022,National Statistics Bureau,https://data.humdata.org/dataset/bhutan-administrative-level-0-1-population-statistics
Population,23771,BT,Tsirang,2022,National Statistics Bureau,https://data.humdata.org/dataset/bhutan-administrative-level-0-1-population-statistics
Population,46858,BT,Wangduephodrang,2022,National Statistics Bureau,https://data.humdata.org/dataset/bhutan-administrative-level-0-1-population-statistics
Population,16697,BT,Yangtse,2022,National Statistics Bureau,https://data.humdata.org/dataset/bhutan-administrative-level-0-1-population-statistics
Population,16926,BT,Zhemgang,2022,National Statistics Bureau,https://data.humdata.org/dataset/bhutan-administrative-level-0-1-population-statistics
Population,18397,BT,Bumthang,2023,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,70020,BT,Chhukha,2023,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,25901,BT,Dagana,2023,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,4362,BT,Gasa,2023,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,13850,BT,Haa,2023,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,13464,BT,Lhuentse,2023,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,36228,BT,Monggar,2023,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,51912,BT,Paro,2023,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,23840,BT,Pemagatshel,2023,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,31233,BT,Punakha,2023,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,34881,BT,Samdrupjongkhar,2023,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,63149,BT,Samtse,2023,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,50221,BT,Sarpang,2023,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,162593,BT,Thimphu,2023,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,42298,BT,Trashigang,2023,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,23150,BT,Trongsa,2023,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,24073,BT,Tsirang,2023,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,47377,BT,Wangduephodrang,2023,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,16573,BT,Yangtse,2023,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,16753,BT,Zhemgang,2023,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,18499,BT,Bumthang,2024,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,70205,BT,Chhukha,2024,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,26067,BT,Dagana,2024,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,4435,BT,Gasa,2024,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,13884,BT,Haa,2024,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,13290,BT,Lhuentse,2024,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,36060,BT,Monggar,2024,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,52905,BT,Paro,2024,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,23875,BT,Pemagatshel,2024,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,31676,BT,Punakha,2024,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,34845,BT,Samdrupjongkhar,2024,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,63245,BT,Samtse,2024,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,50969,BT,Sarpang,2024,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,166833,BT,Thimphu,2024,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,41723,BT,Trashigang,2024,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,23430,BT,Trongsa,2024,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,24373,BT,Tsirang,2024,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,47894,BT,Wangduephodrang,2024,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,16442,BT,Yangtse,2024,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,16573,BT,Zhemgang,2024,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,18597,BT,Bumthang,2025,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,70371,BT,Chhukha,2025,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,26227,BT,Dagana,2025,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,4508,BT,Gasa,2025,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,13915,BT,Haa,2025,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,13109,BT,Lhuentse,2025,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,35878,BT,Monggar,2025,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,53899,BT,Paro,2025,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,23903,BT,Pemagatshel,2025,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,32116,BT,Punakha,2025,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,34796,BT,Samdrupjongkhar,2025,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,63322,BT,Samtse,2025,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,51714,BT,Sarpang,2025,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,171095,BT,Thimphu,2025,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,41123,BT,Trashigang,2025,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,23708,BT,Trongsa,2025,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,24671,BT,Tsirang,2025,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,48404,BT,Wangduephodrang,2025,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,16304,BT,Yangtse,2025,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,16384,BT,Zhemgang,2025,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,18690,BT,Bumthang,2026,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,70515,BT,Chhukha,2026,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,26380,BT,Dagana,2026,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,4581,BT,Gasa,2026,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,13942,BT,Haa,2026,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,12919,BT,Lhuentse,2026,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,35680,BT,Monggar,2026,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,54892,BT,Paro,2026,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,23924,BT,Pemagatshel,2026,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,32552,BT,Punakha,2026,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,34735,BT,Samdrupjongkhar,2026,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,63379,BT,Samtse,2026,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,52455,BT,Sarpang,2026,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,175374,BT,Thimphu,2026,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,40499,BT,Trashigang,2026,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,23983,BT,Trongsa,2026,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,24966,BT,Tsirang,2026,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,48907,BT,Wangduephodrang,2026,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,16158,BT,Yangtse,2026,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
Population,16185,BT,Zhemgang,2026,National Statistics Bureau,https://www.nsb.gov.bt/download/5857/
