Catalogue,Parent Category,Category,Asset
Default,,Communication & ICT Equipment,True
Default,Communication & ICT Equipment,Computer & Peripherals,True
Default,Communication & ICT Equipment,Radio set,True
Default,Communication & ICT Equipment,repeater system,True
Default,Communication & ICT Equipment,Satellite Equipment,True
Default,,Communication equipment,True
Default,Communication equipment,Equipment,True
Default,Communication equipment,Handsets programming cable,True
Default,,Office Equipment,True
Default,Office Equipment,Furniture,True
Default,,Search & Rescue Equipment,True
Default,Search & Rescue Equipment,Anchors,True
Default,Search & Rescue Equipment,Ascender/Descender,True
Default,Search & Rescue Equipment,Bridle,True
Default,Search & Rescue Equipment,Carabiners,True
Default,Search & Rescue Equipment,Figure of 8,True
Default,Search & Rescue Equipment,Fire Fighting Gears,True
Default,Search & Rescue Equipment,First Aid Kits,True
Default,Search & Rescue Equipment,Gloves,True
Default,Search & Rescue Equipment,Harness,True
Default,Search & Rescue Equipment,Helmet,True
Default,Search & Rescue Equipment,Other Rescue Equipment,True
Default,Search & Rescue Equipment,Prusiks,True
Default,Search & Rescue Equipment,Pulleys,True
Default,Search & Rescue Equipment,Rescue boot,True
Default,Search & Rescue Equipment,River Rescue Equipment,True
Default,Search & Rescue Equipment,Ropes,True
Default,Search & Rescue Equipment,Searchlight,True
Default,Search & Rescue Equipment,Slings,True
Default,Search & Rescue Equipment,Stretchers,True
Default,Search & Rescue Equipment,Suits,True
Default,Search & Rescue Equipment,Urban Search and Rescue Equipment,True
