Name,Country,L1,L2,L3,L4
Gaytsa zam,BT,Bumthang,Chhume,Gyaltsa,Gyaltsa
Tsherzam Bridge,BT,Yangtse,Bumdeling,Gangkhardoong_Tshaleng,Tsaling
Bongzam,BT,Bumthang,Chhume,Gyaltsa,Gyaltsa
Wangdue Bridge,BT,Wangduephodrang,Thedtsho,RinchhengangMaed,
Ngyakhulum,BT,Punakha,Guma,Bayminag-Phulingsum-wangwakha,Phulingsum
Yidang chuu bridge,BT,Lhuentse,Jaray,Kharchung,Kharchung/Pam
Tongzhuna Zam,BT,Punakha,Kabjisa,Agona-Zarbesa,Rangrikha
Tading Zam,BT,Samtse,,Tading_Tenpaling,Tading
Thungkhar,BT,Trashigang,Thrimshing,Ramchongma - Yemkhar,
Tingzam,BT,Pemagatshel,Norbugang,Norboogang_Rinchenzor,Norboogang
Chagzam,BT,Trashigang,Samkhar,Chagzam - Pam,
Nger ama bridge,BT,Samdrupjongkhar,Gomdar,Denchhi,Khoyar
Chamlagai Zam,BT,Tsirang,Kikorthang,Nyizergang,Nyizergang(Upper Salami)
Dhomkhar Zam,BT,Bumthang,Chhume,Domkhar,Domkhar
Tsaling Bridge,BT,Yangtse,Bumdeling,Gangkhardoong_Tshaleng,Tsaling
sisty khola brideg,BT,Sarpang,Senge,Nyenyul,Nyenyul(Sisty)
Bali,BT,Haa,Katsho,Bali_Mombitshokha,Bali
Panbang Zam,BT,Zhemgang,Ngangla,Panbang_Sonamthang,Panbang
Chumdu Bridge,BT,Yangtse,Trashiyangtse,Baaney_Bimkhar,Banye
Gomcora Bridge,BT,Yangtse,Tomzhangtshen,Bainangkhar_Gomkora,Gomphukora
Lemichu,BT,Dagana,Kana,Lhaling,Dolepchen
Sunkosh,BT,Dagana,Tsangkha,Pateykha,Sunkosh
Ratey khola bridge,BT,Sarpang,Dekiling,Dekiling,Dekiling(Leopani)
Ney river bridge,BT,Lhuentse,Gangzur,Thrima_Shawa_Zhamling,Zhamling
Yidang chuu bridge,BT,Lhuentse,Jaray,Kharchung,Yidtang
Zhongmaed River bridge,BT,Lhuentse,Metsho,Zhongmaed,Zhongmaed
Chagdzom bridge,BT,Lhuentse,Kurtoe,Chagdzom_Chhusa,Chhusa
Jasabi Bridge,BT,Lhuentse,Kurtoe,Jasabi_Ugyenphu,Jasabi
Mangdizam,BT,Zhemgang,Trong,Berti_Tagma,
Andhigangchu Zam,BT,Zhemgang,Trong,Tsanglajong_Zurphel,
Budha Chu Zam,BT,Dagana,Drugyelgang,Budipang-pangna,Budipang
Dagakhola,BT,Dagana,Trashiding,Tashiding,lower Tashiding
Amphikhola,BT,Dagana,Trashiding,Shamdoley,Middle Shamdoley
Goshi Chu Zam,BT,Dagana,Gozhi,Gozhi Bar,Gozhi Baar
Panakhola,BT,Dagana,Tsendagang,Gangzurtoed,Gurung gaon
Baleykhola,BT,Dagana,Gozhi,Baleygang,Middle Balaygang
Zaringay Zam,BT,Dagana,Kana,Pungshi,Pungshi
Tanrachu,BT,Dagana,Kana,Lhaling,Jachema
Darachu Zam,BT,Dagana,Tseza,Karlingdzingkha,Karlingzingkha
Lt. Thuksey,BT,Bumthang,Chhume,Domkhar,Domkhar
Phurjeon zam,BT,Bumthang,Chhume,Phurjoen,Phurjoen
Rubee zam,BT,Bumthang,Chhume,Phurjoen,
Yamthra zam,BT,Bumthang,Chhume,Zungngae,Yamthrag
Rabten zam,BT,Bumthang,Chhume,Zungngae,Nangye
Chamkharzam,BT,Bumthang,Dzongkhag Thromde (Chamkhar),Chamkhar,Chamkhar
Toktophel zam,BT,Bumthang,Chhoekhor,Kharsa -Thangbi,Thangbi
Dramphel Zam,BT,Bumthang,Chhoekhor,Nangsipe-Zangling-Zhabjethang,Damphel
Menchugang zam,BT,Bumthang,Chhoekhor,Dhur-Lusibee,Dhur
Tazambi zam,BT,Bumthang,Tang,Tadingang,Tandigang
Pangshing zam,BT,Bumthang,Tang,Dazur,Pangshing
Bebzur zam,BT,Bumthang,Tang,Bezur Kuenzangdrag,Bezur
Tangchu zam,BT,Bumthang,Tang,Bezur Kuenzangdrag,Bezur
Gektong zam,BT,Bumthang,Chhume,Choongphel,Terzoed
Lerizam,BT,Bumthang,Ura,Ura-Dozhi,
Gayzamchu zam,BT,Bumthang,Ura,Ura-Dozhi,
Dozam,BT,Bumthang,Chhoekhor,Dawathang-Dorjibi-Kashingtsawa,Dawathang
Orarey-Nimtola,BT,Dagana,Dorona,Nimtola,Nimtola
Bjurugang-Bartsa,BT,Dagana,Kana,Bartsha-Namgyelgang,Tshochuthang
Thingthazam,BT,Gasa,Goenkhame,Khailoo,Tashithang
kukuna zam,BT,Gasa,Goenkhame,,
Yemina zam,BT,Gasa,Goenkhame,Yemina,Yemina
Gathana zam,BT,Gasa,Goenkhame,Yemina,Gathana
Gayza zam,BT,Gasa,Goenkhame,Zomi-Gayza,Gayza
Zami zam,BT,Gasa,Goenkhatoe,Tsherikha,Zamizampa
Gayrina bridge,BT,Haa,Uesu,Geyruna_Karnag,Geyruna
Kana Bridge,BT,Haa,Uesu,Geyruna_Karnag,Karnag
Kana bridge,BT,Haa,Uesu,Geyruna_Karnag,Karnag
Tshaphel bridge,BT,Haa,Uesu,Tshaphel_Tsiloongkha,Tshaphel
Haachu,BT,Haa,Uesu,Betso_Doomchhog,Doomchhog
Haachu,BT,Haa,Uesu,Kipri_Tagchhu,Baang_Yana
Haa Town,BT,Haa,Haa Town,Lhayulkha,Lhayuelkha
Drechhu bridge,BT,Haa,,,
Shaychuu bridge,BT,Haa,,,
Sochhu bridge,BT,Haa,,,
Drechhu bridge 2,BT,Haa,,,
Sochhu bridge 2,BT,Haa,,,
Shaychhu bride 2,BT,Haa,,,
Mochu bridge,BT,Haa,,,
Baychhu bridge,BT,Haa,,,
Gong Khola,BT,Sarpang,Jigmichhoeling,Gongtsekha,Doringphu (Dungay)
Mao Khola bridge I,BT,Sarpang,Chhudzom,Jangchubling,Jangchubling(Pankhey)
Thewar Khola,BT,Sarpang,Sherzhong,Sershong,Sershong
Jamkhardang Bridge,BT,Yangtse,Jamkhar,Rijoong_Yoob,Golomzor
Ronghola bridge,BT,Sarpang,Jigmichhoeling,Khamaed,Chunshing
Laring Khola bridge,BT,Sarpang,Hiley,Getemkha,Getemkha(Laring)
Pinkhuwa bridge,BT,Sarpang,Senge,Sangaythang,Chiwaling(Pingkhuwa)
Tato Pani Bridge,BT,Sarpang,Dekiling,Dekiling,Dekiling(Leopani)
Maokhola Bridge II,BT,Sarpang,Chhudzom,Lhayul,Lhayul(Mougaon)
Sarpang Seer bridge,BT,Sarpang,Hiley,Menchhulam,Menchhulam(Kharpani)
Labhrang Khola bridge,BT,Sarpang,Senge,Labtsakha,Lhaptsakha(Deorali)
Samatung bridge,BT,Sarpang,Senge,Sangaythang,Zhisarthang(Koigaon)
Nakadaley Bridge,BT,Sarpang,Hiley,Getemkha,Chursini(Kagatey)
Gomchula Bridge,BT,Sarpang,Hiley,Gakiling,Gakiling (Hilley)
Jangkhurung bridge,BT,Sarpang,Chhuzagang,Nimaling-Shawapong,Shawapong/Daragoan
Chungshing Bridge,BT,Sarpang,Jigmichhoeling,Khamaed,Chunshing
Umling bridge,BT,Sarpang,Umling,Rijug,Lingar
Ratey khola bridge,BT,Sarpang,Dekiling,Jigmeling,Menchhuthang(Rateygoan)
Daur Bridge,BT,Sarpang,Hiley,Menchhulam,Menchhulam(Kharpani)
Sengeychu bridge,BT,Sarpang,Taraythang,Tashicholing,Krasheschholing
laring bridge,BT,Sarpang,Hiley,Getemkha,Getemkha(Laring)
Gomchula Bailey brigde,BT,Sarpang,Shompangkha,Gomchola,Gomchola Ka(Chaar)
Rongkhola Bridge I,BT,Sarpang,Jigmichhoeling,Khamaed,Chunshing
Kharkhola bridge,BT,Sarpang,Chhuzagang,Sherabling,Sherabling(Pathibara)
sisty bridge,BT,Sarpang,Senge,Nyenyul,Nyenyul(Sisty)
Throtne khola brigde,BT,Sarpang,Chhuzagang,Lhayul,Lhayul(Mougaon)
Morongang,BT,Zhemgang,Gozhing,Budhashi,Budhashi
Gramlang,BT,Zhemgang,Ngangla,Ribati,Nalung
Darang,BT,Zhemgang,Ngangla,Ribati,Grang
Panbang Zam,BT,Zhemgang,Ngangla,Panbang_Sonamthang,Panbang
Bumdiling,BT,Zhemgang,Nangkor,Buli,Buli
Doed Zam,BT,Zhemgang,Nangkor,Dakphel-Kikhar-Tali,Kikhar
Chendigangchu Zam,BT,Zhemgang,Trong,Gongphu,Paibang
Andhigangchu Zam,BT,Zhemgang,Trong,Gongphu,
Mangdechu Zam,BT,Zhemgang,Trong,Berti_Tagma,Berti
