Name,Country,L1,L2,L3,L4,Lat,Lon
"Heso-tshamchu",BT,"Wangduephodrang","Gase Tshowogm","Haetshokha","Haetshokha",,
"Melphey RWSS",BT,"Trashigang","Bartsham","Moogtangkhar","Mugtangkhar","27.3333","91.7333"
"Chui ka",BT,"Punakha","Bapisa","Tshokorna","Wangkha",,
"Loggchina Chhu",BT,"Chhukha","Loggchina","Mongna_Lha-sarp","Chimonatoed","27.0","89.55"
"Tergang Chuu RWSS",BT,"Lhuentse","Jarey","Ladrong","Ladrong",,
"Lumpa chu",BT,"Punakha","Goenshari","Seychagnang","Kapataksa",,
"Khomshar Wama Water Source",BT,"Zhemgang","Bardo","Khomshar","Towling","27.0843","90.8503"
"Khonmari",BT,"Pemagatshel","Shumar","Goengpong Shali","Shali",,
"Kanglung",BT,"Trashigang","Kanglung","Mertsham-Thragom","Mertsham","27.3333","91.7333"
"wedff",BT,"Thimphu","Soe",,,,
"Dhamdum Water source",BT,"Samtse",,"Samtse Thromdey","Samtse","27.0333","89.0833"
"Dari Water Irrigation",BT,"Tsirang","Sergithang","Semdenjong",,,
"Rama Water supply",BT,"Thimphu","Chang","Ramtoktok_Tsangrina","Rama",,
"reka",BT,"Samdrupjongkhar","Dewathang","Bangtsho","Kopor","26.9167","91.6167"
"Nashphel water source",BT,"Bumthang","Chhoekhor","Nangsipe-Zangling-Zhabjethang","Nasphel","27.7","90.7833"
"lingzhi",BT,"Thimphu","Lingzhi","Gangyuel","Gangyuel",,
"Shetekhari",BT,"Sarpang","Gelephu","Pelrithang Khatoed","Pelrithang(Lodrai)",,
"Bali",BT,"Haa","Kartshog","Bali_Mombitshokha","Bali",,
"lingzhi",BT,"Thimphu","Soe","Jangothang","Garabten",,
"Sangbaykha",BT,"Haa",,,,,
"tika ram",BT,"Sarpang","Taraythang","Woongchhilu","Woongchhilu(Limbutar)",,
"Ney RWSS",BT,"Lhuentse","Gangzur","Ney","Pemachhoeling",,
"Zangkhar RWSS",BT,"Lhuentse","Jarey","Yabi_Zangkhar","Zangkhar",,
"Highland Water supply",BT,"Lhuentse","Khoma","Rolmoteng _Tsang-Ngo","Rolmoteng",,
"Tergang Chuu RWSS",BT,"Lhuentse","Kurtoed","Chagdzom_Chhusa","Chagdzom",,
"Municipal Water supply",BT,"Lhuentse","Dzongkhag Thromde","Phaling Maed","Phaling Maed",,
"Ney RWSS",BT,"Lhuentse","Gangzur","Ney","Ney",,
"Doompang RWSS",BT,"Lhuentse","Jarey","Yumchhe","Droompang",,
"Singye Dzong Water supply",BT,"Lhuentse","Khoma","Rolmoteng _Tsang-Ngo","Sengye Dzong",,
"Sumdang yoe",BT,"Pemagatshel","Yurung","Khangma",,,
"Nai po re",BT,"Pemagatshel","Yurung","Wanglakho Thongo","Thongo",,
"Tag tag pai ri",BT,"Pemagatshel","Yurung","Bangdala",,,
"BHU Water source",BT,"Pemagatshel","Yurung","Khominang Yangkhar","Khominang",,
"School water source",BT,"Pemagatshel","Yurung","Khominang Yangkhar",,,
"Thungo jug",BT,"Pemagatshel","Yurung","Doongsingma Thongkhar",,,
"Shogori",BT,"Pemagatshel","Choekhorling","Dezama_Shoguri","Shogori",,
"Tsunlung Grangnang",BT,"Pemagatshel","Choekhorling","Dezama_Shoguri",,,
"Menchu dop",BT,"Pemagatshel","Choekhorling","Chhoekhorling _Gazawong",,,
"Dongdongma",BT,"Pemagatshel","Choekhorling","Chhoekhorling _Gazawong",,,
"Yargyewoong",BT,"Pemagatshel","Choekhorling","Yargyewoong",,,
"Yongbari",BT,"Pemagatshel","Decheling","Doongchhilo_ Kholomri","Doongchhilo",,
"Tsampari",BT,"Pemagatshel","Decheling","Dechhenling_Goenpawoong",,,
"Sangmari",BT,"Pemagatshel","Decheling","Namdagling",,,
"Garamala Khola",BT,"Dagana","Gesarling","Tashithang","Tashithang",,
"Bjukipani",BT,"Dagana","Gesarling","Tashithang","Tashithang",,
"Bich Khola",BT,"Dagana","Gesarling","Tashithang","Tashithang",,
"Bich Pani",BT,"Dagana","Gesarling","Tashithang","Tashithang",,
"Devikholtsa",BT,"Dagana","Gesarling","Phuensumgang","Phuensumgang",,
"Karmichok",BT,"Dagana","Gesarling","Phuensumgang","Phuensumgang",,
"Mobir Khola",BT,"Dagana","Gesarling","Phuensumgang","Phuensumgang",,
"Samchhu",BT,"Dagana","Gesarling","Samtengang","Samtengang",,
"PakshingChhu",BT,"Dagana","Gesarling","Gesarling","Gesarling",,
"Amphikhola",BT,"Dagana","Tashiding","Tashiding","Middle Tashiding",,
"Devitar",BT,"Dagana","Lhamoizingkha","Tshamzhigosa","Devitar",,
"Papji",BT,"Dagana","Lhamoizingkha","Tshamzhigosa","Papji",,
"Chechugoenpa lami lake",BT,"Dagana","Tseza","Tashigang","Rapteygoenpa",,
"Kutishinggitsawa",BT,"Dagana","Tseza","Tashigang","Tashigang",,
"Ekumelong Tsho",BT,"Dagana","Drujegang","Pangna-patala","Nikumelong",,
"Thochulungma",BT,"Dagana","Drujegang","Pangna-patala","Patala",,
"Wangchu lungma",BT,"Dagana","Drujegang","Pangna-patala","Patala",,
"Akchulum",BT,"Dagana","Drujegang","Pangserpo","Krongtod",,
"Tardalum",BT,"Dagana","Drujegang","Pangserpo","Krongmad",,
"Pepchulum",BT,"Dagana","Drujegang","Ambithang-Pangserpo","Karithang",,
"Drakarpo",BT,"Dagana","Drujegang","Ambithang-Pangserpo","Sampalinang",,
"Chulumchhu",BT,"Dagana","Drujegang","Ambithang-Pangserpo","Ambithang",,
"Sakarchen",BT,"Dagana","Drujegang","Thangna","Sakachen",,
"Tsendeshinglumchu",BT,"Dagana","Drujegang","Thangna","Sakachen",,
"Thriduganglumchu",BT,"Dagana","Drujegang","Thangna","Sakachen",,
"Pakechu-1",BT,"Dagana","Drujegang","Thangna","Sherpakrong",,
"Pakechu-2",BT,"Dagana","Drujegang","Thangna","Tingsibje",,
"Emanang",BT,"Dagana","Drujegang","Thangna","Sherpakrong",,
"Amchukukuli lumchu",BT,"Dagana","Drujegang","Thangna","Sherpakrong",,
"Sangaymolumchu",BT,"Dagana","Drujegang","Thangna",,,
"Thinleylumchu",BT,"Dagana","Drujegang","Thangna","Sertochen",,
"Omanalumchu",BT,"Dagana","Drujegang","Thangna","Umadangsa",,
"Tsherkachulumchu",BT,"Dagana","Drujegang","Thangna","Sertochen",,
"Tingsibjechu",BT,"Dagana","Drujegang","Thangna","Tingsibje",,
"Umadangsachu",BT,"Dagana","Drujegang","Thangna","Umadangsa",,
"chimilumchu",BT,"Dagana","Drujegang","Thangna","Sherpakrong",,
"Pangchokpalilumchu",BT,"Dagana","Drujegang","Budipang-pangna","Pangna",,
"Bumchisingdilungma",BT,"Dagana","Drujegang","Budipang-pangna","Pangna",,
"Pongpalungma",BT,"Dagana","Drujegang","Budipang-pangna","Pangna",,
"Lamphoda",BT,"Dagana","Drujegang","Budipang-pangna","Budipang",,
"Sangkiri",BT,"Haa","Uesu","Pajekha_Sangkiri","Sangkiri",,
"Pajayka",BT,"Haa","Uesu","Pajekha_Sangkiri","Pajekha",,
