uid,role,description,controller,function,table,entity,uacl,oacl,hidden,system,protected,Notes
ANONYMOUS,Anonymous,,,,org_organisation,,READ,,,,,Required for self-registration
ANONYMOUS,Anonymous,,,,org_organisation_organisation_type,,READ,,,,,Required for self-registration
AUTHENTICATED,Authenticated,,event,,,,READ,,,,,
AUTHENTICATED,Authenticated,,,,event_incident,,READ,,,,,
AUTHENTICATED,Authenticated,,gis,geocode,,,READ,,,,,
AUTHENTICATED,Authenticated,,gis,geocode_r,,,READ,,,,,
AUTHENTICATED,Authenticated,,gis,hdata,,,READ,,,,,
AUTHENTICATED,Authenticated,,gis,hierarchy,,,READ,,,,,
AUTHENTICATED,Authenticated,,gis,ldata,,,READ,,,,,
AUTHENTICATED,Authenticated,,gis,location,,,READ,,,,,
CALL_LOGGER,Call Logger,,asset,,,,CREATE|READ|UPDATE,,,,,
CALL_LOGGER,Call Logger,,cms,,,,CREATE|READ|UPDATE,,,,,
CALL_LOGGER,Call Logger,,cr,,,,CREATE|READ|UPDATE,,,,,
CALL_LOGGER,Call Logger,,doc,,,,CREATE|READ|UPDATE,,,,,
CALL_LOGGER,Call Logger,,event,,,,CREATE|READ|UPDATE,,,,,
CALL_LOGGER,Call Logger,,,,event_event,,READ,,,,,
CALL_LOGGER,Call Logger,,,,event_incident,,CREATE|READ|UPDATE,,,,,
CALL_LOGGER,Call Logger,,,,event_incident_type,,READ,,,,,
CALL_LOGGER,Call Logger,,fin,,,,CREATE|READ|UPDATE,,,,,
CALL_LOGGER,Call Logger,,gis,index,,,READ,,,,,
CALL_LOGGER,Call Logger,,gis,config,,,READ|CREATE,READ|CREATE|UPDATE,,,,
CALL_LOGGER,Call Logger,,,,gis_config,,READ|CREATE,READ|UPDATE,,,,
CALL_LOGGER,Call Logger,,,,gis_layer_bing,,READ,,,,,
CALL_LOGGER,Call Logger,,,,gis_layer_coordinate,,READ,,,,,
CALL_LOGGER,Call Logger,,,,gis_layer_empty,,READ,,,,,
CALL_LOGGER,Call Logger,,,,gis_layer_feature,,READ,,,,,
CALL_LOGGER,Call Logger,,,,gis_layer_geojson,,READ,,,,,
