uid,role,description,controller,function,table,entity,uacl,oacl,hidden,system,protected,Notes
ANONYMOUS,Anonymous,Unauthenticated visitors and new users during registration,gis,,,,READ,,,,,
ANONYMOUS,Anonymous,,gis,index,,,READ,,,,,
ANONYMOUS,Anonymous,,gis,location,,,READ,,,,,
ANONYMOUS,Anonymous,,gis,proxy,,,READ,,,,,
ANONYMOUS,Anonymous,,,,gis_location,,READ,,,,,
ANONYMOUS,Anonymous,,,,gis_layer_bing,,READ,,,,,
ANONYMOUS,Anonymous,,,,gis_layer_coordinate,,READ,,,,,
ANONYMOUS,Anonymous,,,,gis_layer_empty,,READ,,,,,
ANONYMOUS,Anonymous,,,,gis_layer_feature,,READ,,,,,
ANONYMOUS,Anonymous,,,,gis_layer_geojson,,READ,,,,,
ANONYMOUS,Anonymous,,,,gis_layer_georss,,READ,,,,,
ANONYMOUS,Anonymous,,,,gis_layer_google,,READ,,,,,
ANONYMOUS,Anonymous,,,,gis_layer_gpx,,READ,,,,,
ANONYMOUS,Anonymous,,,,gis_layer_kml,,READ,,,,,
ANONYMOUS,Anonymous,,,,gis_layer_openstretmap,,READ,,,,,
ANONYMOUS,Anonymous,,,,gis_layer_theme,,READ,,,,,
ANONYMOUS,Anonymous,,,,gis_layer_tms,,READ,,,,,
ANONYMOUS,Anonymous,,,,gis_layer_wfs,,READ,,,,,
ANONYMOUS,Anonymous,,,,gis_layer_wms,,READ,,,,,
ANONYMOUS,Anonymous,,,,gis_layer_xyz,,READ,,,,,
ANONYMOUS,Anonymous,,event,sitrep,,,READ,,,,,Public access to External SitReps
ANONYMOUS,Anonymous,,event,event,,,READ,,,,,Public access to Responses from Homepage
ANONYMOUS,Anonymous,,gis,location_tag,,,READ,,,,,Public access to Response Locations on Homepage Map
ANONYMOUS,Anonymous,,,,event_event,,READ,,,,,Public access to Responses on Homepage
ANONYMOUS,Anonymous,,,,event_event_location,,READ,,,,,Public access to Responses on Homepage
ANONYMOUS,Anonymous,,project,activity,,,READ,,,,,Public access to 4W information
ANONYMOUS,Anonymous,,,,project_activity,,READ,,,,,
ANONYMOUS,Anonymous,,edu,school,,,READ,,,,,Public access to Schools information
ANONYMOUS,Anonymous,,hms,hospital,,,READ,,,,,Public access to Clinics information
ANONYMOUS,Anonymous,,org,office,,,READ,,,,,Public access to Offices information
ANONYMOUS,Anonymous,,inv,warehouse,,,READ,,,,,Public access to Warehouses information
AUTHENTICATED,Authenticated,SC Staff inc ERT Members,cms,,,,READ,,,,,Weekly Schedule
AUTHENTICATED,Authenticated,,dc,,,,READ,,,,,
