Template,Section,Section Position,SubSection,SubSection Position,SubSubSection,SubSubSection Position,Question,Question Position,Type,Options,Required,Tooltip
Rapid Assessment,1. Assessment team information,1,,,,,a) Organizations participating,1,text,,,
Rapid Assessment,2. Geographic information,2,,,,,e) Name/Position of Person interviewed,5,text,,,
Rapid Assessment,2. Geographic information,2,,,,,f) Contact Details,6,text,,,
Rapid Assessment,3. Demographic data,3,"b) Post event demographic data of barangay (if available, even if estimates)",2,,,i. Male Adults,3,number,,,
Rapid Assessment,3. Demographic data,3,"b) Post event demographic data of barangay (if available, even if estimates)",2,,,ii. Female Adults,4,number,,,
Rapid Assessment,3. Demographic data,3,"b) Post event demographic data of barangay (if available, even if estimates)",2,,,iii. Total Adults,5,number,,,
Rapid Assessment,3. Demographic data,3,"b) Post event demographic data of barangay (if available, even if estimates)",2,,,iv. Male Children (5-18),6,number,,,
Rapid Assessment,3. Demographic data,3,"b) Post event demographic data of barangay (if available, even if estimates)",2,,,v. Female Children (5-18),7,number,,,
Rapid Assessment,3. Demographic data,3,"b) Post event demographic data of barangay (if available, even if estimates)",2,,,vi. Male Children <5,8,number,,,
Rapid Assessment,3. Demographic data,3,"b) Post event demographic data of barangay (if available, even if estimates)",2,,,vii. Female Children <5,9,number,,,
Rapid Assessment,3. Demographic data,3,"b) Post event demographic data of barangay (if available, even if estimates)",2,,,viii. Total Children,10,number,,,
Rapid Assessment,3. Demographic data,3,"b) Post event demographic data of barangay (if available, even if estimates)",2,,,ix. Grand Total,11,number,,,
Rapid Assessment,3. Demographic data,3,"b) Post event demographic data of barangay (if available, even if estimates)",2,,,x. Total Households,12,number,,,
Rapid Assessment,3. Demographic data,3,c),3,i.,1,Have people been forced or obliged to leave their homes or residences as consequence of this event (Internally Displaced People - IDPs)?,1,options,"['Yes','No']",,
Rapid Assessment,3. Demographic data,3,c),3,ii.,2,Name of Evacuation centre,1,text,,,
Rapid Assessment,3. Demographic data,3,c),3,"iii. If yes, number of IDPs staying in Designated Evacuation Centres.",3,Families total,1,number,,,
Rapid Assessment,3. Demographic data,3,c),3,"iii. If yes, number of IDPs staying in Designated Evacuation Centres.",3,Total population,2,number,,,
Rapid Assessment,3. Demographic data,3,c),3,"iii. If yes, number of IDPs staying in Designated Evacuation Centres.",3,Adults total,3,number,,,
Rapid Assessment,3. Demographic data,3,c),3,"iii. If yes, number of IDPs staying in Designated Evacuation Centres.",3,Children total,4,number,,,
Rapid Assessment,3. Demographic data,3,"d) Are there IDPs with the following special needs, and if so, how many?",4,,,persons with severe disability,1,options,"['Yes','No']",,
Rapid Assessment,3. Demographic data,3,"d) Are there IDPs with the following special needs, and if so, how many?",4,,,how many,2,number,,,
Rapid Assessment,3. Demographic data,3,"d) Are there IDPs with the following special needs, and if so, how many?",4,,,female headed households,3,options,"['Yes','No']",,
Rapid Assessment,3. Demographic data,3,"d) Are there IDPs with the following special needs, and if so, how many?",4,,,how many,4,number,,,
Rapid Assessment,3. Demographic data,3,"d) Are there IDPs with the following special needs, and if so, how many?",4,,,elderly persons,5,options,"['Yes','No']",,
Rapid Assessment,3. Demographic data,3,"d) Are there IDPs with the following special needs, and if so, how many?",4,,,how many,6,number,,,
Rapid Assessment,3. Demographic data,3,"d) Are there IDPs with the following special needs, and if so, how many?",4,,,adolescent/children headed households,7,options,"['Yes','No']",,
Rapid Assessment,3. Demographic data,3,"d) Are there IDPs with the following special needs, and if so, how many?",4,,,how many,8,number,,,
Rapid Assessment,3. Demographic data,3,"d) Are there IDPs with the following special needs, and if so, how many?",4,,,pregnant women,9,options,"['Yes','No']",,
Rapid Assessment,3. Demographic data,3,"d) Are there IDPs with the following special needs, and if so, how many?",4,,,<16 yrs,10,number,,,
Rapid Assessment,3. Demographic data,3,"d) Are there IDPs with the following special needs, and if so, how many?",4,,,16-19 yrs,11,number,,,
Rapid Assessment,3. Demographic data,3,"d) Are there IDPs with the following special needs, and if so, how many?",4,,,20 yrs,12,number,,,
Rapid Assessment,3. Demographic data,3,"d) Are there IDPs with the following special needs, and if so, how many?",4,,,lactating mothers,13,options,"['Yes','No']",,
Rapid Assessment,3. Demographic data,3,"d) Are there IDPs with the following special needs, and if so, how many?",4,,,how many,14,number,,,
Rapid Assessment,3. Demographic data,3,"d) Are there IDPs with the following special needs, and if so, how many?",4,,,Other special needs,15,options,"['Yes','No']",,
Rapid Assessment,3. Demographic data,3,"d) Are there IDPs with the following special needs, and if so, how many?",4,,,specify,16,text,,,
Rapid Assessment,3. Demographic data,3,e),5,,,Are there people staying outside of the Evacuation Centre who have also been displaced?,1,options,"['Yes','No']",,
