Organisation,Branch,Acronym,Name L10n:si,Acronym L10n:XX,Type,Sectors,Services,Groups,Country,Region,Website,Email,Phone,Phone2,Twitter,Logo,KV:XX,Comments
Government of Sri Lanka,,GoSL,ශ්‍රී ලංකා රජයේ ආයතනය,,Government,Coordination,,,LK,,http://gov.lk,,,,,,,
Disaster Management Center,,DMC,ආපදා කළමනාකරණ මධ්යස්ථානය,DMC,Government,Coordination,,,LK,,http://dmc.gov.lk,,,,,,,
United Nations Resident Coordinator Office,,UN-RCO,එක්සත් ජාතීන්ගේ නේවාසික සම්බන්ධීකරණ කාර්යාලය,UN-RCO,UN agency,Unknown,,,LK,,https://lk.one.un.org/un-in-sri-lanka/un-resident-coordinators-office/,,,,,,,
United Nations Resident Coordinator Office,,Oxfam,,,NGO,Unknown,,,LK,,https://www.oxfam.org/en/countries/sri-lanka,,,,,,,
Sarvodaya Shramadana Society,,Sarvodaya,සර්වෝදය ශ්‍රමදාන සංගමය,,NGO,Unknown,,,LK,,http://www.sarvodaya.org/,,,,,,,
World Vision Lanka,,WVL,,,NGO,Unknown,,,LK,,http://www.wvi.org/srilanka,,,,,,,
Information Communication Technology Agency,,ICTA,,,Government,Unknown,,,LK,,http://icta.lk/,,,,,,,"HTC member, technical support"
Sahana Software Foundation,,Sahana,,,NGO,Unknown,,,US,,http://www.sahanafoundation.org,,,,,,,software technical assistant
A-PAD,,A-PAD,,,NGO,SAR,,,LK,,,,,,,,,"To facilitate the rescue mission for animals, A-PAD together with other organisations, initiated a dedicated Team - Rescuing Animals in Disasters with hotline numbers for communities to inform of assistance required"
A-PAD,,A-PAD,,,,Coordination,,,,,,,,,,,,
A-PAD,,A-PAD,,,,WASH,,,,,,,,,,,,
A-PAD,,A-PAD,,,,Food Security,,,,,,,,,,,,
A-PAD,,A-PAD,,,,Hygiene,,,,,,,,,,,,
A-PAD,,A-PAD,,,,INA,,,,,,,,,,,,
A-PAD,,A-PAD,,,,Health,,,,,,,,,,,,
Oxfam International,,Oxfam,,,,Coordination,,,GB,,,,,,,,,
Oxfam International,,Oxfam,,,,WASH,,,,,,,,,,,,
Oxfam International,,Oxfam,,,,Food Security,,,,,,,,,,,,
Oxfam International,,Oxfam,,,,Hygiene,,,,,,,,,,,,
Oxfam International,,Oxfam,,,,INA,,,,,,,,,,,,
Oxfam International,,Oxfam,,,,Health,,,,,,,,,,,,
