Catalog,Category Code,Category,Item Name,Item Code,Brand,Model,Year,Unit of Measure,Pack,Pack Quantity,Pack2,Pack2 Quantity,Pack3,Pack3 Quantity,Weight,Length,Width,Height,Volume,Distributed,Comments
Default,Assets,Assets,Motor boat,,Honda,,2010,piece,,,,,,,100,5,1,1,,,
Default,Assets,Assets,Lorry,,Tata,,2000,piece,,,,,,,1000,8,1.5,2,,,
Default,Consumables,Consumables,Milk,,,,,piece,,,,,,,,,,,,,
Default,Consumables,Consumables,Toiletry,,,,,piece,,,,,,,,,,,,,
Default,Consumables,Consumables,Rice,,,,,piece,,,,,,,,,,,,,
Default,Consumables,Consumables,Medicine,,,,,piece,,,,,,,,,,,,,
Default,Consumables,Consumables,Water,,,,,piece,,,,,,,,,,,,,
Default,Consumables,Consumables,Sugar,,,,,piece,,,,,,,,,,,,,
Default,Assets,Assets,Water pump,,,,,piece,,,,,,,,,,,,,
Default,Assets,Assets,Electricity Generator,,,,,piece,,,,,,,,,,,,,
Default,Assets,Assets,Motor boat,,Honda,,2010,piece,,,,,,,100,5,1,1,,,
Default,Assets,Assets,Lorry,,Volvo,,2000,piece,,,,,,,1000,8,1.5,2,,,
