Catalog,Category,Category Code,Item Name,Unit of Measure,Kit,Comments
Default,All Inclusive Kits/Packs,Kits/Packs,Shelter Kit,piece,Yes,
Default,All Inclusive Kits/Packs,Kits/Packs,Dignity Kit,piece,Yes,
Default,All Inclusive Kits/Packs,Kits/Packs,Hygiene Kit,piece,Yes,
Default,All Inclusive Kits/Packs,Kits/Packs,Disinfectant Kit,piece,Yes,
Default,All Inclusive Kits/Packs,Kits/Packs,Reproductive Health Kit,piece,Yes,
Default,All Inclusive Kits/Packs,Kits/Packs,Household Kit,piece,Yes,
Default,All Inclusive Kits/Packs,Kits/Packs,Education Kit,piece,Yes,
Default,Assets/Equipment,Assets/Equipment,Truck,piece,,
Default,Assets/Equipment,Assets/Equipment,Motor Boat,piece,,
Default,Assets/Equipment,Assets/Equipment,Diesel driver Submersible water pump,piece,,
Default,Assets/Equipment,Assets/Equipment,Generator,piece,,
Default,Assets/Equipment,Assets/Equipment,Height and length measuring equipment,piece,,
Default,Assets/Equipment,Assets/Equipment,Infant beam scales,piece,,
Default,Assets/Equipment,Assets/Equipment,Permanent Shelter,piece,,
Default,Assets/Equipment,Assets/Equipment,Chlorine Barrel,piece,,
Default,Assets/Equipment,Assets/Equipment,Water Filter,piece,,
Default,Assets/Equipment,Assets/Equipment,Water quality testing equipment,piece,,
Default,Assets/Equipment,Assets/Equipment,Fogging machine,piece,,
Default,Assets/Equipment,Assets/Equipment,Chlorination unit,piece,,
Default,Assets/Equipment,Assets/Equipment,MUAC tape,piece,,
Default,Assets/Equipment,Assets/Equipment,Solar map,piece,,
Default,Assets/Equipment,Assets/Equipment,Spring balance scales,piece,,
Default,Assets/Equipment,Assets/Equipment,Weighing Trousers,piece,,
Default,Assets/Equipment,Assets/Equipment,Water Tank,piece,,
Default,Assets/Equipment,Assets/Equipment,Water Pumps,piece,,
Default,Cash Transfers,Cash Transfers,Household Cash Transfer,piece,,
Default,Cash Transfers,Cash Transfers,Cash for Work,piece,,
Default,Consumables/Food Items,Consumables/Food,Dry Rations,piece,,
Default,Consumables/Food Items,Consumables/Food,Cooked food,piece,,
Default,Consumables/Food Items,Consumables/Food,"Water bottle, 500ml",piece,,
Default,Consumables/Food Items,Consumables/Food,"Water bottle, 1L",piece,,
Default,Consumables/Food Items,Consumables/Food,"Water bottle, 2L",piece,,
Default,Consumables/Food Items,Consumables/Food,"Water bottle, 5L",piece,,
Default,Non-Food Items,Non-Food Items,Nutritional supplements,piece,,
Default,Non-Food Items,Non-Food Items,First Aid Kit,piece,,
Default,Non-Food Items,Non-Food Items,Guaze Pad,piece,,
Default,Non-Food Items,Non-Food Items,Plasters (adhesive bandages),piece,,
Default,Non-Food Items,Non-Food Items,"Wound cleaning agent (Dettol, Betadine, Saline, hydrogen peroxide, Dakin's solution)",piece,,
Default,Non-Food Items,Non-Food Items,Antibiotic cream,piece,,
Default,Non-Food Items,Non-Food Items,Scissors,piece,,
Default,Non-Food Items,Non-Food Items,"Equipment (scissors, gloves, masks, tweezers)",piece,,
Default,Non-Food Items,Non-Food Items,Cotton wool,piece,,
Default,Non-Food Items,Non-Food Items,Sanitary Napkin,piece,,
Default,Non-Food Items,Non-Food Items,Tooth brush,piece,,
Default,Non-Food Items,Non-Food Items,Tooth Paste,piece,,
Default,Non-Food Items,Non-Food Items,Body Soap,piece,,
Default,Non-Food Items,Non-Food Items,Hair Comb,piece,,
Default,Non-Food Items,Non-Food Items,Towel,piece,,
Default,Non-Food Items,Non-Food Items,Razor,piece,,
Default,Non-Food Items,Non-Food Items,Baby Wipe,piece,,
Default,Non-Food Items,Non-Food Items,Diapers/Nappies,piece,,
Default,Non-Food Items,Non-Food Items,Baby Clothes,piece,,
Default,Non-Food Items,Non-Food Items,Adult clothing,piece,,
Default,Non-Food Items,Non-Food Items,Bed Sheet,piece,,
Default,Non-Food Items,Non-Food Items,Pillow,piece,,
Default,Non-Food Items,Non-Food Items,Mats,piece,,
Default,Non-Food Items,Non-Food Items,Bucket,piece,,
Default,Non-Food Items,Non-Food Items,Toilet cleaning liquid,piece,,
Default,Non-Food Items,Non-Food Items,Disinfectant liquid,piece,,
Default,Skills (Services),Skills/Services,Search and Rescue,day,,
Default,Skills (Services),Skills/Services,Animal Rescue,day,,
Default,Skills (Services),Skills/Services,Administration,day,,
Default,Skills (Services),Skills/Services,Garbage disposal and collection,day,,
Default,Skills (Services),Skills/Services,Logistics,day,,
Default,Skills (Services),Skills/Services,Communication/Information,day,,
Default,Skills (Services),Skills/Services,Aerial Missions,day,,
Default,Skills (Services),Skills/Services,Weather Forecats,day,,
Default,Skills (Services),Skills/Services,Volunteering,day,,
Default,Skills (Services),Skills/Services,First Aid/Medical Assisatance,day,,
Default,Skills (Services),Skills/Services,Child Friendly Spaces,day,,
Default,Skills (Services),Skills/Services,Household treatment and awareness campaigns,day,,
Default,Skills (Services),Skills/Services,Well cleaning campaigns,day,,
Default,Skills (Services),Skills/Services,Psycho-social awareness campaigns,day,,
Default,Skills (Services),Skills/Services,Risk communication and disease surveillance campaign,day,,
Default,Skills (Services),Skills/Services,Child Protection campaigns,day,,
Default,Skills (Services),Skills/Services,WASH campaigns,day,,
Default,Skills (Services),Skills/Services,DRR Campaigns,day,,
Default,Skills (Services),Skills/Services,Education campaigns,day,,
Default,Skills (Services),Skills/Services,Lactrine construction,day,,
Default,Skills (Services),Skills/Services,Shelter construction,day,,
Default,Skills (Services),Skills/Services,Hand wash facilities construction,day,,
Default,Skills (Services),Skills/Services,Health facility rehabilitation,day,,
Default,Hygiene Kit Items,Hygiene Kit,"Towel (Cotton fabric, plain colour, 54”x30”)",piece,,
Default,Hygiene Kit Items,Hygiene Kit,Bucket 9 Lt +Top,piece,,
Default,Hygiene Kit Items,Hygiene Kit,Water Cup 1Ltr,piece,,
Default,Hygiene Kit Items,Hygiene Kit,Body Soap 100g - Lux,piece,,
Default,Hygiene Kit Items,Hygiene Kit,Laundry Soap 120g - Sunlight,piece,,
Default,Hygiene Kit Items,Hygiene Kit,Toothbrush – (L) Signal,piece,,
Default,Hygiene Kit Items,Hygiene Kit,Toothbrush - (S) Signal,piece,,
Default,Hygiene Kit Items,Hygiene Kit,Toothpaste 160g - Signal,piece,,
Default,Hygiene Kit Items,Hygiene Kit,Hair Comb,piece,,
Default,Hygiene Kit Items,Hygiene Kit,Razor,piece,,
Default,Hygiene Kit Items,Hygiene Kit,Sanitary Pads Packs of 10 pcs with wings - Eva,piece,,
Default,Hygiene Kit Items,Hygiene Kit,Nail clipper - big,piece,,
Default,Hygiene Kit Items,Hygiene Kit,Nail clipper - small,piece,,
Default,Hygiene Kit Items,Hygiene Kit,Underwear for women (2 Medium 2 Large) Cotton,piece,,
Default,Hygiene Kit Items,Hygiene Kit,underwear for Men (1 Medium and 1 large) Cotton,piece,,
Default,Hygiene Kit Items,Hygiene Kit,Panties for kids,piece,,
Default,Disinfectant Kit Items,Disinfectant Kit,"Plastic Broomstick 4"" bristles",piece,,
Default,Disinfectant Kit Items,Disinfectant Kit,Dust Pan with Brush 1 set,piece,,
Default,Disinfectant Kit Items,Disinfectant Kit,All-purpose disinfectant 1 litre Bottle - Dettol,piece,,
Default,Disinfectant Kit Items,Disinfectant Kit,Surface disinfectant 950ml Bottle - Lysol,piece,,
Default,Disinfectant Kit Items,Disinfectant Kit,Toilet cleaning liquid 1 bottle,piece,,
Default,Disinfectant Kit Items,Disinfectant Kit,Plastic Bucket 11 litre capacity with handle,piece,,
Default,Disinfectant Kit Items,Disinfectant Kit,Wiper Plastic,piece,,
Default,Disinfectant Kit Items,Disinfectant Kit,Toilet Brush Plastic brush with holder,piece,,
Default,Disinfectant Kit Items,Disinfectant Kit,Rubber Gloves Free size,piece,,
Default,Disinfectant Kit Items,Disinfectant Kit,Face mask Disposable,piece,,
Default,Disinfectant Kit Items,Disinfectant Kit,Dustbin (open) Standard office dustbin,piece,,
Default,Disinfectant Kit Items,Disinfectant Kit,Hand washing soap 100g - Lifebuoy,piece,,
Default,Disinfectant Kit Items,Disinfectant Kit,Washing/Detergent powder 1kg - Sunlight,piece,,
Default,Disinfectant Kit Items,Disinfectant Kit,Dish wash 500ml - Vim,piece,,
Default,Dignity Kit Items,Dignity Kit,Sanitary Pads Packs of 10 pcs with wings - Eva,piece,,
Default,Dignity Kit Items,Dignity Kit,"Mosquito net Double, rectangle shape",piece,,
Default,Dignity Kit Items,Dignity Kit,Box of matches (with caution and need only) 10 boxes in one pack,piece,,
Default,Dignity Kit Items,Dignity Kit,Cloth 2 meters,piece,,
Default,Dignity Kit Items,Dignity Kit,Candle (with caution & need only) 12 pieces,piece,,
Default,Dignity Kit Items,Dignity Kit,Towel Hand towel,piece,,
Default,Dignity Kit Items,Dignity Kit,Lantern/ torch Lantern/ torch/ USB port,piece,,
Default,Dignity Kit Items,Dignity Kit,School uniform 2.5 meters,piece,,
Default,Dignity Kit Items,Dignity Kit,"Women's underwear 1 medium, 1 large",piece,,
Default,Dignity Kit Items,Dignity Kit,Cloth pegs 1 set (12 nos/pack),piece,,
Default,Shelter Repair Kit Items,Shelter Kit,CGI (Galvanized Corrugated Iron) Sheets,piece,,"26G(0.4mm) thickness, size 10' x 2'8"""
Default,Shelter Repair Kit Items,Shelter Kit,Mammoty/Hoe with handle,piece,,"10"" x 8"" (250mm x 200mm), Handle 3.5'-4' long with Dry, Smooth and flexible wood."
Default,Shelter Repair Kit Items,Shelter Kit,Hand saw,piece,,"40mm blade, Length 500mm + 50mm, Laminated carbon steel, 7 teeth per inch,"
Default,Shelter Repair Kit Items,Shelter Kit,Crow bar,piece,,"1200mm (4') long, 16mm-25mm dia strong steel."
Default,Shelter Repair Kit Items,Shelter Kit,Claw hammer,piece,,0.75 lb (300g-350g). Handle with Dry strong flexible wood
Default,Shelter Repair Kit Items,Shelter Kit,Mana' knife/ Machete,piece,,"Curved blade, 55mm long with wood handle"
Default,Shelter Repair Kit Items,Shelter Kit,Roofing Nails,piece,,"75mm long (3.0""), Umbrella type, Spiral roll or twisted shank, sealed umbrella type spring head, rubber washer 26mm dia, 2mm thickness"
Default,Shelter Repair Kit Items,Shelter Kit,Nails,piece,,"75mm(3"") for wood"
Default,Shelter Repair Kit Items,Shelter Kit,Nails,piece,,"40mm(1.5"") for wood"
Default,Shelter Repair Kit Items,Shelter Kit,Shears,piece,,"260mm length, Straight for metal sheet"
Default,Shelter Repair Kit Items,Shelter Kit,Rope,piece,,"12mm dia, 30m length,"
Default,Household NFI Kit Items,Household Kit,Cooking pot,piece,,Aluminium - 6Ltr
Default,Household NFI Kit Items,Household Kit,Sauce Pans,piece,,"Aluminium with handles - 10"",9"" & 8"" dia"
Default,Household NFI Kit Items,Household Kit,Deep Plates,piece,,Stainless steel
Default,Household NFI Kit Items,Household Kit,Mugs with handles,piece,,Stainless steel - medium size
Default,Household NFI Kit Items,Household Kit,Curry Spoon,piece,,Stainless steel
Default,Household NFI Kit Items,Household Kit,Rice Spoon,piece,,Stainless steel
Default,Household NFI Kit Items,Household Kit,Kitchen knife,piece,,Stainless steel blade and wooden handle
Default,Household NFI Kit Items,Household Kit,Kerosene Oil Cooker / Stove,piece,,
Default,Household NFI Kit Items,Household Kit,Coconut Scraper,piece,,
Default,Household NFI Kit Items,Household Kit,Solar Lamp,piece,,Rechargeable with solar light
Default,Household NFI Kit Items,Household Kit,Torch with batteries,piece,,
Default,Household NFI Kit Items,Household Kit,Bed sheets,piece,,Cotton - double size
Default,Household NFI Kit Items,Household Kit,Bed sheets,piece,,Cotton - single size
Default,Household NFI Kit Items,Household Kit,Pillow cases,piece,,Medium size
Default,Household NFI Kit Items,Household Kit,Curtain,piece,,6' x 4' cloth material
Default,Household NFI Kit Items,Household Kit,Mosquito net,piece,,
