uid,role,description,controller,function,table,uacl,oacl,hidden,system,protected,Notes
AUTHENTICATED,Authenticated,,gis,location,,READ|CREATE,READ|CREATE|UPDATE|DELETE,,,,
AUTHENTICATED,Authenticated,,gis,,,READ,READ|CREATE|UPDATE|DELETE,,,,
CASE_MANAGEMENT,Individual Case Management Staff,Role granting access to individual case management details,dvr,,,NONE,,,,,@todo
GROUP_ACTIVITIES,Group Activities Staff,Role granting access to group activity details,dvr,,,NONE,,,,,@todo
MENTAL_HEALTH,Mental Health Staff,Role granting access to mental health details,dvr,,,NONE,,,,,@todo
ORG_ADMIN,Organisation Admin,Role to manage organisation details incl. users and roles,dvr,,,NONE,,,,,@todo
STAFF,Staff Member,Realm-restricted access role for staff members,dvr,activity,,NONE,,,,,
STAFF,Staff Member,Realm-restricted access role for staff members,dvr,case_activity,,NONE,,,,,
STAFF,Staff Member,Realm-restricted access role for staff members,dvr,due_followups,,NONE,,,,,
STAFF,Staff Member,Realm-restricted access role for staff members,dvr,person,,READ|CREATE|UPDATE|DELETE,,,,,
STAFF,Staff Member,Realm-restricted access role for staff members,dvr,,,READ,READ|UPDATE|DELETE,,,,
STAFF,Staff Member,Realm-restricted access role for staff members,hrm,human_resource,,READ,,,,,
STAFF,Staff Member,Realm-restricted access role for staff members,pr,contact,,READ|CREATE|UPDATE|DELETE,,,,,
STAFF,Staff Member,Realm-restricted access role for staff members,pr,contact_emergency,,READ|CREATE|UPDATE|DELETE,,,,,
STAFF,Staff Member,Realm-restricted access role for staff members,,,dvr_activity,NONE,,,,,
STAFF,Staff Member,Realm-restricted access role for staff members,,,dvr_beneficiary_data,READ|CREATE|UPDATE|DELETE,,,,,
STAFF,Staff Member,Realm-restricted access role for staff members,,,dvr_case,READ|CREATE|UPDATE|DELETE,,,,,
STAFF,Staff Member,Realm-restricted access role for staff members,,,dvr_case_activity,NONE,,,,,
STAFF,Staff Member,Realm-restricted access role for staff members,,,dvr_case_details,READ|CREATE|UPDATE|DELETE,,,,,
STAFF,Staff Member,Realm-restricted access role for staff members,,,dvr_economy,READ|CREATE|UPDATE|DELETE,,,,,
STAFF,Staff Member,Realm-restricted access role for staff members,,,dvr_evaluation,NONE,,,,,
STAFF,Staff Member,Realm-restricted access role for staff members,,,dvr_evaluation_data,NONE,,,,,
STAFF,Staff Member,Realm-restricted access role for staff members,,,dvr_evaluation_question,NONE,,,,,
STAFF,Staff Member,Realm-restricted access role for staff members,,,dvr_household,READ|CREATE|UPDATE|DELETE,,,,,
STAFF,Staff Member,Realm-restricted access role for staff members,,,hrm_human_resource,READ,,,,,
STAFF,Staff Member,Realm-restricted access role for staff members,,,org_organisation,READ,,,,,
STAFF,Staff Member,Realm-restricted access role for staff members,,,pr_address,READ|CREATE|UPDATE|DELETE,,,,,
STAFF,Staff Member,Realm-restricted access role for staff members,,,pr_contact,READ|CREATE|UPDATE|DELETE,,,,,
STAFF,Staff Member,Realm-restricted access role for staff members,,,pr_contact_emergency,READ|CREATE|UPDATE|DELETE,,,,,
STAFF,Staff Member,Realm-restricted access role for staff members,,,pr_person,READ|CREATE|UPDATE|DELETE,,,,,
STAFF,Staff Member,Realm-restricted access role for staff members,,,pr_person_details,READ|CREATE|UPDATE|DELETE,,,,,
STAFF,Staff Member,Realm-restricted access role for staff members,,,pr_person_tag,READ|CREATE|UPDATE|DELETE,,,,,
