uid,role,description,controller,function,table,entity,uacl,oacl,hidden,system,protected,Notes
ANONYMOUS,Anonymous,,gis,,,,READ,READ,,,,
ANONYMOUS,Anonymous,,org,,,,READ,READ,,,,
ANONYMOUS,Anonymous,,project,,,,READ,READ,,,,
ANONYMOUS,Anonymous,,supply,,,,READ,READ,,,,
AUTHENTICATED,Authenticated,,gis,geocode,,,READ,,,,,
AUTHENTICATED,Authenticated,,gis,ldata,,,READ,,,,,
USER,User,,default,person,,,READ|CREATE|UPDATE,,,,,
USER,User,,default,person,gis_location,,READ|CREATE|UPDATE,,,,,
USER,User,,org,,,,READ|CREATE|UPDATE|REVIEW|APPROVE,READ|CREATE|UPDATE|DELETE|REVIEW|APPROVE,,,,
USER,User,,project,,,,READ|CREATE|UPDATE,READ|CREATE|UPDATE|DELETE,,,,
USER,User,,pr,,,,READ|CREATE|UPDATE,READ|CREATE|UPDATE|DELETE,,,,
USER,User,,supply,,,,READ|CREATE|UPDATE,READ|CREATE|UPDATE|DELETE,,,,
USER,User,,,,gis_config,,READ|CREATE,READ|UPDATE,,,,
USER,User,,,,pr_address,,,READ|CREATE|UPDATE,,,,
USER,User,,,,pr_contact,,,READ|CREATE|UPDATE,,,,
USER,User,,,,pr_contact_emergency,,,READ|CREATE|UPDATE,,,,
USER,User,,,,pr_education,,,READ|CREATE|UPDATE,,,,
USER,User,,,,pr_identity,,,READ|CREATE|UPDATE,,,,
USER,User,,,,pr_image,,,READ|CREATE|UPDATE,,,,
USER,User,,,,pr_person,,,READ|UPDATE,,,,
USER,User,,,,pr_physical_description,,,READ|CREATE|UPDATE,,,,
MAP_ADMIN,Map Admin,,,gis,,,ALL,,,,,
