Layer,Country,L1,L2,L3,L4,L5,Value
% Unemployed,SY,Damascus,,,,,11.2
% Unemployed,SY,Aleppo,,,,,7.6
% Unemployed,SY,Rural Damascus  ,,,,,8.7
% Unemployed,SY,Homs,,,,,16.5
% Unemployed,SY,Hama,,,,,9.9
% Unemployed,SY,Latakia,,,,,19.1
% Unemployed,SY,Idlib ,,,,,16.8
% Unemployed,SY,Al-Hasakah,,,,,38.8
% Unemployed,SY,Deir ez-Zor,,,,,23.5
% Unemployed,SY,Tartous,,,,,15.6
% Unemployed,SY,Ar-Raqqa,,,,,21.9
% Unemployed,SY,"Dara'a",,,,,13.3
% Unemployed,SY,As-Suwayda,,,,,22.4
% Unemployed,SY,Quneitra,,,,,17.8
