Lon,Lat,Name
28.6978219,41.0582956,"N 41° 03' 28""	E 28° 41' 51""",
28.7155555556,41.0569444444,"N 41° 03' 25""	E 28° 42' 56""",
28.7455555556,41.0625,"N 41° 03' 45""	E 28° 44' 44""",
28.7622222222,41.0625,"N 41° 03' 45""	E 28° 45' 44""",
28.7811111111,41.0638888889,"N 41° 03' 50""	E 28° 46' 52""",
28.8008333333,41.0619444444,"N 41° 03' 43""  	E 28° 48' 03""",
28.8152777778,41.0602777778,"N 41° 03' 37""  	E 28° 48' 55""",
28.8333333333,41.0630555556,"N 41° 03' 47""	E 28° 50' 00""",
28.8897222222,41.0897222222,"N 41° 05' 23""  	E 28° 53' 23""",
28.8961111111,41.0888888889,"N 41° 05' 20""  	E 28° 53' 46""",
28.9186111111,41.0927777778,"N 41° 05' 34""	E 28° 55' 07""",
28.9677777778,41.1011111111,"N 41° 06' 04""	E 28° 58' 04"" ",
28.9780555556,41.1008333333,"N 41° 06' 03""	E 28° 58' 41""",
28.9872222222,41.1019444444,"N 41° 06' 07"" 	E 28° 59' 14""",
29.0730555556,41.0905555556,"N 41° 05' 26"" 	E 29° 04' 23""",
29.0919444444,41.09,"N 41° 05' 24"" 	E 29° 05' 31""",
29.0911111111,41.0880555556,"N 41° 05' 17""	E 29° 05' 28""  ",
29.1219444444,41.0302777778,"N 41° 01' 49""	E 29° 07' 19""   ",
29.1205555556,40.9944444444,"N 40° 59' 40"" 	E 29° 07' 14""",
29.1522222222,40.99,"N 40° 59' 24""	E 29° 09' 08""  ",
29.1702777778,40.9927777778,"N 40° 59' 34""	E 29° 10' 13"" ",
29.1819444444,40.9894444444,"N 40° 59' 22""	E 29° 10' 55"" ",
29.2041666667,40.9816666667,"N 40° 58' 54""	E 29° 12' 15""",
29.2147222222,40.9805555556,"N 40° 58' 50""	E 29° 12' 53"" ",
29.2325,40.975,"N 40° 58' 30""  	E 29° 13' 57""",
29.2552777778,40.9730555556,"N 40° 58' 23""	E 29° 15' 19""  ",
29.265,40.9691666667,"N 40° 58' 09""	E 29° 15' 54""   ",
29.3266666667,40.9383333333,"N 40° 56' 18""	E 29° 19' 36""  ",
29.3472222222,40.93,"N 40° 55' 48""  	E 29° 20' 50""",
29.3869444444,40.9183333333,"N 40° 55' 06""	E 29° 23' 13""",
29.3738888889,40.89,"N 40° 53' 24""	E 29° 22' 26""   ",
29.3869444444,40.8772222222,"N 40° 52' 38""  	E 29° 23' 13""   ",
29.3944444444,40.8683333333,"N 40° 52' 06""  	E 29° 23' 40"" ",
29.3894444444,40.8666666667,"N 40° 52' 00""	E 29° 23' 22""   ",
29.3822222222,40.8630555556,"N 40° 51' 47""	E 29° 22' 56""   ",
29.3741666667,40.8419444444,"N 40° 50' 31""	E 29° 22' 27""   ",
29.3491666667,40.8230555556,"N 40° 49' 23""	E 29° 20' 57""",
29.3238888889,40.8338888889,"N 40° 50' 02""	E 29° 19' 26""",
29.3061111111,40.845,"N 40° 50' 42""	E 29° 18' 22""",
29.3030555556,40.845,"N 40° 50' 42""	E 29° 18' 11""",
28.9880555556,41.0586111111,"N 41° 03' 31""	E 28° 59' 17""",
29.1219444444,41.0302777778,"N 41° 01' 49""	E 29° 07' 19""   ",
29.2944444444,40.8519444444,"N 40° 51' 07""	E 29° 17' 40""",
29.2744444444,40.8658333333,"N 40° 51' 57""	E 29° 16' 28""",
29.2725,40.8677777778,"N 40° 52' 04""	E 29° 16' 21""",
29.2383333333,40.8877777778,"N 40° 53' 16""	E 29° 14' 18""",
29.2213888889,40.9,"N 40° 54' 00""	E 29° 13' 17""",
29.2108333333,40.9069444444,"N 40° 54' 25""	E 29° 12' 39""",
29.1877777778,40.9130555556,"N 40° 54' 47""	E 29° 11' 16""",
29.1827777778,40.9158333333,"N 40° 54' 57""	E 29° 10' 58""",
29.1711111111,40.9169444444,"N 40° 55' 01""	E 29° 10' 16""",
29.1702777778,40.9202777778,"N 40° 55' 13""	E 29° 10' 13""",
29.1630555556,40.92,"N 40° 55' 12""	E 29° 09' 47""",
29.1533333333,40.9236111111,"N 40° 55' 25""	E 29° 09' 12""",
29.1513888889,40.9266666667,"N 40° 55' 36""	E 29° 09' 05""",
29.1361111111,40.9361111111,"N 40° 56' 10""	E 29° 08' 10""",
29.1311111111,40.9427777778,"N 40° 56' 34""	E 29° 07' 52""",
29.1294444444,40.9422222222,"N 40° 56' 32""	E 29° 07' 46""",
29.1216666667,40.9483333333,"N 40° 56' 54""	E 29° 07' 18""",
29.1213888889,40.9505555556,"N 40° 57' 02""	E 29° 07' 17""",
29.1122222222,40.9586111111,"N 40° 57' 31""	E 29° 06' 44""",
29.1108333333,40.9597222222,"N 40° 57' 35""	E 29° 06' 39""",
29.1044444444,40.9647222222,"N 40° 57' 53""	E 29° 06' 16""",
29.1005555556,40.9711111111,"N 40° 58' 16""	E 29° 06' 02""",
29.0986111111,40.9780555556,"N 40° 58' 41""	E 29° 05' 55""",
29.0944444444,40.9797222222,"N 40° 58' 47""	E 29° 05' 40""",
29.0930555556,40.9841666667,"N 40° 59' 03""	E 29° 05' 35""",
29.0825,40.9902777778,"N 40° 59' 25""	E 29° 04' 57""",
29.0669444444,40.9941666667,"N 40° 59' 39""	E 29° 04' 01""",
29.0147222222,41.0047222222,"N 41° 00' 17""	E 29° 00' 53""",
29.0363077,41.0033137,Koftuncu Sk,
29.0494444444,41.0013888889,"N 41° 00' 05""	E 29° 02' 58""",
29.0525,40.9994444444,"N 40° 59' 58""	E 29° 03' 09""",
29.0416666667,41.0372222222,"N 41° 02' 14""	E 29° 02' 30""",
29.0127777778,41.0669444444,"N 41° 04' 01""	E 29° 00' 46""",
28.9988888889,41.0658333333,"N 41° 03' 57""	E 28° 59' 56""",
28.9808333333,41.0644444444,"N 41° 03' 52""	E 28° 58' 51""",
28.9775,41.0677777778,"N 41° 04' 04""	E 28° 58' 39""",
28.9686111111,41.0619444444,"N 41° 03' 43""	E 28° 58' 07""",
28.9602777778,41.0566666667,"N 41° 03' 24""	E 28° 57' 37""",
28.9455555556,41.0441666667,"N 41° 02'39""	E 28° 56' 44""",
28.9416666667,41.0408333333,"N 41° 02' 27""	E 28° 56' 30""",
28.9241666667,41.0313888889,"N 41° 01' 53""	E 28° 55' 27""",
28.9247222222,41.0269444444,"N 41° 01' 37""	E 28° 55' 29""",
