Organisation,Acronym,Website,Logo,Comments,Type,Country,Phone,Phone2,Email
"Çeviri Derneği Afette Rehber Çevirmenlik Organizasyonu",,,,,,"TR","212-5117975","212-5117975","arc@ceviridernegi.org"
"Ceza İnfaz Sisteminde Sivil Toplum Derneği","CISST","https://cisst.org.tr/",,"2006 yılı başlarında; cezaevlerinde çalışma deneyimi olan, ya da bu konuda çalışmaya gönüllü olan Sivil Toplum Kuruluşları temsilcileri, Anadolu Kültür öncülüğünde cezaevlerinin sorunları ve STK’ların bu sorunları çözmeye ne ölçüde bir katkı sağlayabilecekleri konusunda bilgi ve görüş alışverişinde bulunmuşlardır. Bu toplantılar sırasında daha etkili olabilmek için cezaevleri çalışmalarını bütünüyle kapsayan bir dernek oluşturulması konusu sık sık dile getirilmiştir. Bu çalışmalara katılan bazı temsilciler, farklı tiplerdeki 15 ayrı cezaevini ziyaret edip, toplantılarda bugüne kadar gelinen nokta ve uzun vadedeki hedefler hakkında hükümlü ve tutuklulara, cezaevleri müdürlerine ve savcılarına bilgi vermiş ve bu cezaevlerindeki iyileştirme çalışmaları, ihtiyaç ve sorunlar hakkında bilgi almışlardır. ",,"TR","212 2936982","212 2936982","info@cezaevindestk.org"
"Çocukla Yaşam Derneği","cocuklayasam","http://www.cocuklayasam.org.tr",,"Büyükşehirlerin kırsal mahalleri başta olmak üzere geri kalmış bölgelerde çocuk yoksulluğuna bağlı sorunlara yönelik çalışmalar yapmak",,"TR",2164358068,,
"Çağdaş Yaşamı Destekleme Derneği","CYDD","http://www.cydd.org.tr/",,"Atatürk ilke ve devrimlerini ve Cumhuriyet'in kazanımlarını koruma yolunda, bilimsel düşünme ve sorgulama yetilerini geliştiren, insan haklarına saygılı, çağdaş bir yaşam ve eğitim için çözüm üretmek ve kamuoyu oluşturmaktır.",,"TR","0212 252 44 33","0 212 252 65 95","cydd@cydd.org.tr"
"Foça Forum",,"http://sitap.org/uyelik/uyeler/",,"Bu grup, Foça ilçesinde yaşayan yurttaşların yaşadıkları bölge sorunlarını dile getirmek, tartışmak, bilgilenmek, çözüm yolları aramak amacıyla bir araya gelmiştir. Aynı şekilde, ülke ve dünyadaki gelişmeler, sorunlar hakkında düşüncelerini belirtmek, tartışmak amacını da taşımaktadır. Grup tartışmaları, “Forum” mantığında sürdürülmektedir. Halktan yana olan herkesi birleştirici olmayı gözetmektedir. Üyeler, birbirlerine birlikte yaşamanın gerektirdiği saygı ile yaklaşırlar.",,"TR","0232-7251200","0232-7251200",
"Gıda Bankacılığı ve Temel İhtiyaç Derneği","GBtider","http://www.gbtider.org",,"Temel ihtiyaçlara ulaşım her bireyin yaşamsal hakkıdır. GBtider ailesi olarak, Türkiye’de özellikle dezavantajlı kesimin temel kaynaklara düzenli erişimini ve sürdürülebilir biçimde iş gücüne katılmasını teşvik etmeye yönelik çalışmaktayız.",,"TR","0216 709 08 80",,"info@gbtider.org"
"Hayata Destek Derneği / Support To Life",,"http://hayatadestek.org",,"Hayata Destek, afet risk ve etkilerinin en aza indirilmesi için Türkiye ve çevre ülkelerde afete hazırlık, risk azaltma, acil müdahale ve iyileştirme çalışmaları yapan bölgesel bir insani yardım kuruluşu.",,"TR",2163362262,2163362925,"info@hayatadestek.org"
"Kadınlarla Dayanışma Vakfı","KADAV","http://kadav-ist.org/",,"Her alanda Toplumsal Cinsiyet Eşitliğinin sağlanmasına katkı sunmak</div>",,"TR","212.251 58 50","212. 251 58 50","info@kadav-ist.org"
"Kimse Yok Mu Dayanaışma ve Yardımlaşma Derneği","Kimse Yok Mu","http://www.kimseyokmu.org.tr",,"Misyonumuz Toplumun yardım değerlerini etkin hale getirerek din, dil, ırk, cinsiyet farkı  gözetmeksizin, saygınlıklarını koruma hassasiyetiyle yurt içi ve yurt dışındaki ihtiyaç sahiplerine acil ve kalıcı çözümler üretmek,",,"TR","0 216 521 8080","0 216 520 16 16","info@kimseyokmu.org.tr"
"Mahalle Afet Gönüllüleri Vakfı","mag vakfi","http://www.mag.org.tr",,"Mahalle Afet Gönüllüleri (MAG) Vakfı Türkiye'nin afetlere hazırlıklı olmasını sağlamak üzere oluşturulmuş bir sivi girişimdir. İş adamlar, kanaat önderleri, medya mensupları, sanatçılar ve akademisyenlerden oluşan bir grup girişimci Vakfı oluşturmak üzere 2007 yılında bir araya gelmişlerdir. Vakfın misyonu bir afet meydana gelmesi durumunda mümkün olduğunca az sayıda can kaybının oluşmasını sağlamaktır. Bu amaçla Vakıf; ",,"TR","212 296 54 90","212 296 21 20","vakif@magvakfi.org.tr"
"Mavi Kalem Sosyal Yardımlaşma ve Dayanışma Vakfı","MASED","https://www.facebook.com/groups/264126530464840/",,"Zihin engelli çocuklarımızın eğitimlerine destek sağlamak üzere spor faaliyetleri ve diğer sosyal faaliyetler",,"TR",,,
"MaviKalem","MaviKalem","http://www.mavikalem.org",,"Mavi Kalem, gönüllülüğün bir yaşam biçimi olduğu fikri etrafında oluşmuştur.",,"TR",2125344133,,"mavikalem@mavikalem.org"
"Psikolojik Danışmanlar Derneği","pdder","http://www.pdder.org.tr",,"Psikolojik Danışmanlar Derneği'nin; ",,"TR",5062090559,,"bilgi@pdder.org.tr"
"Sosyal İnovasyon Merkezi","SIM","http://www.sosyalinovasyonmerkezi.com.tr",,"Var olan toplumsal, kültürel, ekonomik ve çevresel sorunlara yenilikçi çözümler üretecek toplumsal yenileşme projeleri gerçekleştirmek; bu amaçla uğraş veren birey, grup ve kurumların bir araya geldiği bir buluşma noktası olmak",,"TR",2164289666,,"info@sosyalinovasyonmerkezi.com.tr"
"Tüvana Okuma İstekli Çocuk Eğitim Vakfı","TOCEVC","http://www.tocev.org.tr",,"tatürk ilke ve inkılâplarını benimsemektedir. ",,"TR",2122828916,,"info@tocev.org.tr"
"Toplumsal Afet Derneği",,"http://www.toplumsalafetplatformu.org/",,"Toplumsal Afet Platformu; İnsan saygınlığının korunması doğrultusunda her koşulda,yerde ve zamanda muhtaç veya korumasız insanlara yardım etmek aynı zamanda toplumun afetlerle mücadele kapasitesinin geliştirilmesini desteklemeyi hedefleyen bir dayanışmadır",,"TR",5076813000,,"toplumsalafetplatformu@gmail.com"
"TÜRK PSİKOLOGLAR DERNEĞİ","TPD","http://www.psikolog.org.tr/",,"Türk Psikologlar Derneği, Türkiye’de Psikoloji Bilimi ve kuruluşlarının çağdaş düzeye ulaşmasını, psikologların mesleki haklarının korunmasını ve ulusal psikoloji sorunlarının çözümlenmesini, ülkemizin bu anlamdaki birikimlerini ortaya koymak doğrultusunda çalışmalarda bulunmak, psikologlar arasında birlik, beraberlik ve dayanışma sağlayarak, psikoloji biliminin ve mesleğinin ülkemizde tanıtılması, geliştirilmesi ve toplumun yararına kullanılması için çalışmalarda bulunmak; sağlık, eğitim, endüstri, işletme, adalet, askerlik, kitle iletişimi, güvenlik kuvvetleri, yayın hizmetleri, din, dil, iletişim, sosyal hizmetler, siyaset, sanat ve psikolojinin diğer uygulama alanlarında psikoloji biliminin ülkemize katkılarını arttırmak ve meslek elemanlarının standartlarını yükseltmek ve haklarının korunmasını sağlamak, mesleğe aykırı davrananlar hakkında ilgili birimlere duyuruda bulunmak amacı ile kurulmuştur.</div>",,"TR","0 312 425 67 65","0 312 417 40 59","bilgi@psikolog.org.tr"
"Türkiye Kurumsal Sosyal Sorumluluk Dernegi",,"http://kssd.org",,"Şirketlerin sosyal, ekonomik ve çevresel konulardaki sorumluluklarını yerine getirmesine imkân sağlayacak araç, kaynak ve yöntemlerin oluşturulmasını sağlayarak toplumun kalkınmasına katkıda bulunan sivil toplum kuruluşu</div>",,"TR","(0212) 533 65 32/1219",,"kssd@kssd.org"
