Activity,Activity Type,Organisation Group,Country,L1,L2,L3,Location,Lat,Lon,Beneficiaries:Total,Start Date
First Aid Training,Training,Acton & Agua Dulce,US,California,Los Angeles County,Los Angeles,Activity Location,34.04008962,-118.2615446,12,2014-10-09
Workshop,Training,Acton & Agua Dulce,US,California,Los Angeles County,Los Angeles,Activity Location,34.04941097,-118.4610231,23,2014-10-08
Coalition Meeting,Meetings,Culver City,US,California,Los Angeles County,Los Angeles,Activity Location,34.05235,-118.220466,40,2014-10-07
Vaccination Campaign,Outreach,Culver City,US,California,Los Angeles County,Los Angeles,Activity Location,34.053346,-118.219928,500,2014-10-06
Free Music Festival,Community Events,Huntington Park,US,California,Los Angeles County,Los Angeles,Activity Location,34.050449,-118.272361,1000,2014-10-05
Community Gardening,Training,Huntington Park,US,California,Los Angeles County,Los Angeles,Activity Location,34.064319,-118.265074,120,2014-10-04
Fieldwork,Outreach,La Crescenta-Montrose,US,California,Los Angeles County,Los Angeles,Activity Location,34.05921555,-118.2510071,88,2014-10-03
Neighborhood Watch,Meetings,La Crescenta-Montrose,US,California,Los Angeles County,Los Angeles,Activity Location,34.061518,-118.272079,124,2014-10-02
Emergency Preparedness Campaign,Outreach,Pico-Union,US,California,Los Angeles County,Los Angeles,Activity Location,34.01970751,-118.3556546,345,2014-10-01
Farmer's Market,Community Events,Pico-Union,US,California,Los Angeles County,Los Angeles,Activity Location,34.089461,-118.293173,600,2014-09-30
First Aid Training ,Training,Watts,US,California,Los Angeles County,Los Angeles,Activity Location,34.024868,-118.261606,32,2014-09-29
Workshop,Training,Watts,US,California,Los Angeles County,Los Angeles,Activity Location,34.049259,-118.257027,65,2014-09-28
Coalition Meeting,Meetings,Wilmington,US,California,Los Angeles County,Los Angeles,Activity Location,33.958834,-118.291917,32,2014-09-27
Vaccination Campaign,Outreach,Wilmington,US,California,Los Angeles County,Los Angeles,Activity Location,34.2328539,-118.5361364,346,2014-09-26
Free Music Festival,Community Events,Pomona,US,California,Los Angeles County,Pomona,Activity Location,34.060607,-117.746992,642,2014-09-25
Community Gardening,Community Events,Pomona,US,California,Los Angeles County,Pomona,Activity Location,34.05273819,-117.7538605,125,2014-09-24
