Name,Controller,Function,Filter,Popup Format,Attributes,Style,Opacity,Config,Folder,Visible,Enabled,Cluster Threshold,Refresh
All Coalitions,org,group,,{name},name,"{'fill':'FFFFFF','fillOpacity':0.01,'stroke':'000000'}",0.9,,Coalitions,False,True,0,0
Acton & Agua Dulce,org,group,~.name=Acton %26 Agua Dulce,Acton & Agua Dulce,,"{'fill':'FFFFFF','fillOpacity':0.01,'stroke':'000000'}",0.9,,Coalitions,False,True,0,0
Acton & Agua Dulce,org,group,~.name=Acton %26 Agua Dulce,Acton & Agua Dulce,,"{'fill':'FFFFFF','fillOpacity':0.01,'stroke':'000000'}",0.9,Acton & Agua Dulce,Coalitions,True,True,0,0
Compton,org,group,~.name=Compton,Compton,,"{'fill':'FFFFFF','fillOpacity':0.01,'stroke':'000000'}",0.9,,Coalitions,False,True,0,0
Compton,org,group,~.name=Compton,Compton,,"{'fill':'FFFFFF','fillOpacity':0.01,'stroke':'000000'}",0.9,Compton,Coalitions,True,True,0,0
Culver City,org,group,~.name=Culver City,Culver City,,"{'fill':'FFFFFF','fillOpacity':0.01,'stroke':'000000'}",0.9,,Coalitions,False,True,0,0
Culver City,org,group,~.name=Culver City,Culver City,,"{'fill':'FFFFFF','fillOpacity':0.01,'stroke':'000000'}",0.9,Culver City,Coalitions,True,True,0,0
Gardena,org,group,~.name=Gardena,Gardena,,"{'fill':'FFFFFF','fillOpacity':0.01,'stroke':'000000'}",0.9,,Coalitions,False,True,0,0
Gardena,org,group,~.name=Gardena,Gardena,,"{'fill':'FFFFFF','fillOpacity':0.01,'stroke':'000000'}",0.9,Gardena,Coalitions,True,True,0,0
Hawaiian Gardens,org,group,~.name=Hawaiian Gardens,Hawaiian Gardens,,"{'fill':'FFFFFF','fillOpacity':0.01,'stroke':'000000'}",0.9,,Coalitions,False,True,0,0
Hawaiian Gardens,org,group,~.name=Hawaiian Gardens,Hawaiian Gardens,,"{'fill':'FFFFFF','fillOpacity':0.01,'stroke':'000000'}",0.9,Hawaiian Gardens,Coalitions,True,True,0,0
Hollywood,org,group,~.name=Hollywood,Hollywood,,"{'fill':'FFFFFF','fillOpacity':0.01,'stroke':'000000'}",0.9,,Coalitions,False,True,0,0
Hollywood,org,group,~.name=Hollywood,Hollywood,,"{'fill':'FFFFFF','fillOpacity':0.01,'stroke':'000000'}",0.9,Hollywood,Coalitions,True,True,0,0
Huntington Park,org,group,~.name=Huntington Park,Huntington Park,,"{'fill':'FFFFFF','fillOpacity':0.01,'stroke':'000000'}",0.9,,Coalitions,False,True,0,0
Huntington Park,org,group,~.name=Huntington Park,Huntington Park,,"{'fill':'FFFFFF','fillOpacity':0.01,'stroke':'000000'}",0.9,Huntington Park,Coalitions,True,True,0,0
La Crescenta-Montrose,org,group,~.name=La Crescenta-Montrose,La Crescenta-Montrose,,"{'fill':'FFFFFF','fillOpacity':0.01,'stroke':'000000'}",0.9,,Coalitions,False,True,0,0
La Crescenta-Montrose,org,group,~.name=La Crescenta-Montrose,La Crescenta-Montrose,,"{'fill':'FFFFFF','fillOpacity':0.01,'stroke':'000000'}",0.9,La Crescenta-Montrose,Coalitions,True,True,0,0
Palms,org,group,~.name=Palms,Palms,,"{'fill':'FFFFFF','fillOpacity':0.01,'stroke':'000000'}",0.9,,Coalitions,False,True,0,0
Palms,org,group,~.name=Palms,Palms,,"{'fill':'FFFFFF','fillOpacity':0.01,'stroke':'000000'}",0.9,Palms,Coalitions,True,True,0,0
Pico-Union,org,group,~.name=Pico-Union,Pico-Union,,"{'fill':'FFFFFF','fillOpacity':0.01,'stroke':'000000'}",0.9,,Coalitions,False,True,0,0
Pico-Union,org,group,~.name=Pico-Union,Pico-Union,,"{'fill':'FFFFFF','fillOpacity':0.01,'stroke':'000000'}",0.9,Pico-Union,Coalitions,True,True,0,0
Pomona,org,group,~.name=Pomona,Pomona,,"{'fill':'FFFFFF','fillOpacity':0.01,'stroke':'000000'}",0.9,,Coalitions,False,True,0,0
Pomona,org,group,~.name=Pomona,Pomona,,"{'fill':'FFFFFF','fillOpacity':0.01,'stroke':'000000'}",0.9,Pomona,Coalitions,True,True,0,0
San Fernando,org,group,~.name=San Fernando,San Fernando,,"{'fill':'FFFFFF','fillOpacity':0.01,'stroke':'000000'}",0.9,,Coalitions,False,True,0,0
San Fernando,org,group,~.name=San Fernando,San Fernando,,"{'fill':'FFFFFF','fillOpacity':0.01,'stroke':'000000'}",0.9,San Fernando,Coalitions,True,True,0,0
San Gabriel,org,group,~.name=San Gabriel,San Gabriel,,"{'fill':'FFFFFF','fillOpacity':0.01,'stroke':'000000'}",0.9,,Coalitions,False,True,0,0
San Gabriel,org,group,~.name=San Gabriel,San Gabriel,,"{'fill':'FFFFFF','fillOpacity':0.01,'stroke':'000000'}",0.9,San Gabriel,Coalitions,True,True,0,0
Watts,org,group,~.name=Watts,Watts,,"{'fill':'FFFFFF','fillOpacity':0.01,'stroke':'000000'}",0.9,,Coalitions,False,True,0,0
Watts,org,group,~.name=Watts,Watts,,"{'fill':'FFFFFF','fillOpacity':0.01,'stroke':'000000'}",0.9,Watts,Coalitions,True,True,0,0
Wilmington,org,group,~.name=Wilmington,Wilmington,,"{'fill':'FFFFFF','fillOpacity':0.01,'stroke':'000000'}",0.9,,Coalitions,False,True,0,0
Wilmington,org,group,~.name=Wilmington,Wilmington,,"{'fill':'FFFFFF','fillOpacity':0.01,'stroke':'000000'}",0.9,Wilmington,Coalitions,True,True,0,0
