uid,role,description,controller,function,table,entity,uacl,oacl,hidden,system,protected,Notes
ANONYMOUS,Anonymous,,org,organisation,,,READ,,,,,Allow new users to see orgs during registration 
ANONYMOUS,Anonymous,,,,org_organisation,,READ,,,,,Allow new users to see orgs during registration 
ANONYMOUS,Anonymous,,default,index,auth_user,,READ,,,,,Allow users to decode the modified_by field
ANONYMOUS,Anonymous,,doc,,,any,READ,READ,,,,
ANONYMOUS,Anonymous,,org,,,any,READ,READ,,,,
ANONYMOUS,Anonymous,,project,,,any,READ,READ,,,,
ANONYMOUS,Anonymous,,event,,,,READ,READ,,,,
ANONYMOUS,Anonymous,,pr,,,any,READ,READ,,,,
ANONYMOUS,Anonymous,,vulnerability,risk,,any,READ,READ,,,,
ANONYMOUS,Anonymous,,,,gis_layer_bing,,READ,,,,,
ANONYMOUS,Anonymous,,,,gis_layer_coordinate,,READ,,,,,
ANONYMOUS,Anonymous,,,,gis_layer_empty,,READ,,,,,
ANONYMOUS,Anonymous,,,,gis_layer_google,,READ,,,,,
ANONYMOUS,Anonymous,,,,gis_layer_openstretmap,,READ,,,,,
ANONYMOUS,Anonymous,,,,hrm_human_resource,,,READ,,,,
ANONYMOUS,Anonymous,,,,hrm_training,,,READ,,,,Is this needed?
ANONYMOUS,Anonymous,,,,pr_group_membership,,,READ,,,,
ANONYMOUS,Anonymous,,cms,post,,any,READ,READ,,,,
ANONYMOUS,Anonymous,,,,cms_post,any,READ,READ,,,,
ANONYMOUS,Anonymous,,,,cms_series,any,READ,READ,,,,
ANONYMOUS,Anonymous,,,,doc_document,any,READ,READ,,,,
ANONYMOUS,Anonymous,,,,event_event,any,READ,READ,,,,
ANONYMOUS,Anonymous,,,,event_event_type,any,READ,READ,,,,
ANONYMOUS,Anonymous,,,,event_post,any,READ,READ,,,,
ANONYMOUS,Anonymous,,gis,,,,READ,READ,,,,
USER,User,,default,person,,,READ|CREATE|UPDATE,,,,,
USER,User,,default,person,gis_location,,READ|CREATE|UPDATE,,,,,
USER,User,,cms,post,,,READ|CREATE|UPDATE,READ|CREATE|UPDATE|DELETE,,,,
USER,User,,,,cms_post,,READ|CREATE|UPDATE,READ|CREATE|UPDATE|DELETE,,,,
USER,User,,,,doc_document,,READ|CREATE|UPDATE,READ|CREATE|UPDATE|DELETE,,,,
USER,User,,doc,,,,READ|CREATE|UPDATE,READ|CREATE|UPDATE|DELETE,,,,
USER,User,,org,,,,READ|CREATE|UPDATE|REVIEW|APPROVE,READ|CREATE|UPDATE|DELETE|REVIEW|APPROVE,,,,
USER,User,,,,org_organisation,,READ|CREATE|UPDATE|REVIEW|APPROVE,READ|CREATE|UPDATE|DELETE|REVIEW|APPROVE,,,,For Profile Organisation Select Updateable Filter
USER,User,,project,,,,READ|CREATE|UPDATE,READ|CREATE|UPDATE|DELETE,,,,
USER,User,,pr,,,any,READ|CREATE|UPDATE,READ|CREATE|UPDATE|DELETE,,,,
USER,User,,,,gis_config,,READ|CREATE,READ|UPDATE,,,,
USER,User,,,,gis_layer_feature,,READ|CREATE,,,,,
USER,User,,,,gis_layer_geojson,,READ|CREATE,,,,,
USER,User,,,,gis_layer_georss,,READ|CREATE,,,,,
USER,User,,,,gis_layer_gpx,,READ|CREATE,,,,,
USER,User,,,,gis_layer_kml,,READ|CREATE,,,,,
USER,User,,,,gis_layer_theme,,READ|CREATE,,,,,
USER,User,,,,gis_layer_tms,,READ|CREATE,,,,,
USER,User,,,,gis_layer_wfs,,READ|CREATE,,,,,
USER,User,,,,gis_layer_wms,,READ|CREATE,,,,,
USER,User,,,,gis_layer_xyz,,READ|CREATE,,,,,
USER,User,,,,pr_address,,,READ|CREATE|UPDATE,,,,
USER,User,,,,pr_contact,,,READ|CREATE|UPDATE,,,,
USER,User,,,,pr_contact_emergency,,,READ|CREATE|UPDATE,,,,
USER,User,,,,pr_education,,,READ|CREATE|UPDATE,,,,
USER,User,,,,pr_identity,,,READ|CREATE|UPDATE,,,,
USER,User,,,,pr_image,,,READ|CREATE|UPDATE,,,,
USER,User,,,,pr_person,,,READ|UPDATE,,,,
USER,User,,,,pr_physical_description,,,READ|CREATE|UPDATE,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_arcrest,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_bing,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_coordinate,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_empty,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_feature,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_geojson,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_georss,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_google,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_gpx,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_kml,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_mgrs,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_openstretmap,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_theme,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_tms,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_wfs,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_wms,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_xyz,,ALL,,,,,
