Organisation,Incident,Short Description,Detailed Description,Date,Author,Source,Assigned,Date Due,Priority,Status,Country,L1,L2,L3,L4,Lat,Lon,Comments,Link to Assigned?
,New Year's Party - Drunks in Water,Sober Up,,,,,,1/1/14,,,US,Washington,King,Seattle,,,,,Port of Seattle
,Container stack collapsed,Pick up containers,need crane - they're heavy,,,,,4/1/14,High,,US,Washington,Pierce,Tacoma,,,,,Maersk Line
,Container stack collapsed,Review stacking height limits,Is 600ft too high?,,,,,4/2/14,,,US,Washington,King,Seattle,,,,,Port of Seattle
,Container stack collapsed,Claim insurance,Will they pay?,,,,,4/3/14,,,US,Washington,King,Seattle,,,,,Port of Seattle
,Train derailment,Get the train back on the rails,,,,,,4/4/14,High,,US,Washington,Pierce,Tacoma,,,,,Tacoma Fire Department
,Train derailment,Investigate Crash,Was speed an issue,,,,,4/4/14,,,US,Washington,Pierce,Tacoma,,,,,Port of Tacoma
,Train derailment,Driving lessons,Driver obviously needs it!,,,,,4/6/14,,,US,Washington,Pierce,Tacoma,,,,,Port of Tacoma
,Collision between tanker and whale,Inspect Tanker,Make sure that there are no whale holes,,,,,4/7/14,,,US,Washington,Snohomish,Everett,,,,,Port of Everett
,Collision between tanker and whale,Plan Sushi Buffet,Too soon?,,,,,4/8/14,,On Hold,US,Washington,Snohomish,Everett,,,,,Port of Everett
,Collision between tanker and whale,Make a Donation to Greenpeace,,,,,,4/9/14,,,US,Washington,Snohomish,Everett,,,,,Port of Everett
