uid,role,description,controller,function,table,uacl,oacl,entity,Notes
ANONYMOUS,Anonymous,,cms,page,,READ,,,
ANONYMOUS,Anonymous,,,,"cms_post",READ,,,
ANONYMOUS,Anonymous,,,,"doc_document",,READ|CREATE,,
ANONYMOUS,Anonymous,,gis,,,READ,,,
ANONYMOUS,Anonymous,,gis,layer_arcrest,,READ,,,
ANONYMOUS,Anonymous,,gis,layer_bing,,READ,,,
ANONYMOUS,Anonymous,,gis,layer_coordinate,,READ,,,
ANONYMOUS,Anonymous,,gis,layer_empty,,READ,,,
ANONYMOUS,Anonymous,,gis,layer_feature,,READ,,,
ANONYMOUS,Anonymous,,gis,layer_geojson,,READ,,,
ANONYMOUS,Anonymous,,gis,layer_georss,,READ,,,
ANONYMOUS,Anonymous,,gis,layer_google,,READ,,,
ANONYMOUS,Anonymous,,gis,layer_gpx,,READ,,,
ANONYMOUS,Anonymous,,gis,layer_kml,,READ,,,
ANONYMOUS,Anonymous,,gis,layer_openstretmap,,READ,,,
ANONYMOUS,Anonymous,,gis,layer_theme,,READ,,,
ANONYMOUS,Anonymous,,gis,layer_tms,,READ,,,
ANONYMOUS,Anonymous,,gis,layer_wfs,,READ,,,
ANONYMOUS,Anonymous,,gis,layer_wms,,READ,,,
ANONYMOUS,Anonymous,,gis,layer_xyz,,READ,,,
ANONYMOUS,Anonymous,,"org","group",,READ,,,
ANONYMOUS,Anonymous,,"org","organisation",,READ|CREATE,,,
ANONYMOUS,Anonymous,,,,"org_facility",READ,,,
ANONYMOUS,Anonymous,,,,"org_group",READ,,,
ANONYMOUS,Anonymous,,,,"org_group_membership",READ,,,
ANONYMOUS,Anonymous,,,,"org_group_team",READ,,,
ANONYMOUS,Anonymous,,,,"org_organisation",READ|CREATE,,,
ANONYMOUS,Anonymous,,,,"org_organisation_organisation_type",READ|CREATE,,,
ANONYMOUS,Anonymous,,,,"org_organisation_location",READ|CREATE,,,
ANONYMOUS,Anonymous,,,,"org_service",READ,,,
ANONYMOUS,Anonymous,,,,"org_service_organisation",READ|CREATE,,,
ANONYMOUS,Anonymous,,,,"org_site_facility_type",READ,,,
ANONYMOUS,Anonymous,,,,"pr_group",READ,,,
ANONYMOUS,Anonymous,,,,"pr_contact",,READ|CREATE,,
AUTHENTICATED,Authenticated,,"cms","newsfeed",,READ,,,
AUTHENTICATED,Authenticated,,cms,page,,READ,,,
AUTHENTICATED,Authenticated,,,,"cms_post",READ,,,
AUTHENTICATED,Authenticated,,,,"doc_document",,READ|CREATE,,
AUTHENTICATED,Authenticated,,gis,,,READ,,,
AUTHENTICATED,Authenticated,,gis,layer_arcrest,,READ,,,
AUTHENTICATED,Authenticated,,gis,layer_bing,,READ,,,
AUTHENTICATED,Authenticated,,gis,layer_coordinate,,READ,,,
AUTHENTICATED,Authenticated,,gis,layer_empty,,READ,,,
AUTHENTICATED,Authenticated,,gis,layer_feature,,READ,,,
AUTHENTICATED,Authenticated,,gis,layer_geojson,,READ,,,
AUTHENTICATED,Authenticated,,gis,layer_georss,,READ,,,
AUTHENTICATED,Authenticated,,gis,layer_google,,READ,,,
AUTHENTICATED,Authenticated,,gis,layer_gpx,,READ,,,
AUTHENTICATED,Authenticated,,gis,layer_kml,,READ,,,
AUTHENTICATED,Authenticated,,gis,layer_openstretmap,,READ,,,
AUTHENTICATED,Authenticated,,gis,layer_theme,,READ,,,
AUTHENTICATED,Authenticated,,gis,layer_tms,,READ,,,
AUTHENTICATED,Authenticated,,gis,layer_wfs,,READ,,,
AUTHENTICATED,Authenticated,,gis,layer_wms,,READ,,,
AUTHENTICATED,Authenticated,,gis,layer_xyz,,READ,,,
AUTHENTICATED,Authenticated,,,,"gis_location",CREATE|READ,CREATE|READ|UPDATE,,
AUTHENTICATED,Authenticated,,"hrm","group",,READ,,,
AUTHENTICATED,Authenticated,,"hrm","person",,READ,,,
AUTHENTICATED,Authenticated,,"hrm","staff",,READ,,,
AUTHENTICATED,Authenticated,,,,"hrm_human_resource",READ,,,
AUTHENTICATED,Authenticated,,"org","facility",,READ,,,
AUTHENTICATED,Authenticated,,"org","group",,READ,,,
AUTHENTICATED,Authenticated,,"org","organisation",,READ|CREATE,,,
AUTHENTICATED,Authenticated,,,,"org_facility",READ,,,
AUTHENTICATED,Authenticated,,,,"org_group",READ,,,
AUTHENTICATED,Authenticated,,,,"org_group_membership",READ,,,
AUTHENTICATED,Authenticated,,,,"org_group_team",READ,,,
AUTHENTICATED,Authenticated,,,,"org_organisation",READ|CREATE,,,
AUTHENTICATED,Authenticated,,,,"org_organisation_location",READ|CREATE,,,
AUTHENTICATED,Authenticated,,,,"org_organisation_organisation_type",READ|CREATE,,,
AUTHENTICATED,Authenticated,,,,"org_service",READ,,,
AUTHENTICATED,Authenticated,,,,"org_service_organisation",READ|CREATE,,,
AUTHENTICATED,Authenticated,,,,"org_site_facility_type",READ,,,
AUTHENTICATED,Authenticated,,"pr","person",,,READ,,
AUTHENTICATED,Authenticated,,"pr","contact",,,CREATE|READ|UPDATE|DELETE,,
AUTHENTICATED,Authenticated,,,,"pr_address",,CREATE|READ|UPDATE|DELETE,,
AUTHENTICATED,Authenticated,,,,"pr_contact",,CREATE|READ|UPDATE|DELETE,,
AUTHENTICATED,Authenticated,,,,"pr_contact_emergency",,CREATE|READ|UPDATE|DELETE,,
AUTHENTICATED,Authenticated,,,,"pr_group",READ,,,
AUTHENTICATED,Authenticated,,,,"pr_group_membership",READ,,,
AUTHENTICATED,Authenticated,,,,"pr_person",READ,READ|UPDATE,,
org_editor,"Organisation Editor",,"cms","newsfeed",,READ,,,
org_editor,"Organisation Editor",,,,"cms_post",READ,,,
org_editor,"Organisation Editor",,,,"doc_document",CREATE|READ|UPDATE|DELETE,,,
org_editor,"Organisation Editor",,"hrm","group",,READ,,,
org_editor,"Organisation Editor",,"hrm","person",,CREATE|READ|UPDATE|DELETE,,,
org_editor,"Organisation Editor",,"hrm","staff",,CREATE|READ|UPDATE|DELETE,,,
