Template,Template Description,Complete Question,Date Question,Time Question,Location Detail,Priority Question,Section,Section Position,Question,Question Type,Question Notes,Question Position,Question Code,Meta Data
SandySurvey,https://docs.google.com/forms/d/1NL2ynBuL7gvfX5axk3K-Ec1hfOq-a-ZYDfihcnQxwuI/viewform,Canvassed By,Canvass Date,Zone (A-E),,,Survey Filler Details,1,Name,String,,1,1,
SandySurvey,https://docs.google.com/forms/d/1NL2ynBuL7gvfX5axk3K-Ec1hfOq-a-ZYDfihcnQxwuI/viewform,Canvassed By,Canvass Date,Zone (A-E),,,Survey Filler Details,1,Address,Text,,2,2,
SandySurvey,https://docs.google.com/forms/d/1NL2ynBuL7gvfX5axk3K-Ec1hfOq-a-ZYDfihcnQxwuI/viewform,Canvassed By,Canvass Date,Zone (A-E),,,Survey Filler Details,1,Phone,String,,3,3,
SandySurvey,https://docs.google.com/forms/d/1NL2ynBuL7gvfX5axk3K-Ec1hfOq-a-ZYDfihcnQxwuI/viewform,Canvassed By,Canvass Date,Zone (A-E),,,Survey Filler Details,1,Email,String,,4,4,
SandySurvey,https://docs.google.com/forms/d/1NL2ynBuL7gvfX5axk3K-Ec1hfOq-a-ZYDfihcnQxwuI/viewform,Canvassed By,Canvass Date,Zone (A-E),,,Survey Filler Details,1,Languages Spoken:,Option,,5,5,"{'Length': '10', '1': 'English', '2': 'Albanian', '3': 'Cantonese', '4': 'Korean', '5': 'Mandarin', '6': 'Polish', '7': 'Russian', '8': 'Spanish', '9': 'Tagalog', '10': 'Other'}"
SandySurvey,https://docs.google.com/forms/d/1NL2ynBuL7gvfX5axk3K-Ec1hfOq-a-ZYDfihcnQxwuI/viewform,Canvassed By,Canvass Date,Zone (A-E),,,Survey Filler Details,1,"If you chose ""Other"" (you speak a different language), enter it here:",String,,6,6,
SandySurvey,https://docs.google.com/forms/d/1NL2ynBuL7gvfX5axk3K-Ec1hfOq-a-ZYDfihcnQxwuI/viewform,Canvassed By,Canvass Date,Zone (A-E),,,Housing (Part 1),2,Was your home damaged by Hurricane Sandy?,YesNo,,7,7,
SandySurvey,https://docs.google.com/forms/d/1NL2ynBuL7gvfX5axk3K-Ec1hfOq-a-ZYDfihcnQxwuI/viewform,Canvassed By,Canvass Date,Zone (A-E),,,Housing (Part 1),2,Are you living here now?,YesNo,,8,8,
SandySurvey,https://docs.google.com/forms/d/1NL2ynBuL7gvfX5axk3K-Ec1hfOq-a-ZYDfihcnQxwuI/viewform,Canvassed By,Canvass Date,Zone (A-E),,,Housing (Part 1),2,Do you Rent or Own?,Option,,9,9,"{'1': 'Rent', '2': 'Own', 'Length': '2'}"
SandySurvey,https://docs.google.com/forms/d/1NL2ynBuL7gvfX5axk3K-Ec1hfOq-a-ZYDfihcnQxwuI/viewform,Canvassed By,Canvass Date,Zone (A-E),,,Housing (Part 1),2,How many people live here? (total),Numeric,,10,10,
