Country,L1,Lat,Lon
MV,Malé,4.175278,73.508889
MV,Haa Alif,6.86667,73
MV,Haa Dhaalu,6.616667,72.866667
MV,Shaviyani,6.233333,73.1
MV,Noonu,5.833333,73.3
MV,Raa,5.633333,72.916667
MV,Baa,5.133333,72.95
MV,Lhaviyani,5.383333,73.483333
MV,Kaafu,4.416667,73.5
MV,Alif Alif,3.866667,72.816667
MV,Alif Dhaal,3.65,72.83
MV,Vaavu,3.483333,73.533333
MV,Meemu,3.016667,73.466667
MV,Faafu,3.233333,72.933333
MV,Dhaalu,2.9,72.9
MV,Thaa,2.366667,73.116667
MV,Laamu,1.933333,73.416667
MV,Gaafu Alifu,0.729198,73.331
MV,Gaafu Dhaalu,0.416667,73.166667
MV,Gnaviyani,-0.3,73.433333
MV,Seenu,-0.6413,73.158
